"City Lights Bookstore"
"Jackson County Historic Courthouse/Jackson County Public Library"
"Western Carolina University clock"
"Judaculla Rock"
"North Carolina Center for the Advancement of Teaching (NCCAT)"
"confederate soldier (in front of the Historic Courthouse)"
"Appalachian Women's Museum"
"WCU Campus"
Train
"Harriet Tubman"
"Great Smoky Mountains Railroad"
"American Museum of the House Cat"
"Bridge Park"
"Town Hall"
"Unto these hills"
