"Bike Lanes"
"more programs for homeless population (give them a place to go that's safe/not downtown)"
"Stop homeless camp sweeps"
"build a tram"
"Affordable Housing"
"Designated Bike Lanes"
"help homeless people"
"Ban plastic bags"
"Better pay for the police and first responders"
"Tiny homes for the homeless"
"Discontinue free needle exchange"
"Fund affordable homeownership initiatives"
"More sidewalks in neighborhoods like Shiloh, or Tunnel Rd all the way, and to make sure all bus stops are accesible bus stops"
"make entire area more bike friendly"
"Crosswalk on Patton near Haywood/Johnston"
"Slow traffic on Sand Hill School Rd"
"Ice rink"
"Eliminate Homelessness"
"Build Pickleball Courts"
"Stop wasting money"
"Create more affordable housing and less hotels"
"Housing the homeless"
"Bring Fun Depot back"
"hold the Asheville Police Department accountable"
"More affordable eldercare facilities"
"Legalize Marijuana"
"Improve public transit!"
"Protect Asheville's distinct character"
"Permanently protect the French Broad River corrider"
"More bike lanes"
"More Police"
"No more hotels"
"Update roads/bridges"
"Their job"
Greenways
"Actually fix the roads"
"Housing for people experiencing homelessness"
"fund more plantings along the Wilma Dykeman Greenway"
"Expand water/sewer to Haywood County line."
"More and better sidewalks"
"Something for the people who live here. Literally anything."
"Rent control"
"Address the housing crisis"
"Fund child care"
"require native plants in landscaping, clean up invasive vines"
"Actually address the houselessness in asheville instead of running around pretending to install initiatives."
"Extend Fonta flora trail to asheville"
"Widen Hendersonville road"
"Reduce Merrimon to 3 lanes"
"Stop hotels, build housing"
"Keep downtown Asheville unique, support local businesses"
"Development moratorium"
"More affordable housing"
"Clean up homelessness"
"remove homeless"
"preserve our mountains"
"Deal with the homelessness issue"
"Fund the police"
"Defund APD"
"more grants for artists and arts orgs"
"Clean up homeless and drugs"
"Green New Deal"
"Spend less on the homeless and more on police & cleran up"
"Broadway traffic diet that has been approved already"
Burritos
"Allow short term rentals for people who live locally"
"Have signs also in Cherokee, after the housing crisis is fixed and short and long term planning is addressed"
"Enhance internet"
"Parking passes For Locals"
"Raise minimum wage"
"Reparations for POC"
"Clean up trash"
"Development management"
"Plant more Trees"
"Limit conversions to AirBnBs"
"Improve housing opportunities"
"Repave Patton Ave"
"Start replacing water pipes and updating water infrastructure to prevent lead poisoning"
"Clean water"
"Taking care of our homeless population - creating more/better services for them with easier access and better follow-through"
"Build trust between residents and police"
"Expand Water and Sewer Availability"
"Another big park or open field space"
"Protect our trees and green spaces from development"
"Find places for the homeless"
"I would like to see more positive help for our neighbors experiencing homelessness"
"Get a new mayor and get rid of the liberal ways and attitudes"
"Impove City Services before giving money away"
"focus on local needs rather than hotels and the visiting homeless"
"Contain development"
"Improve Recycling Options"
"Hire new city manager"
"Woodfin Community Garden"
"Better Zoning"
"stop building more condos and apps"
"Actual AFFORDABLE housing"
"Focus on rebuilding police department and support officers"
"reduce crime"
"Build deeply affordable housing"
"More Parks"
"House people"
"Invest in a better science museum"
"Sanctioned Camping"
"Deal with vagrants"
"Support clean and green city"
"Trolley Service"
"Implement solutions for the lack of affordable housing"
"fund universal child care"
"support fire departments"
"kid friendly activites"
"Get rid of the bums, pan handlers,"
"Build downtown fletcher with restaurants and bars"
"less hotels and air bnbs"
"End homelessness"
"crackdown on drug dealers & growing homeless population"
"reducing homeless population"
"Get rid of Madison Cawthorn"
"Deeply Affordable Housing"
"housing for the houseless"
"lower speed limits in Oakley"
"more parks and flowers downtown"
"Keep working on the green ways!"
"Convert spaces for affordable housing"
"more incentives and investment to local entrepreneurs and artists"
"Trash clean up"
"clean up the riff raff"
"Something about the homeless!"
"Address the Homeless and panhandling situation"
"Improve infrastructure"
"Lower cost of living and help the homeless"
"better innovative public transportation"
Infrastructure
"affordable housing for true residents of Asheville"
"Save and plant more trees"
"Kayaking surf wave"
"Build dedicated Pickleball courts"
"water park for tourism/kids"
"Limit development of apartment buildings"
"be more fiscally responsible"
"Low barrier shelters"
"Deal with and reverse redlining"
"Programming at Aston Park"
"build more skate parks"
"discourage homeless encampments"
"Stop all the development"
"Coordinate and aggressively address housing issues- homeless and affordability"
"Increase mental health programs"
"cap housing prices"
"City planning"
"Add sidewalks to neighborhoods"
"Abolish the Police"
"100% Environmentally Sustainable"
"Reduce Carbon Footprint"
"Swimming Pool / Splash Area"
"Improved traffic management"
"Rent control laws"
"invest in low cost spay-neuter"
"Low Barrier Shelter/Outdoor Camp"
"Make the city focus on walkibility"
"No air bnb, or SOMETHING to help the housing market"
"More focus on local business and less on tourist dollars"
"Fund housing stipends for child care providers"
"Better public transit"
"improve public education"
"Impose impervious surface restrictions on residential lots"
"Advocate for hotel room taxes to pay for infrastructure, stop building hotels, more deeply affordable housing"
"Expand the Dog Park to at least one enclosed acre with trails and self draining water bowls."
"housing for hospitality workers"
"more focus on locals (ie, discount parking), less on tourists"
"Actually take care of the less fortunate"
"ban plastic bags and styrofoam, crack down on littering and dumping of trash"
"1) house and provide medical assistance to the homeless drug addicts and mentally ill people living on the street. 2) Ban loud sports car mufflers"
"Pit of Despair"
"Finish greenways by 2023"
"Take reparations seriously"
"Treed median on South Charlotte Street"
"Finish 240"
"Create a walking riding trail that connects N. AVL to S. AVL through downtown"
"Road diet on merrimon"
"Less hotels and less progressive policies"
"Invest in Parks & Rec"
"No more hotels!"
"Widen sweeten creek road"
"Encourage Circular economy / Donut economics"
"local living wage legislation whether or not Raleigh agrees!"
"Limit development of new hotels"
"Cleanup and protect our river"
"Ban gas powered lawn equipment"
"Less development and tourism"
"Do I 26 upgrade"
"Fight the destruction of the Burton Street Community for the third time because of highway project"
"Mixed income, intergenerational housing"
"Woke don't work"
"Finish 240 and 26"
"Regulate Growth and Destruction of Surrounding Forests, Farms, Mountains and Waterways"
"Find funding for Reparations"
"Take better care of low income residents"
"Restore Vance monument"
Resign
"Thank our police and first responders"
"Put in public bathrooms in every neighborhood"
"Free internet"
"Their job - get rid of vagrant camps"
"Improve Merrimon Ave traffic flow and bike lanes"
"Find a reason for the people who build a community here to stay around"
"follow through on their commitments: reparations for real; less investing in tourism & developers"
"Add Bike Lanes"
"De-isolate Hillcrest neighborood"
"get rid of TDA"
"Safe family festival"
"Pod housing for homelesss individuals."
"sanctuary camping area for homeless"
"Dedicated safe Campground for the homeless"
"Give money back to community"
"Get high speed internet to the rural parts of Buncombe County"
"Improve roads/streets"
"Finish the ones they started"
Police.
"Reparations for POC - give land back to black folks us white people stole from them."
"Clean parks"
"More money into Black neighborhoods"
"Sidewalks in east Asheville"
"More greenways"
"Small Business Grant"
"Prioritize folks who live here"
"Sidewalks and Road Humps on Johnston Blvd and Bear Creek"
"City owned affordable housing, inclusionary zoning requirement for all new or rehab. housing developments over 10 units. $100 affordable housing fee for  new construction single family. $1,000 for new multifamily"
"Low Barrier Homeless Shelters"
"emergency shelter for unhoused people"
"Rent Control/Affordable Housing"
"Clean up needles"
"Asheville Unpaved"
"More trash cans around town"
"EV charging stations"
"Stop harassing small businesses"
"fix the homeless problem"
"Safer and abundant bike lanes as Parkway is too busy with vehicles and too narrow to bicycle safely"
"Land conservation"
"Address homelessness thoughtfully and with kindness"
"Rehab old motels, office blds for homeless/ working poor"
"A Park like in greenville downtown"
"Permanent assessment/triage facility for homeless population.  Short term shelter would be part of this..."
"Make housing affordable for locals not investors"
"Grandfathered property taxes"
"Create a river walk like you see in San Antonio TX"
Compost
"FIX all the roads & potholes"
"Pay reparations to Black citizens"
"Hire more police"
"Actually work and mingle in neighborhoods and talk to people"
"Truth and Reconcilliation for Racial History through the present"
"Not for profit construction project for low income housing"
"Smoky park bridge"
"Affordable housing for all!"
"Prepare for climate refugees"
"More street calming"
"Single-use plastic ban"
"Post signs No Texting or talking on Cell phones on interstates and side roads"
"commit to solving the homeless issue"
"fix potholes"
"Eliminate development restrictions"
"Demolish most hotels"
"Murals on old ugly buildings around town (Johnston Blvd across from Johnston Elem)"
"more parks and public ameneties"
"take care of homeless and abuse of adopted children especially in Madison co"
"Stop trying to take people's land for greenways and sidewalks"
"Combine all county and city police departments into one metro department"
"Tree preservation initiative s. Better urban planning. Slow down on developement that doesn’t take biodiversity into mind"
"Ecusta trail"
"parking for Harvest House"
M/a
"parking in black mountain"
"build a train station"
"Water System"
"work on homelessness issur"
"public railway"
"Fix roads"
"Remove homeless from the streets solely because they litter and urinate/dedicate everywhere and it’s unsettling."
"More cops on streets to keep us safe"
"More focus on solutions to housing inequality"
"Stop approving more hotels."
"Green Patton Avenue"
"Slow development"
"increase childcare initiatives for 0-4 year olds"
"Replace the pipes"
"Bigger Asheville mall"
"Fix traffic on sweeten creek and Hendersonv Rd"
"Stop adding hotels!"
"parking deck for downtown employees"
"Clean up drug problems in downtown"
"Chalk Walk (chalk sidewalk art)"
"Update water infrastructure"
"Tiny house complex for those experiencing homelessness"
"Adress homeless"
"Restrict short term rentals"
Parking
"More trails and greenways"
