"Biltmore House"
"Omni Grove Park Inn (The Omni, The Grove Park Inn)"
"Jackson Building (The Jackson Building)"
"Grove Arcade"
"Thomas Wolfe Memorial (Thomas Wolfe House, Old Kentucky Home)"
"Flat Iron Building (The Flat Iron)"
"The S&W Building"
"all souls cathedral"
Montford
"Basilica of Saint Lawrence (Basilica St. Lawrence)"
"Buncombe County Courthouse"
"12 Bones River"
"carl sanburg house, flat rock"
"Masonic Temple (Asheville Masonic Temple)"
"riverside cemetery"
"F. W. Woolworth Co. (Woolworth Walk)"
"Old Marshall jail"
"Estes-Winn Antique Car Museum"
"Innsbruck Mall"
"Momentum Gallery"
"Asheville City Hall"
"Spicer Greene Jewelers"
"14 O'henry Ave (Citizen Times Building)"
"Vance Birthplace Historic Site"
"37 church st"
"Kress Building"
"Kenilworth Inn"
"Monte Vista Hotel (The Monte Vista Hotel)"
"Smith McDowell House"
"YMI Cultural Center"
"First Baptist Church"
"French Broad Food Co-Op"
"Bob Moog museum"
"Pack Library"
"Orange Peel (The Orange Peel)"
"King and Allen building"
"St Matthias Presbyterian Church"
"Public Service Building"
"Warren Wilson College"
"Square Root - Brevard (The Square Root)"
"Abandoned penitentiary on Riverside"
"Charles George Asheville VA Medical Center (Veterans Center)"
"Patton Parker House"
"Grovewood Gallery (Historic Grovewood Village)"
"Zealandia Castle"
"Pelicans Snoballs of Black Mountain"
"Pack’s Tavern"
"Homewood (19 Zillicoa St)"
"Stephens-Lee Community Center"
"Weaver House - Weaverville"
"The Frances (333 Cumberland Ave.)"
"First Presbyterian Church Asheville"
"Anything by Richard Sharp Smith"
"Carl Sandburg House,  Flat Rock"
"Battery Park Hotel"
"Black Wall Street AVL"
"Highland Hospital"
"Rabbit's  Motel"
"St Matthias' Episcopal Church"
"Asheville's Historic Flatiron Building"
"Fortune Building"
"A Touch of Glass"
"William Jennings Bryan House"
"1899 Wright Inn & Carriage House (Wright Inn)"
"Manor Inn"
"helen's bridge"
"Madison County Court House"
"Asheville Art Museum"
"Botanical Gardens at Asheville"
"Old Sherrill's Inn"
"St. James Episcopal Church"
"The Odd (formerly The Odditorium)"
"Kimpton Hotel Arras"
"Dave’s 209"
Belvedere
"Engadine Inn and Cabins"
"Tobacco Barn"
"Sawyer Motor Building"
"Overlook Castle"
"Whistle Hop Brewing Co."
"Orange Peel (The Orange Peel)"
"Buildings surrounding Prichard Park"
"Phil Mechanic Building"
"The Furniture Barn of Hendersonville"
"Transylvania County Courthouse"
"Any Art Deco building"
"NuWray Hotel - Burnsville"
"Asheville Pinball Museum"
"Douglas Ellington House"
"Zelda Dearest"
"Historic Courthouse Hendersonville"
"The Chateau apartment"
"Haywood Park Hotel"
"Jefferson Apartments"
"Overlook Castle (Seely Castle)"
"Asheville high School"
"The Radical Hotel"
"Drhumor Building"
"Hell Or High Waters Restaurant and bar/ Foothills Grange"
"Old jail on riverside dr"
"The Flat Iron"
"Princess Anne Hotel"
Antidote
"Appalachian Pinball Museum"
"Blind Tiger Asheville"
"Blake House Inn"
"Chestnut Street Inn"
"Keystone building"
"Merrimon fire station"
"Peri Social House"
"Architectural walking tour to get them all"
"Harvest House"
"Forestry Camp (Burial Beer Co.)"
"Walton street Pool and Bath house"
"Trailside Brewing Co."
