Hotels
Murders
"December water contamination"
"Rental prices"
Drugs
"increase in homeless population"
"Frequent theft/vandalism of small businesses"
republicans
"New people moving here"
"Merrimon Ave Road Diet"
NYers
"Downtown crime"
"Highway construction"
"Missy the bobcat passing away at the WNC Nature Center"
Development
"Low pay"
Inflation
"Additional apartment buildings"
"Tourists, homelessness, and the insane cost of living."
Bridesmaids
Tourists
"Not enough police, too many homeless"
"Less Cops on the Streets"
"I 26 construction"
Capitalism
"Less police"
MAGA
"General decline of the city."
"Razing of Charlotte Street Neighborhood"
"No affordable housing"
Advertising
Traffic
"Increased property tax to home owners"
"High density housing"
Crime
"Interest rates"
"Too many people moving in"
"Water crisis"
"More neighborhoods/apartments built without updating roads to accommodate more traffic"
"police killed my neighbor"
"Continuing demise of Citizen-Times"
"still no good parking options for downtown employees"
"Madison Cawthorn was in office"
"Defunding police"
"Housing costs"
"Sellout of the flat iron building"
"Little Louie’s"
"Kim Roney was not elected mayor"
"Canine Influenza Outbreak"
"Mission hospital decline"
Liberals
"Apartment buildings"
"High cost of living"
"Asheville tourist funding"
"Too much development"
"Tree cutting on Vermont ave , west asheville"
"Noise Ordinance"
Trashville
"Paid Parking in Hendersonville"
"Lack of infrastructure, continued development"
"Hit and runs"
"No good mayor options"
"lifting restrictions on short term rentals"
Gentrification
"remote workers"
"Rising Prices"
"Democrat run government"
"Todd Skirmish"
Fentanyl
"Removing Vance monument"
"Chad nesbitt"
"Esther Manheimer re-elected"
Politics
"Decision by Tribute to cancel apartment construction"
"Over policing"
"ziggys cafe closing"
AirBnBs
"Paid Parking on Haywood"
"Bachelorette parties"
"Climate change"
"Not being able to more forward in removing the last of the Vance thing."
"The hospital’s quality is now nonexistent since the takeover"
"Harvest Pizza closing"
Shooting
"Lack of affordable housing"
"City council election"
"Heavy police presence felt in West Asheville. I'm not a criminal but they kinda make you feel like one."
Economy
Overdevelopment
"Road construction"
"Increased drug overdoses"
Democrats
"Homeless pooping everywhere"
"Explosion of drug related homelessness"
litter
"Mike Graham purchased commercial property"
"NC Supreme Court election"
"The Rhu stopped making ham and cheese croissants"
"Raytheon plant"
"DR Horton"
"Cost of living"
"Lack of law enforcement"
Scalping
"Aston park fiasco and clearing of homeless camps"
"Tree destruction"
"South slope apartments not being held accounable by city zoning"
COVID
"Down Dog Closing"
"rated top in the state for pedestrian and cyclist deaths"
trash
HCA
"Increased crime"
"increase in trash ALL over the city"
"More hotels"
"Bike deaths"
"Mayor Moonbeam was re-elected"
"Asheville Coalition for Public Safety"
"Reparations Committee"
"The mayor and the whole council"
"More Housing"
"Asheville Primary School closing"
"The loss of the Littlest Birds"
Pratt-Whitney
"Kim Roney in general"
"Gun violence"
"Mountain Maladies"
"Chuck Edwards"
"More affordable housing"
"Tony Bean"
"Canton mill closing"
"Not repurposing oblisk in pack square"
"More Traffic without Accommodations for Pedestrians"
"Rabbit rabbit"
"Rising crime"
"Woke policies"
"Cancel Culture"
"bike lanes on Merrimon"
"The mayor getting re-elected"
"Generic architecture"
"Election of Republican supermajority to the state"
"Apartments in South Asheville"
"Chuck Edwards election"
"More homelessness"
"The Littlest Birds moving"
"So much trash downtown"
"Increase in Floridiots moving here"
"Less Gentrification"
"Advertising Asheville in other states"
"Crime increase"
Apotheca
"More apartments"
"Arrests of people experiencing homelessness"
"Car Break-ins"
"Business Closures"
Complaining
"More homeless"
"TDA continuing to exist"
"Same mayor"
"Loss of trees for development"
"Allowing the YMCA and Baptist Church to open a hotel"
"Anti homeless laws and policies"
"Montford Northstar closure"
"All of West Asheville closed"
"Rise in homelessness, crime and overdoses"
"Increasing police budget"
"Rich Floridians"
"River Arts Condos"
"Asheville Sandwich Co closing"
"Airport construction"
wildfires
"Chuck Edwards crime summit"
"New construction at Brevard Rd and Sand Hill"
"Possible short term rental ban"
"Buxton Hall closing"
"Police force succumbing to wokeism"
"Right wing racists"
"the cheaply built high rise apartments built in RAD"
"Grove ParkIinn banning locals on holidays"
"Rampant ugly new construction"
"More litter and trash everywhere"
"Apotheca opening"
TDA
"MAGA assholes"
"Explore Asheville Hate"
"Luxury building/condos/hotels"
"Asheville City Council"
"Higher taxes"
"too many hotels"
"too many apartments being built along sweeten creek rd"
"Teen car crash killing two on prom night"
"Historic buildings cleared for apartments"
"Affordable housing"
"Housing Authority shutting down"
"not providing time extension to reparations committee"
"Asheville Watchdog"
"Apartment complex by Ultra"
"Ramada Inn fiasco"
"I-26 construction"
"Storage units and car dealerships instead of kids activities"
Antisemetism
"A $400k single use toilet while shuttering a needed public pool   trying to shutter a West AVL public school"
"Rising downtown taxes"
"California People"
"reappointment of city manager"
"Plane crash on 26"
STRs
Parking
"The construction of the Airstream Park along the French Broad River"
"767 New Haw Creek development proposal"
"More tourism"
"Haw Creek rezoning approved"
NIMBY
"1-26 construction"
"Tree removal Downtown Patton Ave"
Tourism
Growth
"PEAK Academy lawsuit"
"Men Over 30 Who Can't Commit"
"Asheville City School Board"
"Not taxing hotels for community (ex. Early childhood)"
Panhandling
"Small businesses closing"
Shootings
"Billy Strings Weekend"
"Too many  liberals"
"Tourists, homelessness, and the insane cost of living.ess"
"Removal of homeless camps"
"Anti Israel protests"
"Libtards and Leftoids"
Humans
"Police building on broadway street"
"Cyclists and pedestrians killed by cars"
"People touching bears"
"Idiots pulling bear cubs from trees for selfies"
Squatters
"Crumbl cookie opening"
"More pollution in French Broad River"
"Book bans in Buncombe County Schools"
"trying to shutter a West AVL public school"
Weather
"Echo Mountain Recording moving from downtown"
"Malvern Hills Pool closing"
"Project Aspire"
"More police presence"
"Malvern Hills Pool closed"
"People pulling bear cubs from tree"
"Failure to pay a true living wage"
"Vote to close Montford North Star Academy"
"Rising housing costs & lack of attention to what citizens need & want rather than attention to what tourists need & want"
"Not keeping up with downtown infrastructure"
"Homelessness and crime"
"Carl Mumpower"
"Jo Landreth being removed as principal of Asheville Middle School"
"All the outsiders moving in"
"Holding Bear cubs"
"Real estate/rent prices"
"zoning exceptions"
"Radical hotel"
"Buildings in River Arts District"
"Banned Books!!!"
"New hotels"
"Too many huge housing developments"
"Development without attentions paid to infrastructure"
"Overdevelopment with no limit in sight"
"Alleycat closing due to owner of building raising rent up twice the price"
"Magnetic Theatre closing"
"Closing MNSA"
"Theft and violence"
"increase in homeless"
"More people than the roads can handle"
"Loss of police officers"
"Over development of apartments"
"Battery Park Senior Apts"
"Ingles buying up more land"
