"Twigs & Leaves Gallery"
"T Pennington Art Gallery (Waynesville, Teresa Pennington)"
"Curatory Gallery - Waynesville"
"cold mountain art collective - Canton"
"Haywood County Arts Council Gallery (Gallery 86)"
"Jeweler's Workbench  (The Jeweler's Workbench)"
"Sun Sohovich Gallery - Waynesville"
"Crafted in Carolina - Maggie Valley"
"Folkmoot Studios"
"Twigs and Leaves"
"Buckner Gallery"
"The Flying Cat Studio"
"Gallery 164"
"Cowee Mountain Clay Gallery & Studio"
"Richard Baker Studio"
"Jo Ridge Kelley Fine Art"
"Queen of Hearts"
