"Pat's School of Dance"
"Soulpower Dance with Misa"
"Academy at Terpsicorps Theatre of Dance (The Academy at Terpsicorps)"
"Legacy Dance Center"
"Asheville City Dance"
"Asheville Ballroom & Dance Centre"
"Center Stage Dance Studio"
"Ballet Conservatory of Asheville"
"Stewart/Owen Dance"
"Danceclub Asheville"
"Black Mountain Center for the Arts"
"Asheville Dance Theater"
"Asheville Contemporary Dance Theatre (The New Studio of Dance)"
"Little Gym of Asheville (The Little Gym)"
"Angie's Dance Academy"
"Art of Dance Studio"
"Asheville Academy of Ballet and Contemporary Dance (The Asheville Ballet)"
"Grey Eagle Music Hall (The Grey Eagle)"
"WNC Dance Academy"
"Brevard Ballet School"
"In His Steps Dance Ministry"
"Southern Lights Square and Round Dance Club"
"American Ballroom Company - Canton (The American)"
MusicWorks
"Stephens Lee Recreation Center"
"Asheville Dance Studio"
"Church of Burlesque"
"Asheville Performing Arts Academy"
"Asheville-Buncombe Technical Community College (A-B Tech, AB Tech)"
"Continuum - Hendersonville"
"Old Farmers Ball (The Old Farmer's Ball, Bryson Gym, Warren Wilson College, Thursday contra dance)"
"Asheville Downtown YMCA (The Y, Y.M.C.A.)"
"Madison Arts Center"
"Asheville Community Movement (ACM)"
"Empyrean Arts"
"Flatrock Theater"
"Zahiya Online (Studio Zahiya, Lisa Zahiya)"
"Triple Threat Performing Arts Academy"
"Blue Ridge Community College"
"Dimensions Studio of Arts and Athletics"
"BLOCK off Biltmore (The BLOCK off Biltmore) CLOSED"
"DreamWeavers Dance Studio"
MADabolic
"Reuter Family YMCA (The Y, Y.M.C.A)"
"Asheville dance academy"
"Haw Creek Commons"
"Fletcher School of Dance"
"Releve Performing Arts Center"
"Tribe Dance & Pole"
"Swing Asheville"
"One-on-one with Sharon Saltzgiver, Weaverville."
"Dance and Karate Express"
"One World West Latin Night"
YMCA
"Southside Dance Studio"
"Wave Dance Studio (The wave)"
"Asheville Community Theatre (ACT)"
"Celia's Dance Academy"
"Weaverville Dance Academy"
"Missy Lindsey Dance"
"Asheville Tango"
"First Step"
"Marissa Hilley Dance"
"Aerial Space"
Fleetwood’s
"Deb au Nare’s Elite Burlesque School (DEBS, D.E.B.S., Burlesque Academy of Asheville"
"Asheville Parks & Recreation Community Centers"
"Harvest House"
"Infinity Zouk Asheville"
"BeBe Theater"
"At His Feet"
"Hola Carolina"
"Red Pumps Fitness"
"A-B Tech"
"Asheville Yoga Center"
"Appalachian Performing Arts"
"Uphora Dance Fitness"
"HART Theatre (Haywood Arts Regional Theatre)"
"Asheville Aerial Arts"
"Dragon Phoenix"
"The room upstairs"
"oakton recreation center"
"Studio 505"
"Swannanoa Valley Museum"
"Dance Without Limits"
"Dimensions Dance Studio"
"Terpsicorps Theatre of Dance"
"Asheville Movement Collective"
"Carpenter Academy of Irish Dance"
Momentum
"Speakeasy Improv"
"Club Londance"
"Hendersonville Community Theatre"
"New Studio of Dance"
"Wortham Center for the Performing Arts"
"AB Tech"
"Alley Cat Avl"
"Sensu Dance"
"Ymca Salsa with Tipherth"
"Orange Peel (The Orange Peel)"
"It’s a Great Day for Dancing"
"Carolina Dance Collective"
"Claire Dima"
"Urban Orchard Cider Co."
"Pirouettes dance academy"
"Pisgah Dance Academy"
"Ballet Hut"
"Mountain Shag Club"
"Asheville Junior Theater"
"Banks Ave Bar"
"Carolina Dance Company"
"Fearless Athletics"
"The Main Event"
"Steppin' Out AVL"
"Dance Dynamics ( Tryon)"
"Momentum dance and events"
"Highland Brewery salsa night"
"The Little Gym"
"Uphora Dance"
"Little Broadway Studio"
"Haus of Jane (The Haus)"
"Actor's Center of Asheville (The Actor's Center of Asheville)"
"Woodfin YMCA"
"Beat Church Asheville"
"Looking Glass Dance Academy"
