Homelessness
"Rising prices"
Gentrification
Apartments
Charlotte
"Hate of any kind"
"Clear cutting trees, losing our tree canopy, developers getting their way with our green zones"
cars
"Esther Manheimer"
Tourists/Tourism
Protestors/anarchists
NIMBYs
"All the outsiders moving in"
"Not being kind"
"Too many yuppies"
Drugs
"Asheville City Council"
"Out of towners moving in"
"Chain businesses"
"Basic People"
"Trying to be too unique to the point that we aren't diverse, open, or accepting"
"New construction"
"High rent"
"Creating a housing market that makes it impossible for native to stay."
Greed
"Traffic and parking"
Corporations
"Ester Manheimer and TDA"
"Asheville Comics"
"Locals that are crazy negative"
"Climate change bringing migrating people"
"Country people"
"Affluent newcomers"
"everyone moving here"
"strip malls / chain stores"
"traffic around town"
Politicians
Zoning
"Remote workers"
"Madison Cawthorn"
"Dollar General"
"Short term rentals"
"Sound Ordinance"
"Over development"
"loss of trees and mountains"
"Developers destroying old architecture"
Yuppies
Republicans
"Low wages"
Liberals
"Part time residents"
"big box stores"
TDA
"Too many condos/houses/hotel"
"Florida and Texas"
"Outsiders wanting to change things to be like wherever they came from"
"The state, by forcing so much tourism tax dollars to be plowed back into things that serve tourists vs residents. Also drunken beer tourists are not the same kind of tourist as art and bohemian tourists."
"City development"
Investors
"Population boom. Hotels."
Capitalism
"Closing all local businesses"
"More Cookie Cutter Development"
Breweries
"Focus on beer to draw tourists"
"Suppression of Local Talent"
"Antifa Thugs"
"Overbuilding and breweries"
"Taking away Mountain views"
"damn yankees"
"Skinny houses"
"Development (eg. Charlotte Street development)"
"Conservative Christian dogma"
Florida
"Tourists & Cops"
"Too many apartment complexes"
Hotels
"Too many hotels"
"Investors pushing locals out of housing"
"Retirees moving in from Florida"
"building complexes"
"Local Government"
"Lack of law enforcement"
"influx of retirees moving here"
"Large corporations and chains, especially downtown"
"Too much commercial development"
"The wrong type of developers"
Vagrants
"noise ordinance"
"divisive politics"
"Giant apartment complexes"
"uninteresting large buildings"
"National shops and restaurants rather than local."
"Coronavirus, COVID-19"
"Chad Nesbitt"
Airbnbs
Evangelicals
"The people who are turning into a meme."
"rich people"
"too many visitors"
"New York and California buyers"
"lop-sided view points instead of recognizing historic, conservative views as well as modern, unique views"
"high rise development"
Ignorance
"Hotel development"
"Cheap construction, lack of architectural innovation"
Democrats
"big companies moving in"
"Victim mentality"
"AC Reynolds High"
"Mission Health (HCA, Hospital Corporation of America))"
"There is nothing unique about Asheville"
"Becoming strictly a tourist town and not a good place for local residents.  Approve good housing solutions NOT more hotels."
"military industrial complex"
"Infill Housing with no regard to existing neighborhood"
People
"Far left liberals,not moderate liberals."
Raytheon
Pubcycle
"Building more and more hotel units in downtown"
"Cranky old people who moved here 5 years ago but now don't want anyone else to move here"
Crime
"Conforming to commercialism"
"electing madison cawthorn"
Trash
"Buncombe County Tourism Development Authority (TDA)"
"Unplanned overdevelopment"
"Non-locals making decisions that impact locals"
"Tearing down old buildings"
"Catering to tourists, many of the newcomers looking for perceived coolness"
"Wealthy people ruining the housing market"
"Franchise and Wall Street-owned businesses and their power"
"Taking down monuments/history"
"Not building enough housing"
"Responsible Local Government"
"Residents not wanting to share their city with outsiders"
"Condos being built"
socialism
"Unregulated growth and the destruction of our surrounding forests, farms, mountains and waterways"
"Crime and homelessness"
"Over crowdedness"
"Black lives Matter"
"Destruction of the forest"
"Influx of transplants"
Litter
"overtourism; comodification"
Gerrymandering
"Too much traffic"
"Too many people"
"Too many people and apartments"
"slow moving infrastructure"
Entitlement
"All the destruction of land for new housing"
"New people pretending they've lived her forever complaining about new people moving here"
"People not wanting to work"
"City and county loyalty to tourism and wealthy transplants; utter divestment from LOCALS and the middle and lower classes."
"Asheville City Schools"
"Over restrictive local government"
"Friendly, non-judgmental attitude for all ages"
"Luxury condos"
"Bike paths and crowds through untouched neighborhoods"
"Crossroads at west avl"
"Airbnbs and tourists"
"Locals being priced out of the city"
"Income inequality"
"Not paying people who work here what it takes to live here"
"TECH & Smart Phones"
$$
"Big money buying all the houses"
"Overpriced, local businesses don’t support each other or Asheville citizens"
"Destroying nature"
"Mental health and housing crisis"
"Costs pushing out creative locals"
Asheville
"Ingles Everywhere"
"Demolition of historical buildings/homes"
"It's too attractive"
Development
"pvc plastic company on french broad"
"Refusing to grow, change, and improve for all who live here"
Tourism
"High density housing"
"Bachelor & bachelorette parties"
"Housing costs"
"Small Mindedness"
"Broadcasting Local Outdoor Spaces"
"Defunding the Police Movement"
"All the breweries"
"Second home buyers"
"Not helping homeless"
"Lack of economic and racial diversity"
"Loss of family farms"
"Bike lanes on Merrimon Ave"
"Large developments"
"Lack of workforce housing"
"Residents against tourists"
"Cutting down the trees"
Tourists
"Affordable housing"
"Highway expansion"
"Downtown crime"
Police
"Lack of valuing local economy"
"Too many tourists"
Barley’s
"Tourists moving here"
Wokeness
"Hotels and airBnBs"
"Continuing the single-minded focus on tourism."
"New yorkers"
Developers
"modern art"
"Road SystemsToo much traffic"
"the nc state legislature"
"Low wages and housing costs"
"More Cars"
"State of North Carolina"
Nostalgia
"Cheap big box stores"
"The wealthy"
Cocaine
"Cost of living"
"Catering to tourists and the upper middle class rather than using our unique blessings to meet the needs of underserved ppl in this community"
"Coalition for public safety"
"white people culture"
"Pack Square empty of monument"
"cookie-cutter housing developments that exclude low income applicants and make us look like every other city"
"More hotels"
"more new residents"
"property tax"
money!
"Building demolition"
"The mayor"
"Big city people moving to a small city vibe"
Commercialization
"intolerance of the growth"
Safety
"Firetruck party bus and the like"
"Unmanaged growth without affordable housing"
"People with money changing the vibe"
"Big hotels downtown"
"Real estate investors"
Fentanyl
"Lack of support for the arts"
"Catering to the demands of minorities, which continues the erosion of personal freedom for the masses"
"Widening of 26 through the city"
Conservatives
"generic architecture"
"Apartments everywhere"
"Jeff Davis"
"Outside investors"
"Failure to value locals and provide for homeless"
"Not Supporting Local Businesses & Artists"
"Intolerance of difference"
"Unregulated growth"
Trumpers
overcrowding
Overbuilding
"Chain restaurants"
"Chain restaurants downtown"
"Chamber of Commerce"
"City government"
"Drug addiction"
Floridians
"Out of town investors"
"Too many people moving here"
"Gentrification and hotels being constantly built downtown"
"Too much growth"
"Taking away air bnb"
"Greedy developers (over development)"
"Corporate buyers for Air BnB"
"Lack of affordable housing"
"South Asheville"
"School system merger."
"Continued Residential Development"
"Displacement of locals/Overtourism"
"Continued Development and cutting trees/eliminating wild spaces"
"High cost of living"
"More population non-hippie"
"No public art besides murals"
"Destroying nature to build more over priced apartments or other tourist buildings."
"pushing out artists"
"Artists leaving because river arts is too expensive for the arts"
"High Real estate prices"
"Venture capital and out of state developers"
"Homelessness and drugs"
"People moving here"
"Fast food restaurants"
"Lack of dense housing!"
"Rich Transplants"
"Stupid people"
"Growing too fast"
"Increased population"
"Tearing down historic properties"
"That there is not a lot of money to be made here"
"Local government. And the elite"
"Apartment buildings"
"Out of towners moving in as people who has lived here are increasingly unable to afford rent"
"Tourism funding"
"expensive real estate"
"Commodification for tourists"
"Corporate businesses"
"Corporations and tourism"
"Any threat to individual liberties and freedoms of anyone."
"only the rich being able to afford to move here"
"MAGA infestation"
"Growth and overdevelopment. City councilors are blinded by dollar signs instead of quality of life for citizens."
"Low income housing"
"Continued luxury home building"
"Chain businesses/more hotels"
"Poor city planning"
"Not celebrating or promoting it can be a potential threat. Too many chains can drown out the weird."
"state assembly"
"Prioritizing tourism over residents"
"Permissiveness of local government"
"People moving to Asheville and trying to change its culture!"
"Deforestation and tree removal for new housing and construction projects (overall human expansion and growth to the detriment of the ecosystem)"
"Right wing racists"
Boomers
"cheaply built and ugly Apartment buildings"
"Cost of real estate"
"Chain hotels, too many tourists"
"Crime increase"
"Continued growth"
"Apotheca dispensary"
"Gentrification and hotels being constantly built"
"Growth over urban planning/infrastructure"
"Climate Change"
"Luxury building and companies"
"Hotels and developers"
Deforestation
"Inaccessible housing prices"
"More giant apartment complexes"
"Subsidizing hotels"
"Rich people buying up property"
"County commissioners"
"Chasing tourist trends"
"non local businesses"
sprawl
Yankees
"Massive apartments"
"Buildings that don’t fit in with local architecture"
"Hotels and airBnbs; trash; aggressive panhandlers"
Overdevelopment
"Not helping the homeless and creating more affordable housing."
"Liberals WE WANT OUR MONUMENTS BACK!"
"People from California"
"City Gov. is not taking care of locals at all, they just keep grabbing for money from tourism and ignoring the issues"
"Snow Birds"
"Urban sprawl"
"Making absure rules for short-term rentals in Buncombe County"
"Rich white people"
Overpopulation
"Outsiders moving here & changing our lifestyle to theirs"
BID
"The rich"
"Big Business"
"Conservative tourists making fun of locals"
"Outpricing locals"
"Tom leslie"
"Overpopulation and reduction of forest"
"People moving here bringing what they left"
"Out of State Developers"
"no affordable housing for service workers.  only places for the wealthy or corporate buyers to turn into short term rentals pushing locals out."
"No one can afford now but the rich"
"Too many ugly apartments. Not nearly enough good , new architecture."
"out of town developers"
"unrestrained growth"
"Another hotel"
"Thoughtless Building"
"Not taxing corporations for community resources"
"Protect Asheville bears organization (they cause too many bears)"
"Hotels and apartments"
"The Left"
"More people moving here"
"More chain stores downtown"
"chain stores"
"Unaffordable Housing"
"Corporate companies swallowing up local restaurants and other businesses"
"Local Government valuing tourism over residents"
"Cool folks being priced out"
"Best of awards"
"Bachelorette parties"
"too many outsiders"
"Steady Collective"
"No rent control"
"corporate retail/restaurants"
"the people moving here"
"Big Money"
"Too late"
Billionaires
"Too many huge home complexes being built with little consideration for the traffic impact."
"Un-affordable housing"
"Inability to use Tourist Tax dollars to benefit locals"
"Runaway Capitalism and Exploitation of Creatives"
"Influx of part time out of state residents"
Noise
"East Fork Pottery"
"Corporate purchases of individual homes"
"california and new york immigrants"
"Kids moving away - 2 main reasons.  #1 Lack of affordable housing and 2. Not enough for young people to do for low cost or free fun here"
"Loss of green spaces due to aggressive development."
"Housing Prices"
"People bringing their high paid out of town jobs driving up costs"
"Lack of a masterplan for future development"
"Mediocre breweries fumbling prime location"
"cost of housing"
Whiteness
"Cost of housing increasing"
"hotels, developers & homeless"
"Increased building"
"ugly architectural trends that look like storage containers"
"Getting outsiders to do our promotions- and promoting MORE tourism while its citizens suffer lacking infrastructure"
"the business improvement district"
"Selling Out to chain stores"
panhandling
"I-26 connector project"
"Lack of housing for young people"
"Freaking weirdos"
"NOT more hotels."
maga
"Project Aspire"
"Excess tourism"
Construction
"rich hipsters"
"Elon musk"
"Opportunity Zoning"
"Excessive beer culture driving out local businesses"
"Corporate businesses and Corporate Air BnBs"
