"Local hero"
"Best local artist, local icon/town mascot, best non profit, best biking route"
Tattoo
"Best caterer and best chef"
"recognizing individuals and groups helping with recovery"
Church
"Best recovery from Helene"
"Next year we hope to see Marshall and Hot Springs back in business"
"something that the answer is Josh Copus"
Hiking
