"Mars Hill University"
"Old Marshall Jail"
"Marshall Depot"
"Marshall High Studios (Marshall, Blannahassett Island)"
"Downtown Marshall"
"Madison County Courthouse"
"The Lodge - Mars Hill"
"Rosenwald School (Mars Hill Anderson Rosenwald School)"
"Rural Heritage Museum"
"Capitola Mill - Marshall"
"Blannahassett Island"
"Mermaid Parade"
"Owen Theater"
"White Rock Hospital, Shelton Laurel, Madison County"
"Shelton Laurel Massacre"
"Blannahassett Bridge"
"French Broad River"
"Bascom Lamar Lunsford Festival - MHU"
"Bailey Mountain Preserve"
"Main Street Marshall"
"Jeff White House"
