"Dinner Restaurant"
"New Orleans Style Restaurant and Music Venue"
"Affordable Housing"
paving
"Less Gentrification"
"More Housing"
parks
"More Coffee Shops"
"A shuttle for boaters/tubers"
"Finished Greenway"
"Public Bathrooms"
"More and Safer Parking"
"Outdoor Art Festivals"
Woodworking
"Ice Rink"
"Statues and Venues"
Parking
"More Trees on that Walking Path"
"Place for Kids to Play While Adults Have a Beer"
"Art Experiences for Local Families/Kids"
"Better Sidewalks"
"Affordable Studio Space for Artists"
"Soft Serve Frozen Yogurt"
Police
"Less Homeless"
"Outdoor Amphitheater"
"Safer Parking, More Sidewalks, Bike Lanes, Murals, Affordable Place to Use Studio Space for Pottery & Other Arts"
"Small Grocery Store or Market"
"Open Park"
"Safe crossing of Amboy Road Bridge for the Greenway"
"More Art Fairs"
Signage
"More Restaurants"
"Help for Homeless"
"Another Music Venue"
"More Sidewalks"
"Pedestrian-Only Area"
"More Greenways, Affordable Housing"
"Less Cops"
"Greenway connected to Woodfin"
Renovation
Burritos
"More Residential Housing (Could Easily Get 4-6 Stories and Have Great Density, Add in a Park and Some Stores on Ground Floor)"
"Sell Cooked Sausages like Bratwurst; Pastry Shop Cafe"
"Less Housing Development"
"Food Truck Festival"
"Dog Park Bar"
Diversity
"Better Murals"
"More Shops"
"Fewer Condos"
"Litter pick-up crews"
"Park with Trees and Grass"
"Easy to Read Map of Studios and Restaurants"
Chick-fil-A
"Rent control"
"Plus Size Vintage Clothing Shop"
"Clean Up the Drugs"
"Better Flood Control"
"More Reuse of Old Warehouse Buildings"
"Bicycle and Pedestrian Infrastructure"
"Nothing, Leave It Alone"
"Street Lights"
"Speed limit sign on Riverside Drive"
"Jeni's Ice Cream"
"Free Parking"
"Trolley Service"
"Better Parking"
"More Dining"
"Bike Lanes"
"More Parking"
"All Vegan Cafe"
"More Bathrooms"
"More Lighting"
"Less River-side Development, More Open Space"
"Bike Trails"
"Coop craft store or general art and craft store."
"Cheap Hibachi Food"
Restrooms
"Faster Food"
"Another brewery"
"Riverside Clean Up"
"Lower Prices"
"Clean Up"
"More Police"
"Juice/Smoothie Store"
"Trash Clean Up"
"Cheaper Prices"
"Chinese Restaurant"
Jesus
"Sandwich Shop"
"NY Style Pizza"
"Less Junkies"
"Grocery Store"
"Family Friendly Entertainment"
"Less White People"
"More Green Space"
"Clean River"
"Less Attitude"
"Less Tourists"
"Food Cart Vendors"
"Law enforcement"
"Breweries/bars with liquor and kitchens"
"Bagel Shop or Sandwich Shop"
"Jewish deli"
"Outdoor Art Festival and Crafts"
"Work Completed on River Walk / Greenway (Finish Them)"
"Less Crime"
"More Lunch Spots"
Safety
"More Trees"
"Clean Water in the French Broad River"
"Black-owned businesses"
"Late Night Food"
"Creative flood prevention"
Levees
"Bubble Tea"
"Living Wages"
"More Public Transportation"
"Hat Shop"
"Less Drugs"
Pharmacy
"Public Park Areas by the Water"
"Mass Transportation"
"Coffee Shop with Outdoor Seating"
"Trash cans"
"Less Jonas Gerard"
"Continue to revitalize existing structures"
"More Security"
Trees
Shopping
"EV chargers"
"Less Cars, More Artists, Affordable Housing, Less Tourists"
"Free Bus to Transport Visitors within District, Better Signage"
"More Art/Artists"
"Charge a fee for overnight van life people"
"Cheesecake Factory"
"More Studios"
"Homeless Camp"
"A Giant Fire"
"E-Bike Rental"
"Composting Toilets, More Edible Trees and Gardens, Bike Lanes, Electric Scooters to Rent, and Public Spaces"
"Cocktail Bar"
"Weed dispensary"
"remove roundabouts"
"Thrift Stores"
"Connected Greenways"
"History Museum"
"Bridge Going Over the Train Tracks that Connects Depot Street to The Foundation"
"More Police Presence"
"Low Barrier Homeless Shelters"
"A Good Sandwich Shop (Snarfs Deli)"
"Bike Signs"
Shade
"Less Development"
Swings
"Continuation of Bike Path to Biltmore"
"Diversity, representation, accessibility"
"Hop On Trolley"
Cohesiveness
Sushi
"Cat Cafe"
"Water Park"
"More Picnic Tables for Playgrounds"
"Water Feature with Educational Aspect for Clean Water and Conservation"
"Cooling stations"
"Playground and Basketball Courts"
"More Vegan"
Bookstore
"Art Supply Store"
Artists
Park
"Decent Steak/Grill House or Pub"
Goats
"Dog Park"
"Road Construction"
"More Kid Friendly Activities Outside and Inside"
Restaurants
"Food Trucks"
"Train Station"
"Road Repairs and Striping"
"Teenager Hangouts"
"Better Paying Jobs"
"More Vegan Restaurants"
"To Be Left Alone and Not Industrialized (Preserve It)"
"No Bikes on Sidewalks"
"Amazing Pubcycle Tours"
Arts
"More Restaurants, Less Crime"
"Breakfast Restaurant"
"Higher Speed Limit"
"More Locals"
"More Food"
"Footbridge Across the River"
"More Connected Walkways"
Playground
"A Good Restaurant"
"More Food Options"
"Roller Blading Rink Only"
"Good Thai Food"
"Float Up Bar"
"Records in the RAD"
"Deeply Affordable Housing"
"Wine Bar"
"Easy Restaurants/Cafes"
"Liquor Store"
"Community Gardens"
"Less Construction"
"More Live Music Venues"
"Take the Asphalt Off the Brick Streets"
"Less People"
"Better Roads"
Transit
Costco
"Police Towers"
Pool
"Less Police"
"More Speed Bumps"
"Asian Food Restaurant"
"Vegan and Gluten Free Bakery"
"Halal Food"
"Nuclear Explosion"
"Enforcement of Speed Limits"
"Restaurants and Shops"
"Fewer Floridians"
"Skating Rink (Indoor)"
"More Food Open During the Day"
"More Development"
"Artist Housing"
"Skating Rink"
"Community Nonprofit Art Gallery"
God
"Safer Crosswalks"
"Friendlier People"
"Roller Skating Rink"
"Senior Haunt"
"Mini Transports To Go from Area to Area (So You Can Leave Your Car)"
Infrastructure
"Affordable Art Classes"
"Naked People Wearing Dildos on Their Head"
"Black Wall Street"
"Better Tacos"
"Outdoor Food Emporium or Gathering of Food Trucks"
"Free Public Transit"
Soul
"Light Rail"
Ramen
Liveliness
"Electric Car Plug-in Places"
"Poetry on the Greenway"
"Salad Restaurant"
"Splash Park"
Bulldozer
"More Plantings"
Republicans
"Housing for Homeless & Affordable Housing"
"Fewer Cars, More Pedestrian Only Areas"
"Play Structure for Kids"
"Paved Streets"
"Fewer Cars, More Sidewalks, Bike Lanes, Transit Lines, and Human Scale Infrastructure"
"Size Inclusive Clothing Boutique"
"Refurbished Housing"
Diner
"Affordable Restaurant"
"Shuffle Board Court"
"More Murals"
"More Bike Paths"
"More River Bank Clean Up"
"More Performance Spaces"
"Bathrooms and Services for Homeless"
Arcade
"Another Taco Billy"
"Passenger Trains"
"Large Indoor Shopping Mall"
"Flood Proofing"
"Cheaper Rents for Artists"
"Writer's Café"
Benches
Rebuild
Food
"Moving Sidewalks"
"Walking Bridge Over River"
Hotels
"A Good Medium Priced Restaurant"
"Less Building"
"Ice Cream Shop or Truck"
"Corner Store"
"Asheville Police Department"
"Be Crime Free"
"Public Services for Mentally Ill or Homeless"
"Place for Dogs and Kids to Play while Adults Drink"
"Indoor Kid Friendly Entertainment"
"More Venues"
"More Trees, Lighting and Walkways"
"Cheaper Restaurants"
"Accessibility, Affordability, Housing, Health Services"
"Less Air B&Bs"
"More Healthy Eateries"
"Hot Dog Stand"
"Less Problems"
"24/7 Store"
"Fentanyl Control"
"Parking Lot Improvements"
"Less Trash"
"Walking paths"
"Less Hotels"
"Wheelchair accessibility"
Bathrooms
"Better Restaurants"
"Fewer Cars"
"More lighting at Carrier Park"
"A grocery store that’s not Inglés"
"Better public transportation"
"A park"
"24 hour breakfast spot"
Clowns
"Authentic Chinese Food"
"Fill Potholes"
"More track crossings"
"No more tattoo shops"
"Skateboarders overtaking all of the cheesy businesses"
"no floods"
"Earlier openings"
"Live/work studios"
"no cops"
"A dedicated pedestrian cross way over the French Broad River."
"Pedestrian Railroad crossing between Wedge locations"
"path to downtown"
"Road without potholes"
"Fewer hotels"
"contiguous bike paths"
"Buildings Height law"
"Food Hall"
"Outdoor picnic area"
"Smokey park supper club to come back!"
"places to eat lunch"
Putt-Putt
"Metered Parking and more lots"
"Red Robin"
Culture
"Dedicated pedestrian bridge across French Broad"
"Strolling guides"
"Less apartments"
Observatory
"The area needs more connection from one area to the next."
"Place for Kids to make art!"
"Fewer artists"
"More affordable restaurants"
"Less bachelorette parties"
"more plants and flowers"
"quick food options for working artists to grab a bite"
"public fishing holes"
"Water fountains on the greenway"
"Skateboard park"
"24 hour diner"
"Visible street numbers or roadside business directories"
"Condo Living with shops on the first floor"
"Smoky mountain painting LLC"
"Signs telling cyclist to say ‘On your left” when passing a walker"
Conservatives
"Bar for older people"
"Convenience store or bodega"
"Great Deli/Gourmet Market"
"Improved safety"
"Clearer indication of hours for studios"
"Indoor Roller Skating Rink"
"Salvage Station (Permanently Closed)"
"More river access"
"Bar on the water"
"Interactive installations"
"Cocktail bar with full kitchen"
"Duckpin bowling"
"Foot traffic"
"Another place to get food"
"Outdoor theater"
"Gas Station"
"A bowling alley"
"Gas station"
"Kava bar that's also a cat cafe"
Q-Hall
"Clothing retail"
"More trashcans along greenway"
"Less fences"
"Bath house"
"More affordability"
"Meow Wolf"
"Food Truck Park"
"Free Shuttle"
"Interactive Arts"
"Performance venues"
"More coffee shops to work remote"
"reasonably priced studio space and another restaurant"
"Really giant sculpture of a vagina"
"More artists. less hotels"
"Sandwich Shop - Finest Deli"
"A Traditional american food restaurant"
"Street Performers"
"More outdoor restaurants"
Theaters
"mountain bike park"
"Snack/water stations for houseless folks"
"Children's hands on space and or classes"
"more accessible parking"
"Independent Movie Theatres"
"access to water for people and pets along the greenway"
"Better signage"
"Authentic Italian Deli/Bakery"
"To stay artist focused"
"Soccer Stadium"
"More publicity"
"No more breweries"
"Magnetic theatre"
"Less bad art"
"Kayak Rentals"
"Improved sidewalks and/or shuttle"
"finish that f'en apartment"
"Paved lots"
"Accessibility upgrades for people with disabilities"
"Trader Joes"
"unpaved mountain bike trails"
"Serious coffee shop"
"Lower rents / affordable housing"
"Lower rents/prices"
"Less construction, fewer hotels, more REAL artists, lower rents for artisans"
"Sidewalks and paved parking lots"
"More Bars, Dancing, Dining, Affordable Housing, Affordable studio spaces, Keep it safe and vibing -- it's the best, most beautiful, and unique neighborhood"
"Homeless and Druggie Removal"
"Eliminate Panhandling"
Rebuilding
Restoration
"Support for recovery"
"Support and funding"
"Find location to rebuild elsewhere / doesn't flood"
Love
Saving
Help
"Community center"
"Money to rebuild"
"A plan to rebuild safely"
"Healthy, affordable restaurant"
Healing
"Helene Recovery Funds"
"More/new art installations"
"To be moved upland"
Scaffolding
TLC
"AVL Unpaved"
Money
"to rebuild in a way that is in harmony with the river in a sustainable way that adresses the probability of more severe storms and flooding"
Support
"Loaded question"
Everything
"all of it"
"More cleanup"
"Clean up from flood"
"A dump truck"
"Major help to bloom again"
"City and state support"
"Help To Rebuild"
"Tex Mex (cheap)with parking"
"Less Homeless people"
"Green Infrastructure/Rebuild"
"people with money to spend at local restaurants and shops"
Electricity
Recovery
"Dance club"
"Preserve greenways"
"More parks"
"Pleb Winery and Mean Pies Pizza back"
Funding
"Flood insurance"
"Restoration of local galleries"
"Funding and support to rebuild"
"Continue attention and funding post Helene"
Stilts
"Lower Priced Homes"
Prayers
"Reconstruction & seriously elevated properties"
Bagels
"Artist Studios"
"Memorial for Helene"
"To Exist Again"
"A Yoga Studio"
"Love and support"
"To come back"
Rebuilt
"Federal stimulus for local business rebuilding"
"To not build in the flood plain"
"even more compassion"
Greenery
"Funding to support artists after helene destruction"
FEMA
Marquee
"To be rebuilt"
"Continued Support"
"GOOD vietnamese food"
Affordability
"Fingerboard Park"
"Carrier Park built back"
"Maybe to not be rebuilt due to risk of severe flooding again"
Rejuvination
"Better demarcation between PEDESTRIAN and VEHICLE traffic in Lower RAD"
"More park area where devastation was hit"
"help to rebuild to withstand a big flood"
"The Grail returns"
"To be resurrected"
"Huge Park"
"Restoration and future flood protection"
"Thoughtful Rebuilding"
"A revivication plan that recognizes its ecological vulnerabilities"
"Donations to help fund recovery"
"Outdoor music"
"Sustainable and people-centered NONPROFIT redevelopment"
"More bike lanes/paths"
"Sustainable, Green, Storm Recovery"
"Asheville Guitar Bar Revisited"
"Summit Coffee rebuild"
"Less apartments or condo buildings"
Elevation
"Made into green space"
"More music venues"
"Rehab facilities"
"Government funding"
"Good plans for the rebuild"
Repair
"Storm clean up"
"Protected bike lanes"
"Smart rebuilding"
"Hurricane restoration"
"Restore the Arts"
"Blown Up!"
"Flood Wall barriers along River"
"Help to determine the best next step"
"Seafood restaurant"
"Help in reviving it after helene"
"A break"
Sweetgreen
"Rebuild with flooding safe ways"
"Bottle Riot’s Resurrection"
"Rebuild Foundy"
BUSINESSES
Fixin’
"Safe pedestrian crossing"
"Safe Buildings"
Renewal
"Rosa Bee's"
"Italian Deli"
Pho
"Strip Club"
"Less Residential"
Fixing
Reopen
"Trump to be impeached"
"Massive cleanup"
"No More High Rises"
Repaired
"Better Busses"
Hope
"Repair and love"
"Summit Coffee"
"New Flood Plan"
"More Bike Lanes"
"Peruvian chicken restaurant"
"More Activities for Kids and Preteen"
Rejuvenation
"Climbing Gym with top rope"
"Elevate any new buildings above flood plane"
"Cooking classes"
Time
"Recovery Assistance"
"More Diversity"
"More Activities for Kids"
Buildings
"Protection from storms"
"To build back stronger than ever."
"Grail movie house"
Tourists
"Local Cupcake Shop"
"Water taxi"
"Reimagine RAD"
"Intelligent redesign"
"The area needs more connection from one area to the next. Free tram"
"A levy"
"clean up and rebuild help"
"help with cleanup"
"Local Help"
"rebuilding help after the flood"
"rebuilding to withstand future floods"
