"MountainTrue (Mountain True)"
"HIGHTS (Helping Inspire Gifts of Hope Trust and Service)"
"WATR (Watershed Association of the Tuckasegee River)"
"Catman2 Cat Shelter"
"ARF (Humane Society of Jackson County)"
"Vecinos, Inc. Farmworker Health Program"
"Canary Coalition"
"The Community Table"
"Center for Domestic Peace"
Housing
"Children’s Cancer Partners of the Carolinas"
"Cornbread and Roses"
"Mountain Projects"
"local drag queens performing"
"Paper Mill"
ARF
"WCU Scholarships!"
"Student Success"
"Calliope Stage"
"Rebuilding the park"
"Sylva Pride"
Green
"Full Spectrum Farms (Cullowhee)"
"Uncomplicated Kitchen"
"Josh Jones"
"Friends of the Jackson County Greenways"
"American Museum of the House Cat"
"United Christian Ministries of Jackson County"
"Indivisible WNC"
"New Engineering Building"
"Jackson County Democratic Party"
"United Christian Ministries, HIGHTS, Department on Aging, AWAKE"
"Cleaning up the mountains"
"Cullowhee Native Plant Conference"
"Mountain CORE Mission"
"Landmark Learning"
