"Publix Super Market"
"Short Street Cakes"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Cakes by Gray"
"Coco's Bake Shop"
"Whisk Bakery"
"Nothing Bundt Cakes"
"AVL Cake Lady (Asheville Cake Lady)"
"The Hop Handcrafted Ice Cream (Hop Ice Cream, The Hop Ice Cream Cafe)"
"Ingles Markets"
"Fletcher Village Bakery"
"Baked NC"
"Worthy Baker (The Worthy Baker)"
"Hey Hey Cupcake (Hey! Hey! Cupcake)"
Butterbug
"All Good Things Bakery"
Smallcakes
"Gateaux Bakery"
"Cakes by Jane"
"Love To Cake"
"Whits Frozen Custard"
"Three Eggs Cakery of Asheville"
"Karen Donatelli bakery"
"City Bakery"
"Layered Custom Cakes by Lex"
"Eat More Bakery"
"OWL Bakery (Old World Levain, The Owl)"
"Kandi's Cakes & Bake Shop (Kandis)"
Walmart
"Sugarcane and Shepherd Desserts"
"Cold Stone"
"Whole Foods Market"
"Butter and Blooms"
"Earth Fare (Earthfare)"
"Ivory Road Cafe & Kitchen"
"Farm to Cake Bakery"
"Appalachian Java Cafe & Desserts - Burnsville"
"Blue Ridge Bakery, Brevard"
"Geraldine’s Bakery"
"Amy’s Bakery"
"Stella’s Sweet Boutique"
"McFarlan Bake Shop (McFarlan's, McFarland)"
"Sam's Club"
"Well-Bred Bakery & Cafe"
"Back Porch Baking Co."
"The Baker's Box"
"Budgie's Bakeshop"
"Cheryl Brookhouzen"
"Dairy Queen"
"Filo Pastries"
"Mary's Mountain Cookies"
"Old Europe Pastries"
"Sweet Monkey Cafe & Bakery"
"Gallivant Coffee - Woodfin - Closed"
"Missy Moon Cakes"
"Ultimate Ice Cream"
"Mars Hill Ingles Market"
"Bonnie Bond"
"Butter & Blooms Brevard"
"Ben & Jerry's"
"Bake Hampton"
Sifted
"Journey Baked Goods - Bryson City"
"A La Cupcakes - Closed"
"Amy's Bakery"
50/Fifty
"Abeja's House Café"
"Baked Pie Co."
"D's Sugar Shack"
"Fresh Market"
"Harris Teeter"
"Hendersonville Community Co-op"
"Janet’s Specialty Bakery"
"Cakes by Morgan"
"Mount Patisserie"
"Pretty Black Cakes"
"Schuller’s Sweets"
"Sweet and Southern Bakery"
"Sunny Point Café"
"Sweet Elegance"
"Sweet Street Bakery"
"The Bake & Shake"
"The Vintage Bakery, Weaverville"
"Sweets & Seats (Sweets and Seats)"
Crumbl
"Rabbit Hole (The Rabbit Hole)"
"Whisk AVL"
"Georgina Ray"
"Mabel Bakery"
"Heavenly Sweets Bakery - Arden"
"Mattie Lou's Cafe and Bakery"
"Sam’s Club"
"Old Europe"
"Sweet Annie's Bakeshop"
"Butterbug's Baked-to-Order"
"Mary's Sweets and Treats"
"Valhalla Cakes - Tryon"
"Sweet Frankie's Confections"
