"Folkmoot USA International Festival"
"Apple Harvest Festival - Waynesville"
"HART Theatre (Haywood Arts Regional Theatre, H.A.R.T. Theater)"
"Annual Church Street Art & Craft Show - Waynesville"
"Canton Labor Day Festival"
"Art After Dark - Waynesville"
"Waynesville Street Dance"
"Canton Christmas Parade"
"Ramp Festival"
"Hillbilly Jam - Maggie Valley"
"Fall Craft Festival in Waynesville  (October)"
"Mill Town Farmers Market"
"Whole Bloomin' Thing"
"Quilt Art by the Shady Ladies"
"Boho Hippie Festival"
"Balsam Range Art of Music Festival"
"Cold Mountain Music Festival"
"Haywood Pride on Main"
"Appalachian Heritage Festival"
