"Lauren Mooney (The Eddy Line Co)"
"Deanna Lynch"
"Daphne Cohen"
"Local Cloth"
"Ashton Zager"
"Ann Hord-Heatherley"
"Nikki Solomon"
"Dani Burke"
"Claudia Muse"
"Brenda Cameron"
"Rachel Meginnes"
"Patchwork Underground (Alyssa Sacora)"
"Olivia Goldstein"
"Friends and Fiberworks"
"Elizabeth Ivey"
"Twin Denim"
"Jan Wescott (Jani Wovens)"
"Lauren Hess"
"Judit Just"
"Jude Stuecker"
"Carrie Carpenter"
"Eleanor Trollinger"
"Anna Buckner"
"Susan Lee"
"Cynthia Bringle"
"Dagmar Haubold"
"Patricia Spangler"
"Rebecca Smith"
"Cara May"
"Hannah Watson"
"Heidi Mayfield"
"Melanie Wilder"
"Paige Houghton"
"Liz Spear"
"Barbara Glassman"
"Pattiy Torno"
"Barbara Zaretsky"
"Edwina Bringle"
"Catharine Ellis"
"Debbie Trantham"
"Catherine Taylor"
"Roberta Mattson"
"Naomi Diamond"
"Quantella Van Der Veer"
"Bernie Rowell"
"Joanna White"
"Historic Johnson Farm"
"Tina Kanapple"
"Erika Franzi"
"Kathy Goodson"
"Suzanne Gernandt"
"Amy Putansu"
"Millie Huggins"
"Judy Quinn"
"Anna Toth"
"Heritage Weavers"
"Betsy Meyer"
"Patti Hill"
"Susette Shiver"
"Kyle Smith"
"Julie Bagamary"
"Ann Harwell"
"Jenna Chitwood"
"Vanessa Barragao"
"Kimberly English"
"Suzanne Monroe"
"Betty Hilton-Nash"
"Madison Jane"
"Denise Carbonnel"
"Judy Levine"
"Arteries by Stina"
"Nica Rabinowitz"
"Susan Codega"
"Sue Smith"
"Jessica Sanchez (Rusted Earth Farm)"
"Amy davin"
"Amelia Huggins"
"Amanda Berry"
"Kari Morton"
"Stefanie Riggs (Moon Rabbit Craft)"
"Swamp Bunny Fiber and Goods"
"Molly Maghahee"
"Pam Howard"
"Lorraine Cathey"
"Sally Garner"
"Irene Heckel-Volpe"
"Connie Brown"
"Jen Stradling"
"Jessica Kaufman (WAXON Batik & Dye Studio)"
"Gail Cable"
"Jerry Maxey"
"Ruth Duckworth"
"Sumo Morgan"
"Judy Smith @ Triple Vision Studio, River Arts"
"Kristalyn Bunyan"
"Phlox (Grace Engel)"
"Michael Smith"
"Tina Glenn"
"Mark Bettis"
"Boyer Mountain Craft"
"Susan Webb"
"Danni Ertter"
"Lynn Kessler"
"Erika Diamond"
"Sophie MillerMack"
"Amanda Murray (dryshine goods)"
"Katherine Caldwell"
"Robin Johnston"
"Tracey Palmer"
"Chad Alice Hagen"
"Kathie Yancey"
"Friendswood Brooms"
"Wendy Ellsworth"
"Betty Nash"
"Jenn Barnett"
"Star Broadnax"
"Denissa Schulman"
"Mitchell Lonas"
"Julie Bantin"
"Jody Callen"
"Paula Bowers Hotvedt"
"Allison Dennis"
"Bill Maze"
"Alyssa Sacora"
"Diane Guerreri"
"Shannon McMillan"
Yoko
"Nancy Perez"
"Nikki Palpal-Iatoc"
"Joanna Donschatz"
"Martha Owen"
"Barbara Miller"
"Kathrin Weber"
"Lisa Lentil"
"Norma Bradley"
"Brandy Clements and Dave Klinger (Silver River Center for Chair Caning)"
"Caroline Williford"
"Diane Kuehn"
"Margaret (Peggy) Remington"
"Cathy Dickerson"
"Courtney Tomchik"
"Alex Frazier"
"Brooke Burleson"
"Appalachian Stitches"
"Coco Villa"
"Molly Sawyer"
"Valerie Hoh"
"Eileen Hallman"
"Leo Monaghan"
"Jason Pierson"
"Miranda Heidler"
"Kate Goff"
"Ashley Little"
"Elizabeth Schell"
"Gina Wilde"
"Caroline Manheimer"
"Helen Kehoe"
"Lara Nguyen"
"Marcia Kummerle"
"Weaving Rainbows"
"Liz Stiglets (cozyblue)"
"Emelie Weber Wade"
"Elizabeth Boswell"
"Molly Hansen"
"Joan Berner"
"Janna Mattson"
rugburntsoul
"Amanda Gross"
"5 Little Monkeys Quilt and Sew (Five Little)"
"Ani Volkan"
"Anne Marie Brown"
"Beth Hill"
"Betty Smyth"
"Catherine Caldwell"
"Colorvision by Vasanto"
"Danielle Odell"
"Eileen Berchem"
"Emerson Kopp"
"Emily Alley"
"Faerie Made"
"Homestead Holly - Maggie Valley"
"Irene Semanchuck"
"Jordan Johnston"
"Joyce Tromba"
"Judy Simmons"
"Kathryn Scott"
"Lacy Nance"
"Lily Kotila"
"Mark Chase"
"Mellie Lonneman"
"Nalan Weaver"
"Nancy Gamon"
"Neil Goss"
"Rita de Maintenon"
"Sandra Godwin"
"Selinde Lanier"
"Tori Bailey"
"Tori Bridges"
"Whiskey-Dog Studio"
"Amber Jensen"
"Annie Balagur"
"Benni Cardwell"
"Carrie Morrison"
"Casey Kersten"
"Claire Lempke"
