"Apollo Flame Bistro"
"Five Points Restaurant (5 Points)"
"Stoney Knob Cafe (The Stoney Knob Cafe, Stony)"
"Post 25 Kitchen & Lounge"
"Bellagio Bistro"
Cornerstone
"The Med (The Mediterranean Restaurant)"
"Nick's Grill"
"Acropolis Pizza Restaurant (Airport Rd, Arden)"
"Kosta's Kitchen (Kostas)"
"Gypsy Queen Cuisine"
"Jerusalem Garden Cafe (The Jerusalem)"
"Pomodoros Cafe (Pomodoros Greek & Italian Cafe)"
"Stoneridge Tavern"
"Athenian Bistro"
"Blue Ridge Bakery - Brevard"
"Twisted Laurel - Downtown Asheville (The Twisted Laurel) "
"Kostas Family Restaurant (Sylva-Dillsboro, Kostas Express Restaurant)"
"Feta Flav"
"Angelo's Family Restaurant - Fairview"
"East Village Grille"
"Papa's Pizza"
"Juicy Lucy's Burger Bar and Grill"
"Pita Express"
"Baba Nahm"
"In town Greek restaurant"
"Golden Fleece (The Golden Fleece)"
"Hot Dog World - Hendersonville"
"Athens Pizza"
Athena's
"Twisted Laurel - Weaverville (The Twisted Laurel) "
Filo
"Tommy's Family Restaurant"
"Mills River Restaurant"
"Appalachian Java Cafe & Desserts - Burnsville"
"Bargello (Kimpton Hotel Arras)"
"We really need a good greek restaurant!!"
"Mad Batter Food & Film (The Mad Batter Kitchen)"
"Greek Orthodox Church"
Skip
"High country greek (Boone)"
"Greek Festival"
"Mr. Kabab Grill (Mr Kabab)"
"Lazy Goat"
"Original Papa Nick's (The Original Papa Nick's)"
"We need a good Greek restaurant!"
"Zoes Kitchen (Zoës Kitchen)"
"Dimitri’s Greek Italian (Landrum)"
"Zoe’s Kitchen (Zoes Kitchen)"
Cava
"The Med"
"Bistro (Biltmore Estate, The Bistro)"
"Golden Pineapple"
"32 Ice Bar"
"Brevard Diner"
Modesto
"Olive Garden"
"Stone Ridge Tavern"
"Cedar Mountain Cafe"
"Blind Mule"
"Marinos Pizza House"
"The Junction Pub"
"All Day Darling"
