"Range Urgent Care"
"Alchemy: Tearoom Apothecary Acupuncture"
"AdventHealth (Park Ridge Health)"
"Lantern Health"
"Integrative Family Medicine of Asheville"
"FastMed Urgent Care"
"Mercy Urgent Care (Sisters of Mercy)"
"Appalachian Mountain Community Health Centers (AMCHC)"
"Daoist Traditions College of Chinese Medical Arts (Acupuncture)"
"ABCCM (Asheville Buncombe Community Christian Ministry)"
"Mauzy-Phillips Center (Blue Ridge Regional Hospital)"
"Blue Ridge Community Health Services"
"Mountain Area Health Education Center (MAHEC)"
"Pardee Urgent Care Fletcher"
"Pardee Urgent Care"
"Mission Health (HCA, Hospital Corporation of America)"
"Planned Parenthood (Asheville Health Center)"
"Asheville Pediactric Associates"
"wellspring direct primary care"
"Dale Fell Health Center"
"CVS Minute Clinic"
"Mission My Care Now"
"Pardee Hospital"
"Ashewell Medical Group"
"Project Access - Western Carolina Medical Society (WCMS)"
"People's Acupuncture of Asheville, The (The People's Acupuncture of Asheville)"
"Free Clinics - Hendersonville (The Free Clinics)"
"One Health Direct Primary Care"
"October Road"
"ab Asheville-Buncombe Technical Community College (A-B Tech, AB Tech)"
"Sona Pharmacy   Clinic"
"East Acupuncture Wellness Boutique"
"Family Health Centers (The Family Health Centers)"
"Mountain Medical Arts"
"Blue Sky MD"
"Haywood Street Congregation"
"Buncombe County Health and Human Services (BCHHS)"
"Not Mission, anyplace but Mission"
"Mission Health (HCA, Hospital Corporation of America)"
"RHA Health Services"
"Asheville Community Acupuncture"
"Leicester Community Health"
"Hot Springs Health"
"wes hite"
"One Health Direct Primary Care - Dr. Elsie Osei, MD"
"WNC Community Health Services (Minnie Jones Health Center)"
"Harpe Wellbess"
"Tryon Family Medicine"
"Hopscotch Health"
"AVL Community Accupuncture"
"eagle street"
"MAHEC (Mountain Area Health Education Center)"
NOWHERE
"The streets"
"South Asheville ER"
"Wren George"
"Skyland Cannabis Company"
"affordable acupuncture of Asheville"
"Alternative Clinic"
"Brock Family Care"
"Health Department"
"NeighborCare (Swannanoa Valley Christian Ministry)"
"Novant Health Go-Health Urgent Care"
"Optimize U"
"Pardee BlueMD"
