"Leeda “Lyric” Jones"
"Digs (The Digs)"
"Indigo De Souza and the Icky Brickets"
"Fritz (The Fritz)"
"Myron Hyman"
"Carrie Morrison"
"Reggie Headen with The Connor Law Quartet"
"Althea Franklin"
"Dashboard Blue"
"Gene Lloyd Songwriter"
"The Feels"
"Soul Blue"
"Andrew Fletcher"
Serotina
"Jesse and the Jam"
"Yo Mama's Big Fat Booty Band (Yo Momma)"
"Aaron Woody Wood"
"April B. and the Cool"
"ALR Trio"
"Bill Mattocks & The Strut"
"Ryan RnB Barber"
"Rhoda Weaver & the Soul Mates"
Billingsley
"John Trufant"
"Get Right Band (The Get Right Band)"
"Vintage Vinyl"
"Evil Black"
"Gangbeef Entertainment"
"Dave Onorato"
"Sister Ivy"
"The Hustle Souls"
"Laura Blackley"
"Appalachian Renegades (The Appalachian Renegades)"
"Buffalo Kings"
"Baggage brothers"
"Broadcast (The Broadcast, Caitlin Krisko)"
"G love"
"Moses Sumney"
"Andrew Scothie and the River Rats"
"Goldie and the Screamers"
"Jon Stickley Trio (The Jon Stickley Trio)"
"Screaming Js"
Fwuit
WestSound
"Elora Dash"
"Larry Smith"
"Ashli Rose"
BoogiTherapi
"Irma Thomas"
"Roots and Dore"
"Second Souls"
DanceKreig
"Lonesome Soul"
"Hope Griffin Trio"
"Marsha Morgan Band (MMB)"
"DownTown Abby & The Echoes"
"Free Flow Band"
"Empire strikes brass"
"Ashley Heath and Her Heathens"
"Ra Soul"
"Electro Lust"
"Juan Holladay"
"Caromia Tiller"
"Nth power"
"Anthony Hamilton"
"pleasure chest"
Jodeci
"Secret B-Sides, The"
"Nattie Love Joys"
"King Garbage"
"Datrian Johnson"
"Peggy Ratusz"
Temptations
"Bell Biv Devo"
"Free Radio"
"Thomas Anthony"
Supatight
"Dakota Moss"
"Jim Arrendell and the Cheap Suits"
"Third Nature"
"pimps of pompe!"
"Night Beers"
"Crosscut Groove"
"Taylor Pierson"
"Kat Williams"
"Oil N Water"
Armadilla
Chilltonic
"Devon Gilfillian"
"Double Love & The Trouble"
"Random Animals"
Moonwater
"Smooth Goose"
"E’Lon JD"
"Mama & The Ruckus"
"The Seceret B-Sides"
"Fresh Buzz"
"Magenta Sunshine"
"Jordan Scheffer"
"Joe Keyes & Late Bloomer Band"
"Dani Cox"
"Acoustic Syndicate"
Cuberow
"Jaze Uries"
"Joe Trufant"
"Lee Brice"
"Grant Yost"
"Boat Command"
"Mood Ring"
"Mike Martinez"
"The Bins"
"Andrew Thelston Band"
"Ben Balmer"
"The Beekeepers"
Pofolk
"TJ Stacy"
"Arron Knoles"
"Orange Moon"
"Rbts win"
Leisureville
"Tony Gilbert and the Fat Cat"
"A.G. Hammond"
"Anne Coombs"
"E'lon JD Triio"
"Rebekah Todd"
"ImiJ of Soul"
"Abby Bryant"
"Adrianne Blanks & the Oracles"
"Emily Quinn"
"High Flying Criminals"
Lewendahl
"Moonshine State"
"Sirai and Friends"
"Street Sinatra (Trevor Darden)"
"Rhoda Weaver and the Soul Mates"
Virtuous
"Benson Boone"
"Blake Ellege"
"Cynthia McDermott"
"Chuck Beattie"
Fantomex
"Gully Mills"
"Jane Kramer"
"Karma Dogs"
"Logan Jayne"
"Ly Ra Vega"
"Melodi Royale"
"Melodic AF"
"Mr. Jimmy"
"Nicholas Duke"
"Nina Gi"
"Southern Soul"
"The Codgers"
"The Feels"
"Wayne Bishop"
"Vinyl Brothers (The Vinyl Brothers, The Vinyl Brothers Big Band)"
Yahzay
"Whitney Monge"
"Abby Elmore"
"The heavy"
"Trevor Darden"
"Jalil Guembri and Friends (Jalil Guembri & Friends)"
"Ralph Navarro"
"Aunt Ant"
KillaKeyz
"Lillie Sryacuse"
"Reemjoles creejoles"
"Gus Vigo"
"Mary Frances Mama Funk"
"Melissa McKinney"
"Breakfast For Dinner"
"Indelible Sauce"
"Ek Balam"
"Bobby (The Sax Man) downtown"
"Soul magnetics"
"Bum Monk"
"Reggie Headen"
"Eaze Dogg"
"Dirty Logic"
"Debrissa McKinney"
"The Blinds"
