"Barnes & Noble"
"Firestorm Books (Firestorm Books & Coffee, Firestorm Co-Op)"
"Instant Karma"
"Malaprop's Bookstore/Cafe (Malaprop's, Malaprop's Cafe)"
"Sassafras on Sutton - Black Mountain"
"City Lights Bookstore - Sylva"
"Bagatelle Books (West Asheville)"
"Morgan's Comics"
"Highland Books - Brevard"
"Montreat College Bookstore"
"Downtown Books & News"
"Battery Park Book Exchange & Champagne Bar"
"Book & Bee (Book and Bee, The Book & Bee)"
"Blue Moon Books - Canton"
"Comic Envy"
Borders
"Mr. K’s Used Books, Music & More"
"Blue Ridge Books - Waynesville"
"Old Buncombe County Genealogical Society"
"Asheville Mall"
"Orbit DVD"
"Cove Bookstore"
"Books-A-Million (Books A Million, BAM!)"
"Fan-Tastic Cards & Comics"
"Plott Hound Books - Burnsville"
"Off the Wall Books n Cafe (Off The Wall Books N Cafe, Hendersonville)"
"Chapters Bookstop (Mobile Bookstore)"
Whist
"L.O.F.T. (LOFT, L.O.F.T of Asheville, LOFT of Asheville, Lost Objects Found Treasures)"
"Daymoon Coffee & Books (Daymoon Coffeebar, Daymoon Coffeebar & Booksellers, Fairview)"
"Little Switzerland Books & Beans - Marion"
"Sassafras on Main - Waynesville"
Mala
"House of Black Cat Magic"
"The book exchange"
"Plott Hounds Book"
"Pastimes Comics & Games"
