"City Bakery "
"Atlanta Bread Co."
"Geraldine's Bakery"
"Underground Baking Company (Underground Bakery)"
"OWL Bakery (Old World Levain, The Owl)"
"Euromarket (West Asheville, Euro Market)"
"Dogwood Cottage Baking"
"Fletcher Village Bakery and Cafe"
"West End Bakery & Cafe"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Rise Above Bakehouse"
"High Top Bread"
"Four Sisters Bakery (4 Sisters Bakery)"
"Hominy Farm"
"Annie's Bakery"
"Rhu (The Rhu)"
"Bracken Mountain Bakery"
"Flat Rock Village Bakery"
"Malvern Hills Bakery"
"Urban Peasants"
"McFarlan Bake Shop (McFarlan's, McFarland)"
"Blunt Pretzels Bier Garden - Swannanoa"
"Old Europe Pastries"
"Ziggy's Bakery & Deli"
"Whisk AVL"
"Earth Fare (Earthfare)"
"Crust Never Sleeps"
"Eat More Bakery"
"Blue Ridge Bakery - Brevard"
"Our Daily Bread"
"Mountain Deli - Hendersonville"
"Panera Bread"
"Publix Super Market"
"Stick Boy Bread Company"
"Wrinkled Egg (The Wrinkled Egg)"
"Wildflour Bakery (Wildflower Bakery)"
"AVL Cake Lady (Asheville Cake Lady)"
"Sweet Monkey Cafe & Bakery"
"Simple Bread"
"Blue Ridge Biscuit Company"
"BimBeriBon - Closed"
"Harvest Bread Co."
"Wildflour Blue Bakery (Wildflower Blue)"
"La Bodega by Curate (Katie Button Restaurants)"
"Bruegger's Bagels"
"Charlotte Street Bakery"
"Gladheart Farms"
"Fireside Restaurant and Pancake Inn"
"Crunchy Baker (The Crunchy Baker)"
"Open Oven Brunch and Bakery - Black Mountain"
"Ingles Markets"
"Liberty House Coffee and Cafe"
Filo
Chestnut
"CBD Cafe - Marshall"
"Appalachian Java Cafe & Desserts - Burnsville"
"Baker's Box (The Baker's Box)"
"Los Nenes Bakery (Tienda Los Nenes)"
"Sugarcane and Shepherd Desserts - Fletcher"
"Trader Joe's"
"Troyer's Country Amish Blatz (Troyers)"
"Karen Donatelli Bakery & Cafe"
"Bent Willow - Franklin"
"Baked Pie Co."
"La Brea Bakery"
Walmart
"Mad Batter Food & Film (The Mad Batter Kitchen)"
"Morning Social"
"Whole Foods Market"
"Lady in Bread"
"Short Street Cakes"
"Dickies Discount Foods (Dickies Half Price Foods)"
"Nothing Bundt Cakes"
"Heater House Bakery"
"Ava's Donuts (Avas)"
"Fresh Market (The Fresh Market)"
"Ivory Road Cafe & Kitchen"
"Backwoods Bakery"
"Grateful Table - Canton"
"Sunny Point Cafe"
"Farm & Sparrow"
"Benny’s Bread"
"Newstock Pantry Food Studio (New Stock)"
"French Broad Pantry"
"Sisu Bread"
"Mini-Batch Bakery (Mini Batch Bakery, Raspberry Fields)"
"Rabbit Hole (The Rabbit Hole)"
"Krispy Kreme"
"All Day Darling"
"Amy's Bakery"
"Mother AVL"
"Kandi's Cakes & Bake Shop (Kandis)"
"Hearth and Holler"
"Sam's Club"
"Back Porch Baking Co."
"Ivy Fields Farm"
"Pisgah Bakehouse - Brevard"
"Recess Coffee and Baked Goods"
"High Ridge Bakery"
Cheddars
"Bryson City Bakery "
"Cup & Saucer - Brevard"
"Davis Country Store and Cafe - Old Fort"
"Harris Teeter"
"Hot Mess Food Truck"
Mela
"The Grateful Table - Canton"
"The West End Bakery"
"Washington Street Baking Co."
"All Good Things - Tryon"
Aldi
"A Rise Above - Fairview"
"Ovenbird Kitchen - Swannanoa"
"Hawthorne House Bakery"
"Don Pastel’s"
"Little Cove Bread - Sylva"
"Mattie Lou’s Cafe and Bakery"
"Budgies Bakery"
"La Vida Bakery"
"Stonewall Bakery"
"The Crust Never Sleeps"
"Mabel Bakery"
"Blue Ridge Market"
"Honey Badger"
Flour
"Mabel's Kitchen"
