"Community Support"
"Livable wages"
"investing in locals"
"Infill. Create more affordable housing."
"Outdoor parks and community spaces."
"Moratorium on new apartments and condominiums"
"Take care of residents, not tourists"
"Invest in local small businesses"
"Create mandatory environmental impact on EVERY project"
"Less Corporate Takeovers"
"Grants to Support Artists, Writers & Performers"
"Tax the Rich Landlords"
"Innsbruck Mall"
"New energy and talent of new residents"
"Sustainable Tourism"
Artists
"more music and arts!"
"Greenway expansion"
"live music"
"Incentivizing promising startups to promote job growth and creativity"
"Namaste in Nature"
"Rent control"
"Stop overbuilding and preserve Asheville's history"
"Supporting local"
"Open mindedness"
"Clean up downtown and move homeless away"
"Give Asheville-natives homebuying assistance."
"Social awareness and activism"
"Bring back Belle Chere"
"Bring black communities back"
"Keep old neighborhoods and quit tearing out heritage trees to build block monolyths"
"Continue the river trail system"
Reparations
"Thriving entrepreneurs"
"Better city planning/zoning"
"Preserve the city's historic and unique character"
"turn the river front into denser work/live/play area instead of shoddy industrial area"
"new mayor and council members"
"Support and funding back to the black community and away from the police"
"slow down growth"
"Wonderful food, art, beer and outdoor scene."
"Our mountain topography/environment"
"More good buskers"
"have more earth-friendly, sustainable restaurants and stores"
"supporting people that actually live here, the backbone of the city."
"local artists"
"build the park on the slope of hope (former pit of despair)"
"Merchant grants"
"festivals and street celebrations"
Veganism
"Pushing developers to design more inspiring spaces that actually enhance neighborhoods"
"Stay green and stop construction"
"Green spaces"
"Climate Issues (Climate Change Adaptation)"
Jesus
"Embracing a changing Asheville, while sticking to basic ideals"
"Grow its diversity"
"another recession"
"airport expansion"
"get more labor in town!"
"Clean up the French Broad River"
"Architectural integrity"
"Nature (local nature)"
"Garden passes at Biltmore"
"Lower rent"
"Allowing people from all backgrounds to be able to afford to live and experience this beautiful city and that begins with affording basic needs like rent"
"Cooperation between moderate liberals and moderate conservatives"
"give back to residents"
"Clean French Broad River - it's filled with poop"
"French Broad River"
"Keep it safe"
"Beer Breweries opening"
"Grow with grace"
"Arts and unity"
"Diversifying the economy"
"replace the Vance monument with a piece of art"
"Upward mobility"
"Continued growth in local food movement!"
"Bikeable downtown"
"Pause and try to regain our uniqueness."
"Electric bikes"
"Keep growing"
"Build more housing"
"Less Floridians"
"Environmental Consciousness"
"More outdoor live music and street musicians"
"rational development by local developers"
"Get politics out and let business run itself"
"Keeping Asheville Streets safer"
"It can't expand too much as it's in a valley"
"more private involvement in Southern Appalachian Highlands Conservancy"
"More bears"
"More Police"
"old houses"
"Keeping the Vance monument"
"No more hotels"
"Bringing more business like Tech companies. People want to live here not just visit (too many hotels)"
"expansion of roads and bridges"
"create local currency"
"Legalizing weed"
"Preserve the local neighborhoods"
"Moving to a new small city"
"Foundation in rad"
"Kim Roney"
"Asheville City Schools"
"More public arts"
"the natural beauty"
"not allowing overgrowth and having affordable housing for the people who make this a cool city!!!"
"Focus on growth of small businesses, artists, musicians and younger people affordability in AVL"
"Pop Bubble Tea"
"affordable housing and defund APD"
"Use TDA money for arts and education"
"Even more tourists"
"Fix housing cost for locals"
"High cost of living"
"Be nature forward in your development planning."
"Complete change of Buncombe County Commissioners !"
"Solving problems outside the box"
"Make downtown Pedestrian only"
"Making the western Biltmore estate a public park"
Election
"New bridge"
"Continued busking"
Tolerance
"Revival post-COVID-19"
"It’s the people. Listen to the locals, and go back to the roots. Asheville has always been a weird and wonderful community. It should stay as such."
"Y’all means All"
UFO’s
"The growing “local” population"
"WNC Birth Center"
Parks
"kid friendly museums"
"Use tourist fees and taxes for infrastructure"
"Local food"
"Turn all the hotels into low income housing"
"Say NO to overdevelopment and fast food"
"Fund APD"
"Embrace more of our unique history"
"Keep it weird - Keep it queer - Keep it friendly to all people"
"Promote alternative forms of transportation"
"Neighborhood gardens/farms"
"More bike paths"
"Bluebird Bubble Tea"
"influx of like minded people"
"more things that connect with nature"
"Stop building houses"
"help entrepreneurs get started"
Solitude
"Welcoming diversity"
"Harnessing tourism/retirement dollars spent"
"we need another plague"
"Offer healthcare choices - more hospitals in the area other than HCA owned"
Umoja
Location
Noth
"Venues for nature"
"Still one of the most liberal artsy cities in the south"
"Outdoor adventures"
"Renovate Thomas Wolfe Auditorium"
"Continue to support rigid zoning standards for downtown."
"Thoughtful public policy"
"Save nature"
"Make the city walkable"
"Good development and adaptive reuse"
"Replace empty stores and malls with mixed-use housing"
"Moat around downtown area"
"reduce homelessness"
"More events at local places"
"AirBNB restrictions"
Murals
"Give tax breaks for those who work and live downtown"
"Go green"
"Fewer hotels and airBnBs"
"Take more advantage of the moniker"
"More pedestrian-only areas"
"less development, more green space"
"More small business support"
"welcoming new creatives via affordable housing"
"Remove noise ordinances"
Jobs
"Family events"
"Bring back Moog Fest!"
"Refurbish historic buildings"
"Stop building. We hit our max. That should be Asheville's new slogan."
"Music and theater"
"Better public infrastructure"
"More veggie options"
"More live music downtown"
"Amtrak station"
"Abolish the APD"
"Recognize that we all need to work and sacrifice for the greater good. Quit blaming hotels and expecting the TDA to fix our community issues."
"Asheville fit tribe"
"Show the world how much talent and wonderfulness is snuggled in these mtns."
"All-out effort for trash/butt-free Asheville, including city streets and roadways"
"Healthy retreats"
"The death of tourism"
"Artist spaces, support, and cultivation"
"Looking inward, reduce advertising for increasing population here"
"Address homelessness in meaningful ways"
"New city councel"
"Return of theater events post covid"
"local comedy"
"get rid of single political control"
"Living up to our perceived free-spiritedness by actually being progressive rather than greenwashing and not taking care of our most vulnerable!"
"Maintain artist and craft presence"
"Asheville FM"
"Natural Beauty"
"Asheville: The Santa Fe of the Eastern US."
"To The Brim Refill Store"
"Independent business"
"Enforce laws"
"pay and charge a living wage"
"socialist mayor"
"Mom&pop owned places"
"Maintain beauty of natural environment"
"Local cuisine"
"Protect nature"
"Show other places how"
"Street cars"
"Community gathering and inclusiveness"
"Fun outdoor experiences and events"
"create safer spaces for pedestrians and limited car access on city streets"
"Cultural diversity"
"Not making unhoused people the enemy"
"Outdoor Music"
Kindness
"The Odd (formerly The Odditorium)"
"Make this a utopia for artists all over the world"
"Removing wokeness"
"Add workforce housing"
"Save our mountains"
"Jordan Seay"
"Core community who care/remember and are in asheville for community not cash"
"Local music scene"
"Stop building"
"Better street art"
"Asheville City Council"
"Outside investors"
"Affordable housing/commercial rent for businesses"
"Lower cost of living"
"clean the river"
"Grow and protect the river arts district"
"Its creative residents"
"MORE DENSE HOUSING! Let's GOOO!"
"Support for small businesses"
"Its long time local residents and businesses."
"Let the homeless be!"
