"Forestry/Timber Harvester"
"Farm to Table restaurant category"
"Fruit tree specialist"
"Houseplant shop"
Florist
"flower garden"
"farm to get produce from/co op"
"farm supply store"
"Pond maintenance and supply store with knowledgeable staff"
farmer
"Non CSA/Family Owned Farm"
"water irrigation companies"
"Beer Garden"
"Pet Waste Removal"
"Animal Sanctuary"
"bbq supply store"
"House Plant Selection"
garden
"stone supplier"
Hardscaping
"BIPOC or equity focused farm organization"
"Most Charitable farm"
"Native plants only"
"ocal honey"
Roses
Greenhouse
"public garden (ornamental)"
"Boulder walls/stone walls, Stone steps/work, Ponds, hard scape excavation"
Gardener
"Favorite garden tour, favorite nature spot in the city, favorite park"
"Professional Trail Contractor"
"Nursery for flowers and vegetable plants"
"Handy repairs"
"Horse Stables"
"Nannys, Dog Sitters and Professional Tax preparers"
"Plant Focused Festival/outdoor venue to buy plants"
"Garden event/fest/tour"
"Community land trust"
"CSA/subscription box"
"Flower farm (literally flowers not a euphemism)"
"Best Hemp Grower"
"Best local beef farm"
"best vendor at tailgate market"
"Environmental Non Profit"
"Drainage/ Water Management Company"
"idk but whatever category we can create to honor the incredible AVL Tool Library (which I'm learning is pretty unique!)"
"Best Garden Decorative Items"
"landscape designer"
"Best houseplant store"
"Best Plant Store"
"Best non profit"
"Best selection of local fauna/flora"
"Landscape Design"
"Indoor house plants as opposed to outdoor gardening"
"Plant Shop"
Consignment
"Local farm, supplying markets and restaurants"
Houseplants!
"Best Grocery Store For Virtue Signaling"
Permaculture
Flowers
"Home repair/renovation"
"Farm to table funders"
"Garden open to the public (Arboretum, Biltmore, UNCA Bot Garden etc."
"Stone Mason"
"Highlight Black-owned or Minority owned Businesses in all relevant categories"
"Painting Service"
"Cannabis Farm"
"Large Equipment supplier"
"organic farmer"
"CBD Farm"
"Environmental Nonprofit"
"Best neighborhood for butterflies"
"New Local Farm in the last year"
"Compost Service"
"Best Microgreens"
"Bargain Nursery, plant quality, nursery service"
"Best garden center for native plants"
"Plant store"
"Native plant supplier"
"Best houseplant selection or best specialty plants"
"Herb seller specifically"
"Best farm school"
"Best Land Stewards in Our Community"
"Natural Plant Vendor"
"Sellers of: Perennials, Annuals, Fruits, Herbs and Vegetables"
"Prettiest Flower Garden"
"Paving and Grading Companies"
"Organic  Nursery"
"Herb farms"
"Stuff about beekeepers"
"Favorite farm/stand at tailgate markets"
"best unique grower"
"Flower Shop"
"Local Meat Producer"
"Bulk GOOD soil"
"Cut flowers"
"Maybe like impactful farmer, flower farm, herb farm, herbalist, urban farm, best u-pick"
"Market Manager"
"school garden"
"Best local produce"
"Non-profit doing sustainable agriculture work"
"seed company"
Dirt
"Flower farm"
"Native plant nursery"
"Favorite Farmer"
"Hottest Farmer,"
"Wildlife rehab"
"Local Honey"
"Best regenerative farm"
"Best Garden related special event"
"Best value plant store for perennials and annuals"
"Other lawn maintenance services"
"Landscape Desing & Installation (instead of Landscaping Service)"
"Consulting Forester"
"Gardener/Gardening Service"
"Winery/Farm Combo"
"Rocks (Best rocks)"
"store to buy bird seed"
"Favorite fresh produce vendor"
"Garden designer"
"Plant Festival"
"Organic soil"
"Free Fridge"
"Farm-to-School Program"
"Farm selling to hunger relief; food hub;"
"Farmer's Market Vendor"
"farm school"
"Pest Control"
"Firewood supplier"
composter
"native plants"
"WNC native plants nurseries"
"Dirt Supplier"
"Favorite wildlife animal around here"
"Flower grower, herb grower"
"Metal sculpture- Drew Shook"
Agritourism
"Flower Seller"
"houseplant store"
"Dog walker"
"B.B. Barns"
"Massage spa"
"Landscape Designer/Landscape Architect"
"Home Inspector"
orchids
"Flower shop/flower farm"
"Weekday Market ; Best Weekend Market"
"Post Helene tree help"
"Flower Truck/ Pop Up Flower Bar - Let It Be Flowers"
"Mushroom Farmer"
Microgreens
"Plant shop (not nursery) palm and pine!"
"garden center for native plants"
