"New Budding Artist"
"Business to Enjoy the Outdoors"
"Favorite business"
"Craft Gallery"
"local tea spot"
"Local music event"
"new restaurant"
"Floral Studios"
"extra small and very large venue spaces"
"social gathering place"
brunch
"Bakery/sweets, Ice Cream, Kid friendly activities"
"Outdoor and Adventure Guiding Company"
"Non profits"
"local mental health therapists who serve community"
