"Dance Club Asheville (ADULTS)"
"Pat's School of Dance"
"Legacy Dance Center"
"Center Stage Dance Studio"
"Ballet Conservatory of Asheville"
"Asheville Ballroom & Dance Centre"
"Asheville Dance Theater"
"Little Gym of Asheville (The Little Gym)"
"Asheville Academy of Ballet and Contemporary Dance (The Asheville Ballet)"
"Releve Performing Arts Center"
"Appalachian Dance Theatre"
"Asheville Contemporary Dance Theatre (The New Studio of Dance)"
"Academy at Terpsicorps Theatre of Dance (The Academy at Terpsicorps)"
"Zahiya Online (Studio Zahiya, Lisa Zahiya)"
"WNC Dance Academy"
"Angie's Dance Academy"
"Celia's Dance Academy"
"Weaverville Dance Academy"
"Triple Threat Performing Arts Academy"
"In His Steps Dance Ministry"
OSEGA
"Art of Dance Studio"
"Dimensions Studio of Arts & Athletics"
"Black Mountain Center for the Arts"
"Southside Dance Studio"
"Stewart/Owen Dance"
"Asheville Community Movement (ACM)"
YMCA
"YMCA WOODFIN"
"Marissa Hiley Dance"
"Aerial Space"
"American Ballroom Company"
"Appalachian Performing Arts"
"Asheville Parks & Recreation Community Centers"
"Carolina Dance Collective"
"Carpenter Academy of Irish Dance"
"Continuum Dance Co."
"Dimensions  Studio of Arts & Athletics"
"Uphora (ADULTS)"
"Red Pumps Fitness"
Hola
Momentum
"Londance Dance Studios"
MusicWorks!
"Odyssey School (Odyssey Community School)"
"Fearless Athletics"
"Pirouettes Dance"
"Asheville Contemporary Dance Theatre"
"Empyrean arts"
"Missy lindsey"
"Asheville Junior Theater"
"Hendersonville Family YMCA"
"Diana Wortham"
"Uphora Dance Fitness"
"Asheville Academy of Ballet"
"Old Farmers Ball"
