"Cooking Class"
Carribean
Pretzels
"Remove the CBD crap"
Baker
Barista
"Restaurant you miss most"
Cookies
"Cake designers"
"Who makes the best xyz item and share the ranking order"
Server
"Favorite cafe and coffee shop"
Cake
"Small restaurants Names"
"Coffee lol"
"General Manager"
Lobster
"Pop-Up, Freelance Chef, Private Chef"
"Pop Up Series/Event"
Oysters
"Mediterranean food - Gypsy Queen"
"its good"
"Cuban or Caribbean Food"
"Vietnamese Restaurant"
"Fried Chicken Sandwich"
"cheese curds"
"Eastern European cuisine"
"Local Market"
"Child and/or pet friendly"
"AFRICAN FOOD!!!!!!!!!!! like WTF man?? I put Addissae's on two different ones, but c'mon."
"Fewer Categories in Every Section, PLEASE"
"Sommelier or Wine Guru. Baker. Food vendor."
"Food Truck Festival"
"Coffee/Beverage Caterer (different types of catering in Asheville)"
Sandwich
"Non profit or church helping with food insecurity"
Pies
"restaurant needed downtown"
"Unique dining experience"
Appetizers
"Cuban Food"
"Instagrammable Baker"
"Customer Service"
"Coffee Shop"
"Private event space, private event food"
"Fewer categories!"
Pizza
Smoothie
Soda
"Restaurant with nicest staff"
Outdoor/Patio
"Soup (excluding Ramen)"
Steak
Bartender
"Dog friendly eatery"
"Gas-Station-Attached Restaurant"
"Nonprofit Helping House the Houseless"
"Restuarants helping with hunger"
sourdough
"Food Tour"
"Clothing store"
"Grocery Store"
"Place to Feed the Homeless"
"Include food trucks in restaurant experience"
"Restaurant Operator"
European
"Coffee trucks"
Sweets
"Local Farmer"
"Favorite vegan restaurant, separate from vegetarian."
"Celebatory Restaurant"
"Grilled Cheese, Drunk Food"
"Spanish Restaurants"
"Place to Hang Out for Busy Moms after Kids are in Bed (NOT a bar, open til 11pm)"
"Sketchiest Chef"
"Ice Based Dessert"
"Bubble Tea"
"Independent/Local Grocery"
"Take-and-Heat Meals"
"Most Innovative"
"Drink Food Trucks"
"Hot Sauce"
"Cuban Sandwich"
"Wedding Venue/Event Space for Food"
"Quickest Service"
"Community Garden"
Asian
"Truck Driver"
"People’s Favorite Place for Anytime"
"Food for Homeless"
"Birthday Cake/Pie"
"Neighborhood Restaurant"
"Spot for Groups"
Entree
Pho
"Food Reviewer"
"Asian Fusion"
"Bubble Tea/Boba"
"Vietnamese and Korean"
Bathroom
"Most Needed New Cuisine"
"Coffee Shop to Work From"
"Local Pop Up"
"Most Friendly Restaurant"
Ranch
"Jamaican Food"
"German Restaurants"
"Restaurant - Candler"
Sushi
"Small Grocery Store"
"Things on a Stick"
"Big Food"
"German Restaurant"
"Acai Bowl"
"Pacific Islander Cuisine (Hawaiian, Filipino, etc.); Korean; Noodles; Dumplings"
"Korean Food"
"Bang for your buck"
"Too Many Categories"
"Non Profit Helping with Homelessness"
"Separate Food Truck Categories (different levels/styles, ex: Taco or Pizza vs. Vegan, Gluten Free or Trained Chef Prepared)"
Korean
Munchies
"Spanish Food"
"Bakers at Tailgate Markets"
Pastry
Hawaiian
"Market Stall; Fusion Food"
Salsa
"Farmers Market"
Noodles
"Fresh New Ideas and Experimental Food"
Non-Profit
"Mountain Biker Bar"
"Need Less Categories"
"Best authentic bubble tea"
"Less categories!"
"Best fast food"
"Best Server"
"Best Tamales"
"Quietest restaurant"
"BBQ, wings,"
"Bakery - Breakfast/Lunch"
"Best Smashburger, chicken sandwich, Cuban restaurant"
"milk shakes"
"food truck"
"Farm fresh food sales"
"Food rescue organizations or food waste prevention?"
"Best Private Caterer"
"Best Gluten-Free Restaurant"
"Best pulled pork sandwich"
Vietnamese
"Vegan Desserts/ Vegan Ice cream/ Vegan Bakery"
"Best Steak"
"Cheese shop"
"Best Vietnamese"
"Section just for cakes separate from bakeries"
"African food"
"Best Bartender"
"Best Hostess"
"Private Chef"
"Dominican Food truck or Restaurant"
Croissant
"Hot Dog / Chili Dog"
"gluten free pizza"
"Authentic New York Chinese"
"Restaurant with A Local's Discount"
"Different Latin American categories besides “not Mexican”"
"brewery food offerings"
"Traditional bakery"
"cat cafe"
"Lunch Special, Best Pet Friendly, Best Chain"
"prepared meals"
Pretzel
"pet sitters"
Flowers
"smoothie / juice"
Agritourism
"Celiac certified and free from top 9 food allergens restaurants"
kimchi
"Restaurant with the best helping hand! The ones who stepped up during helene deserve recognition!"
"fusion restaurant"
"Firewood supplier’s"
"cinnamon rolls"
"farmers market vendor"
"Best African food, best Asian food (broadly Asian food)"
"affordable grocery store"
ethiopian
"cheap affordable"
"Prepared food purveyor (sold retail or at farmers' markets)"
"dispensary edibles"
"Pre-made meals"
"Gluten free options"
"Vegan Cheese"
Deli
"Fine Chinese"
nachos
"place to be inebriated at"
"Smashburger, chicken sandwich, Cuban restaurant"
"restaurant owner"
"Spa massage"
"Italian Deli - we just need someone to open one!"
Pharmacist
"feeding the community post Helene"
Seafood
"24 hour diners and late night coffee houses"
