Lyric
Supatight
"Yo Mama's Big Fat Booty Band"
"Hustle Souls"
"Sisters of Ivy"
"Empire Strikes Brass"
"Kerosene heights"
"Josh blake"
"The Fritz"
"Myron Hyman"
"Shake it like a caveman (Blake Burris)"
"Asheville Funk"
"Gene Lloyd Songwriter"
"Funky Town"
"The Freeway Jubilee"
"The Floral Hygienists"
"Funkin around"
"Doctor Bacon (Dr. Bacon)"
"Wayne Robbins & The Hellsayers"
"Tuesday Night Funk Jam House Band (TNFJ, Asheville Music Hall)"
"GFE (Granola Funk Express)"
"April B and the Cool"
"Travers Brothership"
"High Flying Criminals"
"ALR Trio"
"Appalachian Renegades (The Appalachian Renegades)"
BoogiTherapi
"Billy Litz"
"Billingsley band"
"Jazzy Trinity"
"Ashley Heath and Her Heathens"
"Get Right Band (The Get Right Band)"
"Andrew Thelston"
"Bleu Lallama"
"Rhoda Weaver and the soul mates"
"Phuncle Sam"
Chilltonic
"West Fork Fiasco"
STIG
"Andrew Scotchie & the River Rats"
"Nude Party"
"Funk you"
"Natural Born Leaders"
"The Fuzzy Peppers"
"Howie Johnson"
"Matt Gardner"
WestSound
"Marvelous funkshun band"
"Broadcast (The Broadcast, Caitlin Krisko)"
"Agent 23 skidoo"
"Ryan RnB Barber"
"Bill Mattocks"
"songband party"
"Screaming Js"
"lo totem"
"Toubab Krewe"
"Screaming J's (The Screaming J's)"
Kontraband
"Commodores (The Commodores)"
"The Kavalactones"
Papadosio
DanceKreig
"Free Flow Band"
"One World West Band"
"Iggy Radio"
"SHAKEN NATURE"
"Granola Funk Explosion"
"Electro Lust"
Shabudikah
"Josh Philips"
"Electric Buddha"
Sirius.B
"Snozzberries, The (The Snozzberries)"
"Goldie and The Screamers"
"Joey K"
"Pleasure Chest"
"Indigo De Souza and the Icky Bricketts"
"Bad Ties"
Serotina
"Brushfire Stankgrass"
Purple
"Evil Note Lab"
"Groove Arcade"
"The Floozies"
Cubero
"Dakota Moss"
"Classic Rock"
"running on e"
"Space cowboys and the cosmic girls"
"Uptown funk"
"Supper break"
"Stipe Brothers"
"Peggy Ratuz"
"Isaac Hadden Project"
"Black Sea Beat Society"
"Secret B-Sides"
"Mr. Pibbonacci"
"Night beers"
"Crosscut Groove"
Morbids
"Valley echo"
"ASHEVILLE 8 String Collective (Dan Clare)"
"J Lloyd MashUp"
"Magenta Sunshine"
"Bottleneck Jett"
"Double Love & The Trouble"
"Joker's Trade"
"Dirty Bird"
"Boogie Therapy"
"Brother Fat"
"Akita Funk"
Cuberow
"Dirty Dead"
"Grant Yost"
"The Beekeepers"
"The Bins"
"Mama & The Ruckus"
"Pink beds"
"The Feels"
"Orange Moon"
"Indelible Sauce"
"Lenny Kravitz"
"Kyle Travers"
"King Garfield and Funkin Around"
"Groove Collection"
"E’lon JD"
"Fresh Buzz"
"Moonlight Street Folk"
"My Magnificent Nemesis"
"Johnathan Cole Mash-up"
"PMA (Positive Mental Attitude)"
"Sidney Barnes"
"Ska City"
"Sly and the Family Stone"
"Virginia and the Slims"
"TJ Stacy"
"The Westsound"
"Tony Gilbert and the Fat Cat"
"Garfield Bogan"
"Big Black Cadillac"
"Studda Bubba"
"Get Right Band"
"Anne Coombs"
Leisureville
"Carrie Morrison"
"Smooth Goose"
"Rhythmic nomad"
"Seismic Sutra"
Chalwa
Lactones
"81 Drifters"
"Adrianne Blanks & the Oracles"
"Dark City Kings"
"Emily Quinn"
"King Garfield"
"Mad Mike (Mike Martinez)"
"Moonshine State"
"Pocket Strange"
"Reggie Headen"
"Vinyl Brothers Big Band, The (Vinyl Brothers)"
"WTF Funk Project"
"Alien Project"
"Adi the Monk"
"Buddhagraph Spaceship"
Dangermuffin
"Different Light Band"
"DJ Uncle Rizz"
"Eric Travers Band"
"Fun Size!"
"Jane Kramer"
"Jesse Velvet"
"Karma Dogs"
Lewendahl
"Logan Jayne"
"MOOD RING"
Murmuration
"No games"
"Puppy and the Dogs"
"Ryan Price"
Sender
"Steeln' Peaches"
"The Eccentrics"
"Thommy Knoles"
"Wayne Bishop"
"dub kartel"
"Boat Command"
"Get Right Band (The Get Right Band)"
"Soveriegn kava"
"Double Helix"
"Zoo House"
"Casey Driessen"
Lazrluvr
"Marcus White"
"Fee Phi PHaux Fish"
"Ralph Navarro"
"Shed Bugs"
"AG Hammond"
"Aunt Ant"
"Ben Bjorlie"
"Breakfast For Dinner"
"Bum Monk"
I,Star
"Isaac Hadden"
Jacoozy
"Suns of stars"
SMUT
"A.G. Hammond"
"Dr. Bacon"
"Porch 40"
"Mike Barnes"
"Soul Magnetics, The"
"Empire Strike Brass"
"Datrian Johnson"
"The Dan Clare Collective"
"Ron Taylor"
"Andrew Thelston Band"
"Sugar Bomb"
"Ten Toe Turbo"
McKinney
"The Mojo Brothers Blues Band"
"Nerd Alert"
"Lee Allen"
"Merrick Noyes"
"Mojo Blues Band"
"Soul Magnets"
"One Stop House Band"
"The High Flying Criminals"
