YMCA
"Bike Lanes"
"a tram"
"Affordable Housing"
"More Sidewalks"
"A bus line beyond the city limit"
"Less Development"
"More Bars and Restaurants"
"More Housing"
"Industrious work space"
"Less Hotels"
"Public Bathrooms"
"Ice rink"
"More Local Restaurants"
Trees
"More Local Businesses"
Police
"More Restaurants"
"Less Breweries, More Juice Bars"
"Traffic control"
"Better Grocery Options"
"Free Parking"
"Places for Kids to Play Outside Safely"
"Dog Park"
"Less Cops"
"More Beer"
"Money Allocated in Building Up Existing People and Businesses, Less Heroin"
Burritos
"No one else to move there"
"Transfer station for household rubbish"
"Rent control"
"Plus Size Vintage Clothing Shop"
"Good Restaurant, Good Cocktail Bar, Tacos, Park"
"Grocery Store Other Than Ingles"
"No More Development"
"More Kindness"
"Good Restaurants"
"Kid Friendly Activities"
"Sidewalks and Bike Lanes"
"Trolley Service"
"More Small Businesses"
"Publix Super Market"
"Vegan Restaurant Options"
Restrooms
"Housing for Homeless"
"Late Night Food"
"Lower Speed Limits in Neighborhoods"
"Less Homeless"
"sidewalk all the way down New Haw Creek"
Sushi
"Trash Clean Up"
Jesus
Costco
"NY Style Pizza"
"Less Psychotic Country Folk"
"Family Friendly Entertainment"
"Skate Park"
"More Bus Routes"
"A grocer besides Ingles -- Black Mountain"
"breweries/bars with liquor and kitchens"
Everything
diversity
"Help for Homeless"
"Breakfast joint"
Crosswalks
"Vegetarian Restaurants"
"Less Crime"
"Casual Restaurants"
"Less Gentrification"
"Clean Up"
"Better Grocery and Food Options"
"More Uber Service"
"More Local Shopping"
"Living Wages"
"More Seafood Restaurants"
"Local indoor market"
"More Green Space"
"Smoothie Shop"
"Chinese Restaurant"
"Heated therapy pool"
"Big Park"
"Regulate Growth and Destruction of Surrounding Forests, Farms, Mountains and Waterways"
"Reversal of gentrification"
Pool
"EV chargers"
"Less Crime and Vagrants"
"More Greenways"
"Cheesecake Factory"
"Better Bus Service"
"Better Restaurants"
"Huge Park like Fletcher Park"
"Composting Toilets, More Edible Trees and Gardens, Bike Lanes, Electric Scooters to Rent, and Public Spaces"
"More Parks"
Parks
"Weed dispensary"
"No More Hotels"
"Skating Rink (Roller Skating Rink)"
"A Good Coffee Shop"
"More Galleries"
"Less Drug-use"
"More Police Patrols"
"Low Barrier Homeless Shelters"
"More Activities for Kids"
"Bubble Tea"
"Less People"
"Unique eateries"
"Less Tourists"
"Jewish deli"
"Less Traffic"
"to be cooler"
"Centralized place to have fun"
"More Vegan"
"Less Air B&Bs"
Coffee
"Decent Steak/Grill House or Pub"
"More Law Enforcement"
"High School Education"
"Grocery option that isn’t Ingles"
"Asian Restaurants"
"Good Lunch Restaurants"
"Subway Train"
"Road Repairs and Striping"
"Teenager hangouts"
"Better Paying Jobs"
Promotion
"Fresh market"
"More Music Venues"
"More Shops"
"No More Development and More Cops"
"Light rail"
"anything interesting"
"Dedicated Pickleball Courts"
"Water Park"
"More Grocery Stores"
"Mall development"
"Good Thai Food"
"More Public Transportation"
"More Local Food Options"
"Nothing, Leave It Alone"
Coolness
"Community Gardens"
"Anything Fun"
"Climbing gym"
"Better Roads"
"Fewer Liberals"
Publix
"More Police"
Sidewalks
"Vegan and Gluten Free Bakery"
"Halal Food"
Friends
Personality
Chick-fil-a
"Better Drivers"
"Better Police"
Safety
"Brunch spots"
"Free Public Transit"
Ramen
"Friendly neighbors"
Identity
"Healthy Food"
"Smart lights that all intersections"
"Vietnamese Restaurant"
"More Republicans"
"Fewer Cars, More Sidewalks, Bike Lanes, Transit Lines, and Human Scale Infrastructure"
"Size Inclusive Clothing Boutique"
"Affordable Restaurants"
"Bathrooms and Services for Homeless"
"coin drop arcade"
"Ice Skating Rink"
"Better Thrift Stores"
"Taco Billy"
"A Hooters"
"Less Drugs"
"Trader Joes"
"Barrier to Keep Asheville from Growing East"
"Less Hotels, Less Power Supply, Less Major Tourism, Affordable Housing, Living Wage Jobs"
"Skating Rink"
"Writer's Café"
"Toy Store"
"ELCA Lutheran Church"
"Tai chi"
"More Coffee Shops"
"Commuter Train"
"french style bistro"
"Italian Deli"
"More Bike Paths"
"Cell service"
"Recycling station"
"To stay the same"
"Asian food"
"Less Trash"
"More cafes"
"No new big development!"
"Wheelchair accessability"
"Better public transit"
"fix the potholes in the roads"
"A grocer besides Ingles"
"a good deli"
"Bearproof garbage cans"
"Breakfast restaurant"
"Cheaper rent"
"Better Public Transportation"
"no TDA"
Clowns
"Authentic Chinese Food"
"More grocery store selection"
parking
"Speed traps"
"Public pool"
Wawa
"A wall"
"roller rink"
"Lower rents / affordable housing"
"no cops"
"apple store"
Privacy
"contiguous bike paths"
Land
"Hobby Lobby"
"People to stop dumping their unwanted junk and trash on the sides of the road"
"Splash pad"
"less building"
"More green and walkable space"
"Indoor Kid Friendly Entertainment"
"Another neighborhood cafe"
"Red Robin"
"More walkable shops in East End / Valley St"
Culture
"Less Air B&Bs and brewerys"
"Black-owned businesses"
"Less apartments"
"more police presence and patrols"
"Connected Greenways"
"More events"
Diner
"Lower prices"
"A Greenway that connects to the many exsisting in the RAD"
SECU
"More larger parks"
"fitness gym"
"Cat cafe"
"Police protection"
"Mediterranean food"
Juiceland
"art gallery"
"Indian Food"
"public fishing holes"
Roundabouts
"Swannanoa Sidewalks"
"Less needles on the street"
"More Police - Clean up the drugs"
"Dance Club"
"24 hour diner"
"Smoky mountain painting LLC"
"more parks, bike lanes, neighborhood atractions"
"tennis courts"
"Bar for older people"
"Better shopping"
"Independently owned business"
"Less noisy cars"
"Maintain artsy natural culture despite influx of people"
"Outdoor dining"
"Yoga Mill"
Hospital
"Less Potholes"
"Decent food"
"Bicycle and Pedestrian Infrastructure"
"Ice cream shop"
Q-Hall
Chipotle
"Better Sidewalks"
Homes
juicery
"Hands on museum for kids"
Sidewalks!
"More healthy restaurants"
"Water fountains/water refill stations"
"Restaurants, all weather hang-out, indoor play for kids"
"Oakley area: a good grocery store!"
"better food options"
"Indoor kid places"
restaurant's
"Restaurants and walking paths / sidewalks"
"Accessibility, Affordability, Housing, Health Services"
"More Sidewalks and bike lanes"
"More roads"
"More fun"
"Dog parks"
"Community center"
"More trees"
"Fine dining"
"less cars"
"Pedestrian Equity, Biking Path, Green Space"
Restaurants
"Retail shops"
"Kids Activities"
"A bookstore"
"More grocery stores - besides ingles"
"people with money to spend at local restaurants and shops"
"Owen Park restored"
"A park"
"Vietnamese food"
Wendy's
"Thoughts and prayers"
"One more Ingles please"
"Nordstom Rack"
"Dave & Buster’s"
Pho
Money
"More attractions"
"outdoor music venue (bring back pisgah)"
"Bagel restaurant"
"tower with a view"
"clean up Tunnel Rd"
"Improve Infrastructure"
"Eating establishments"
"Tunnel Road road diet"
"Root Bar"
"An Ingles in Swannanoa"
"fewer conservatives"
"Lowes to open"
"Address homelessness"
"Aldi to reopen"
"Better traffic control"
"Shoe repair"
"More bike lanes"
"hot dog stand"
"Protected bike lanes"
"Upscale Dining Establishment"
"Jason's Deli"
"Grocery Store - Swannanoa"
"A new bridge by the nature center"
Playground
"a dog park"
"Breakfast restaurant with amazing coffee & pastries"
"Natural Food Grocery Store"
character
Publlx
Nordstrom
"Golden Corral"
"State Employees Credit Union"
"BBQ Restaurant"
"Bus service"
"Better infrastructure"
Cava
"Fix swannanoa"
"Kid activities"
"Funding to help Swannanoa"
Playgrounds
"Post office"
"A good Chinese restaurant"
"Pedestrian only zone"
"Authentic Italian Deli/Bakery"
"Planet fitness"
"stone bowl"
"Access to other parts"
"Strip Club"
"Fairview Hot Dog King"
"Healthy restaurants"
"Help rebuilding"
"Trash Cans"
