"Alan's Jewelry & Pawn"
"Leicester Pawn and Gun Shop"
"Finkelstein's Loan Office"
"Pawn World"
"Denny's Jewelry and Pawn - Arden"
"Valley Pawn Waynesville"
"Killough's Music & Loan"
"Hunters & Treasures - Black Mountain"
"Carolina Pawn and Gun Shop"
"Cash Converters"
"Hendersonville Pawn & Gun"
"Finkelstein's Loan Office"
"P&A Pawn And Gun"
Finklestein's
"Silver Mountain Coin & Jewelry"
"Cherokee Trading Post"
"Leicester Pawn & Gun Shop"
"Etowah Pawn Brokers"
"Village Pawn"
Fitzgerald's
