"Madison County Arts Council"
"MountainTrue (Mountain True)"
"Friends of Madison County Animals"
"Appalachian Trail"
"Library Fundraisers for Hot Springs Public Library Building Fund"
"Hot Springs Resort & Spa"
"Special Olympics-Madison County"
"Community Housing Coalition of Madison County"
Community
"The local animal shelter"
"Humane society"
"Rebuilding downtown"
"Helene damage"
"Rebuild hot springs"
"Community clean-up and rebuild"
"Wilma Dykeman Legacy Hot Springs Teacher Institute"
Rebuilding
"Helene recovery"
"hot springs relief"
"Buncombe County Democratic Party"
"Storm relief & rebuild"
"Spring Creek Community Center"
"Cleanup of the town"
"Better roads"
"youth league"
"Operation Gateway"
