"Spicer Greene Jewelers"
"Blue (Blue Goldsmiths)"
"Instant karma"
"Duncan & York (Asheville's Modern Market)"
"D.C. Creasman Jewelers (DC Creasman)"
"Alan's Jewelry & Pawn"
"Marthaler Jewelers"
"Grace Jewelers"
"Fox & Beaux"
Elementality
"Zen Ink"
Fleetwood's
"Street Fair"
"Susan Marie Designs"
"Bear & the Peacock (The Bear & the Peacock - Jewels by Julie)"
Mora
"Bella Fine Jewelry and Piercing"
"Jeweler's Workbench  (The Jeweler's Workbench)"
"Miya Gallery - Weaverville"
"Jewels That Dance"
"Goldsmith By Rudi (The Goldsmith by Rudi)"
"Charmed Asheville (Charmed Boutique)"
"Paula Dawkin's Custom"
"Parker's Karat Patch (The Karat, Woodfin)"
"Embellish Asheville"
"Grant Laughter Jewelry"
"Scotties Jewelry - Hendersonville"
"Hip Replacements"
"Visions of Creation"
"Southern Highland Craft Guild (Allenstand at the Folk Art Center, Biltmore Village, Guild Crafts on Tunnel Road)"
"Alexander and Lehnert"
SoulKu
"Seven Silver Seas"
"Mountain Nest Gallery"
Jared
"Abode Modern Home"
"Gold Crafting by Phillips & Co. - Hendersonville"
"Enter the Earth"
"Van Dyke Jewelry and Fine Craft"
"Diamond Rush Jewelers"
"G A Pope Fine Jewelry (GA Pope, Hendersonville)"
"Kay Jewelers"
"Traditional Hands Native American Jewelry (Cherokee)"
Zales
"Diamond Rush Jewelers - Hendersonville"
"PANDORA Jewelry Store"
"Estate Jewelry Ltd."
"Willow's Dream"
"Vidalia Outfitters"
"Asheville Humane Society Thrift Store"
"Minx (Minx Boutique)"
"Finkelstein's Loan Office and Pawn Shop"
Anthropologie
"Hollifield Jewelers"
"New Morning Gallery"
"Linden Boutique Curated Consignment (Linden Consignment Boutique, Curated Consignment)"
"Pigeon River Outfitters - Canton"
"REEDS Jewelers"
"Tammy's Jewelry - Waynesville"
"Sol Collective"
"Vessel - Hendersonville"
"Lou Lou Boutiques"
"T.J. Maxx (TJ Maxx)"
"Watches on Wall Street"
"A Walk in the Woods - Hendersonville"
"Gallery at Flat Rock (The Gallery at Flat Rock)"
"Gallery of the Mountains"
"Jewelry by Nadine"
"Spare Chayng"
"Indo Apparel & Gifts"
"Charles Babb Designs (Lenoir)"
"Skrap Monkey"
"MTN FOLK LORE"
"ReVolve Merc (rEvolve Mercantile, rEvolve Buy + Sell + Trade)"
"Element Tree Essentials"
"Stuart Nye Jewelry (Stuart Nye Hand Wrought Jewelry)"
"Garage on 25 (The Garage On 25)"
"Whisp AVL"
"Silver Treasures - Waynesville"
Talloni
"EMOTE AVL"
"Girl and Goblin"
"Diamond Thieves Body Piercing and Tattoo"
"Professional Jewelers of Asheville - Arden"
"Origins Handmade"
"Belk (Belk's, Belks)"
"Diamond Rush Jewelers - Brevard"
Claire's
"Cornerstone Minerals"
"Roberto Coin"
"Jeffrey (Jeffrey: The Jewel of Asheville, Jeffrey Burroughs)"
CelCher
"Paul Taylor Leather"
"Symbology by Alice Scott"
"Provisions Mercantile"
"Gold & Diamond Connection"
"Jewelry Box"
"Grovewood Gallery (Historic Grovewood Village)"
"Roam Collective"
"Watchmaker's Shop, The (The Watchmaker's Shop)"
"Mountain Metalworks"
Bellagio
Rudy's
"Southern Highland Craft Guild (Allenstand at the Folk Art Center, Biltmore Village, Guild Crafts"
"Linden Consignment Boutique"
"Ignite Jewelry Studios"
"ReVolve Merc (rEvolve Mercantile, rEvolve Buy   Sell   Trade)"
Mara
"Willows dream"
"Nest Organics"
Torched
"Moldavite Life"
"Chevron trading post"
Jarrod’s
"Woolworth Walk"
Yewo
Relic
"Bailey's Fine Jewelry"
"Stephanie Ellis Jewelry"
"Stephanie Ellis"
"RC Fisher"
"Delighted Gift Shop"
"Banks Jewelers Burnsville"
"10,000 villages"
"Paula Dawkin's Custom Jewelry"
Bella's
"Seven Sisters Craft Gallery (7 Sisters)"
"Rings and Things"
"Laura Wood Jewelry"
"G. A. Pope Fine Jewelry"
"David Achenbaugh - Blue Ridge Gems"
