"Bounty & Soul"
"Dark City Poets Society"
MountainTrue
"BeLoved Asheville"
"Pisgah Legal Services"
"Deck the Trees"
"Black Mountain Center for the Arts"
"Black Mountain Home for Children, Youth and Families"
"Affordable housing"
"Greenway in Black Mountain"
"Swannanoa Valley Christian Ministry (SVCM)"
"Swannanoa Valley Museum"
"Brother Wolf Animal Rescue  (BWAR)"
"MANNA FoodBank"
"Art Space Charter School"
"more sidewalks/greenways"
"Asheville Humane Society"
Helpmate
"Fire Department"
"Kiwanis Thrift Store - Black Mountain"
"Deeply Affordable Housing"
"Native gardening"
"Asheville cat weirdos emergency fund"
"Camp Lakey Gap"
"Mountain Home Thrift Store,  Black Mountain Home for Children, Youth & Families"
"Dr. John Wilson Community Garden (Black Mountain, Dr John Wilson)"
"End homelessness"
"Friends of the Buncombe County Library - specifically Friends of the Black Mountain Library"
"Southern Appalachian Highlands Conservancy (SAHC)"
"Jfk Alcohol And Drug Abuse Treatment Center (jfk-adatc)"
"Hand In Hand of the Swannanoa Valley"
"Habitat for Humanity"
poverty
"Sourwood Festival"
education
Beautification
"Britton Strong"
"Homeward Bound"
ButchOut
"Hearts With Hands"
"FANS (Friends and Neighbors of Swannanoa)"
"Black Mountain Counseling Center"
"Open Table (The Open Table)"
"drag queens"
PubCorps
"Build an indoor 50 meter Olympic Pool"
"Ministry of Hope (The Ministry of Hope)"
"Transformation Village"
"PubCorps - Black Mountain"
"Appalachian Wildlife Refuge"
"Black Mountain Beautification Committee"
"Center for Conscious Living & Dying - Swannanoa"
"Laps and Naps Home for Senior Cats"
"Swannanoa Fire Department"
"White Horse Black Mountain"
"Bags of Love"
"Black Mountain Tailgate Market"
"Blue Ridge Humane Society"
"Toe River Arts"
"Swannanoa Library"
"Swannanoa Valley Art League (SVAL)"
Reparations
"G5 Trail Collective"
"Acupuncture Impact Foundation"
"addiction recovery"
"Animal Rights"
"Asheville Dream Center"
"Blue Ridge Pride"
"Valley Strong Disaster Relief (Swannanoa Valley Strong)"
"Western Carolina Medical Society Project Access"
Rebuilding
"Blunt Kitchen (Blunt Pretzels)"
"Rebuilding downtown"
LGBTQ
"Legalize Appalachia"
"Save Beacon Village"
"The Blessing Project Swannanoa"
ABCCM
"Appalachian Community Relief"
"Babies Need Bottoms: Diaper Bank for WNC"
"Billy Graham"
"Building Bridges of Asheville"
"Buncombe County Democratic Party"
"Charles George Veterans Affairs Medical Center (VA)"
"Open Hearts Art Center"
"Swannanoa Communities Together"
"Save UNCA Woods"
"Helene Recovery"
"Music Fest"
"Asheville Food & Beverage United"
"Local schools"
"Rebuilding the YMCA"
LEAF
"The Western North Carolina Aids Project"
"WNC NATURE CENTER"
"Chances for Children"
"Wine to Water"
"anti-Trump demonstrations"
"Black Mountain/Swannanoa Valley post-Helene reconstruction"
"French Broad River Park restoration and greenway"
"YMCA Blue Ridge Assembly Conference Center"
WNCAP
"Save the UNCA Woods"
"Swannanoa market"
"Just Economics"
veterans
"Valley Hope Church Helene Restoration"
"anything to help animals"
"Museum of Costume Jewelry"
