"Dynamite Roasting Co."
"Pisgah Coffee Roasters"
"StoreHouse Coffee"
"Ugly Mug (The Ugly Mug)"
"PennyCup Coffee Co."
"Notorious Coffee Roasting Co."
"Smoky Mountain Coffee Roasters"
"Round Earth Roasters"
"Bean Werks Coffee & Tea (BeanWerks, BeanWorks)"
"ShareWell Coffee Co. (Share Well)"
"Summit Coffee Co."
"High Five Coffee (Hi 5)"
"Orchard Coffee"
"Odd's Cafe"
"Earthling Coffee and Espresso"
"Panacea Coffee Company "
"Cooperative Coffee Roasters"
"The Dripolator Coffeehouse (Dripolator Coffeehouse)"
"Izzy's Coffee"
"Asheville Coffee Roasters"
"Ingenious Coffee Roasters (Ingenious Roasters)"
"Brown Bean Coffee Roasters (Brown Bean)"
"Zuma Coffee (Zuma's)"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Steamline Coffee - Waynesville"
"2nd Act - Coffee, Wine & Craft Beer Bar (The 2nd Act, Second Act)"
"Counter Culture Coffee"
"Independent Bean Roasters (Independent Beans)"
"Underground Baking Company (Underground Bakery)"
"Appalachian Java Cafe & Desserts - Burnsville"
"Black Bear Coffee Co."
"Openroad Coffee Roastery (Columbus, Open Road)"
"Gallivant Coffee - Woodfin - Closed"
"Mountain Air Roasting"
"Yellow Mug Coffee Lounge - Weaverville (The Yellow Mug)"
"High Noon"
"Great Commission Coffee"
"Mountain City Coffee Roasters"
Starbucks
"Sweeten creek coffee"
"City Bakery"
"South Slope Coffee Co."
"Papertown Coffee - Canton"
"Incite Coffee Co"
"Grind AVL (Grind Coffee)"
Filo
"Trade and Lore Coffee (Trade & Lore)"
"Old Europe Pastries"
"Ultra Coffeebar"
"Shade Raised Organic (SRO)"
"Rowan Coffee"
"AllGood Coffee (All Good)"
"Biltmore Coffee Roasters"
"Qualla Java"
"Small Town Coffee - Rutherfordton"
"Bent Willow - Franklin"
"Kafe Neo @ The Antique Tobacco Barn"
"Gretchen Lowman"
"Simple Cafe & Juice Bar"
"Bridge & Tunnel Coffee Co."
"Flowermouth Coffee Roaster"
"Smash Nutrition"
Jomo
"Jayden Banks"
"Get Roasted"
"Bald Guy Brew Coffee Roasting Co."
"Grinder's Keepers Coffee"
"Jordan Johnston"
"Liberty House Café"
"Indie Beans - Hendersonville"
"Green Sage Cafe"
"French Broad Chocolate Factory"
"Peaberry Press - Coffee & Smoothie Bar"
"Jordan Underwood"
"The Brown Bean Coffee Roasters - Brevard"
"Big Guns - Tryon"
"Coffee Library"
"Kota Kai"
"Short Sleeves Coffee Co."
"William Tanner (Bill Tanner, PennyCup Coffee Co.)"
"Deep Time"
"Rite Rite"
"Malaprop's Bookstore/Cafe"
"Be Good Coffee Co."
Dobra
"Lucy in the Rye"
"Signature Brew Coffee Roasting Company - Sylva"
"Burnsville Roasters"
"Hatchet Coffee Roasters"
"Hope House Coffee Co"
"All is Well Cafe"
"Southern Streams CoffeeHouse"
"Blue Ridge Bootleg Coffee"
"Bad Manners Coffee"
"Dripolator west"
"The Dripolator Coffeehouse, Candler"
