"Golden Needle"
"French Broad Food Co-Op"
CVS
"Blue Ridge School of Herbal Medicine"
"Alchemy: Tearoom Apothecary Acupuncture"
"Ingles Markets - Weaverville"
"Vitamin Shoppe, The (The Vitamin Shoppe)"
"Zoolies Natural Food Market"
"Earth Fare (Earthfare)"
"Whole Foods Market"
"Sona Pharmacy + Clinic"
"Gaia Herbs"
"Chinese Acupuncture and Herbology Clinic (Montford Avenue)"
"Pinnacle Apothecary"
"East Acupuncture Wellness Boutique"
"Nature's Vitamins and Herbs (formerly Nature's Pharmacy)"
"Mountain Man Nutrition - Waynesville"
"West Village Market & Deli"
"Asheville Compounding Pharmacy"
"Asheville Mountain Pharmacy"
"Mother Earth Food (Mother Earth Produce, home delivery)"
Walmart
"Hendersonville Community Co-op and Deli (HCC coop)"
"Harris Teeter"
"Black Mountain Natural Foods"
"Sunshine Herbs & Vitamins"
"Hallelujah Natural Foods - Brevard"
"The Herbiary (Herbiary)"
"Trader Joe's"
"Whole Foods Market"
"Kim's Pharmacy"
"Healthridge Pharmacy"
Walgreens
"Franny's Farmacy (Franny's Farm)"
GNC
"Sam's Club"
"Walgreens Merrimon"
"Prescription pad"
"Sunshine Pharmacy"
"Ingles Markets - Weaverville"
"Asheville Discount Pharmacy"
Doterra
"White Pine Acupuncture"
GNC
"Raven & Crone"
"Asheville Hemp Farms"
"Mission Health Cancer Center"
"Carolina Mountain Pharmacy"
"Madison Natural Foods"
"Burnsville Health and Nutrition"
"Trinity Pharms Hemp Co."
Publix
"Kountry Kupboard Health Foods"
"Middle Path Nutrition and Wellness"
"Hopey & Co. (Hopey & Company, Amazing Savings)"
"B & B Pharmacy (B&B Pharmacy)"
"Camden’s Coffee House"
"Americare Pharmacy"
"Feelin Great"
"Kountry Kupboard Health Foods"
"Nature's Storehouse"
"Sona Pharmacy + Clinic"
"Asheville Alternative Wellness"
Publix
"Dollar general"
"Nature's Storehouse"
"Food Matters"
"The Wild Violet - Mars Hill"
"Lewis Family Natural Health"
"Zoolies Natural Food Market"
"Red moon"
"Evoke Vitality"
"Spring Valley Herb"
"elk haven wellness center brevard"
"Healthy Harvest"
"Mission Pardee Pharmacy Fletcher"
"Covenant Health Products"
"Mission Community Pharmacy"
"piping rock"
"Metcalf Pharmacy"
"Iris Folk Medicinals"
"Bryson City Pharmacy"
"Sona Pharmacy   Clinic"
"Garden Party"
Apotheca
"Trout Lily Market"
"Asheville Yoga Center"
"Walmart South Asheville"
"Ingles Markets (Long Shoals Road)"
"Ingles Markets"
"CVS Woodfin"
"B&B Pharmacy"
"Pure Appalachia"
"Natural Health and Skin"
"North Asheville Tailgate Market"
"CVS Long Shoal's"
"Ayurvedic institute"
"Blackford Wellness"
"Prescription Pad - Weaverville"
"Elements of Wellness"
"Ritual Botanica"
"Skyland Cannabis Company"
"The Alternative Clinic"
"Asheville Community Acupuncture"
"Appalachian Standard"
"Earth Heart - Marion"
"Optimize U"
"Walmart on North Ridge Commons in Weaverville NC"
"CVS Leicester Highway"
