"Dessert place"
"Bike Lanes"
"New Orleans Style Restaurant and Music Venue"
"Free Parking"
"More Housing"
"Fresh Market"
"Dog Bar"
"Good Steak Restaurant"
"Public Bathrooms"
"Better Place to Dance"
"Crosswalks with Flashing Lights"
"Ice rink"
"More Accessible Parking Options"
"More Parking"
"Japanese Restaurant"
"Park with Trees and Grass"
"More Restaurants"
"Parking and Sidewalks"
"More Police Presence"
"More Crosswalks"
"Less Crime"
"Sushi Restaurant"
"More Greenways"
"Authentic Greek Restaurant"
Walmart
"Late Night Dessert/Coffee"
"More Sidewalks"
"No More Apartments / Condos"
"Bubble Tea Shop"
"Barbecue Restaurant"
Grass
"Removal of drug houses"
"Repaved Roads"
"Fewer Cops"
Pizzeria
"More Green Up/Clean Up Days"
"Neighborhood Parks, Bike Lanes, Affordable Housing"
Burritos
"City Planning"
"Less People"
"Roller Skating Rink"
"Better Paying Jobs"
Chick-fil-A
"Gay Bars"
"More Bars"
"Less Hipsters"
"Plus Size Vintage Clothing Shop"
"Rent control"
"More Parks"
"Movie Theater"
"Vietnamese restaurant"
"Resources for Homeless"
"No More Development"
"Less Apartments"
Security
"Better Sidewalks"
"zoning laws"
"Indian Restaurant"
"Trader Joe's"
"Great but Affordable Cocktail Bar"
"Less Development"
"Haywood Road Parking"
"A decent gas station"
"Sports Bar"
"Live-work space for artists"
"More Bookstores"
"Less Gentrification"
"Cheap Hibachi Food"
"Better Roads"
"Housing for Homeless"
"Faster Food"
"More Breweries"
"No Parking on Haywood Road"
"Less Breweries, More Juice Bars"
"Trolley Service"
"Bakery/Cookie Shop"
"Chinese Restaurant"
Jesus
"NY Style Pizza"
"Family Friendly Entertainment"
"nothing, it's perfect"
"Less Traffic"
"More Black-Owned Businesses"
"Restaurants (Sushi on Haywood Rd)"
"Bars with Liquor that Stay Open Later"
"Kids Water Park"
diversity
"Jewish deli"
"Ingles to be renovated"
"Safe connection from Haywood to Hominy Creek Greenway"
"More Beer Festivals"
"Clothing Store"
fluffing
Trees
"Wild Ginger Restaurant"
"Living Wages"
"More Local Shops that Aren't Food or Beverage. Craft Store"
"Hat Shop"
"Slower Traffic Speeds"
"Less White Dreads"
"Late Night Food"
"Safer Crosswalks"
"Regulate Growth and Destruction of Surrounding Forests, Farms, Mountains and Waterways"
Crosswalks
"Elective Vehicle chargers (EV chargers)"
"Vegetarian restaurant"
"Less Air B&Bs"
"Pizza by the Slice"
"Cheesecake Factory"
"More Outside Music"
"Better Bus Service"
"Public Parks without Playgrounds"
Pho
Bookstores
"A Bath"
"Composting Toilets, More Edible Trees and Gardens, Bike Lanes, Electric Scooters to Rent, and Public Spaces"
"Restaurants (Vegan Eats)"
"Wider Sidewalks"
Parks
"Weed dispensary"
"Parks and Parking"
"Publix Super Market"
"Low-barrier homeless shelters"
"A Good Sandwich Shop (Snarfs Deli)"
"Bike Racks"
"Cheap Tacos"
"More Activities for Kids"
Safety
"Vegan restaurant"
"Community Art Wall"
"Annual Communtiy Celebration"
"help with traffic"
Bodega
"Less Cars"
"Help with Homeless"
"Hope & Co"
"No Parking on State Street"
"Skating Rink for Kids (So Many Bars and Hotels, Not Enough for Local Kids and Teens to Do)"
"Bagel Shop"
"To keep Asheville Primary building and the Montessori program"
"Parking Garage in Walking Distance of Haywood Road"
"More Traffic Circles"
"splash pad"
"Wider Roads"
"Art Supply Store"
"To get over itself"
"Decent Steak/Grill House or Pub"
Showers
"All-Abilities Playground"
"Dog Parks"
"Affordable Housing "
"24-hour Deli"
"Dedicated Pickleball Courts"
Benches
"Community Gardens"
"Better Intersection on 26 and 40"
"Better Parking"
"Authentic Asian Food"
"Warming Shelter for Homeless"
"Fewer Beards and Tattoos"
"Cajun Restaurant - Bar - Music Venue"
"Bicycle Delivery"
"Better Landlords"
"Crosswalk at Haywood & Patton"
"Cheap Bodegas"
"Coin Drop Arcade"
"Another Taco Billy"
"Gondola to Downtown"
"Better Public Library"
"Affordable Commercial Space"
Apartments
Arcades
"Italian Deli"
Costco
"Breakfast Burrito"
"Cat Cafe"
"24/7 Store"
"Fentanyl Control"
"More Kid Friendly Activities Outside and Inside"
"More Public Transportation"
"Good Lunch Spots"
"Road Repairs and Striping"
"More Vegan Restaurants"
"Traffic Diet"
"Free Drugs"
Shopping
"Something Besides Ingles for Groceries and More Healthy Restaurant Options"
"Light Rail"
"Water Park"
"Shoe Store"
"Good Thai Food"
"Less Tourists"
Target
Parking
"Stop Building"
"More Live Music Venues"
"Law Enforcement"
"Fewer People from California"
Pool
"Non-Ingles Supermarket Options"
"Vegan and Gluten Free Bakery"
"Halal Food"
Whorehouse
"Pedestrian Friendly"
"No Highway Expansion"
"Fewer Panhandlers"
"Fix Potholes"
God
"Revitalization of Empty Store Fronts"
"Shooting Range"
"Hiking Trail"
"Food Trucks"
"More Security"
"Good Pub"
"The Mothlight"
"Smart Lights at All Intersections (Less Fucking Traffic on Patton Avenue)"
Poetry
"Lower Priced Homes"
"Pet Store"
"Menswear Shop"
"More Republicans"
"Soup and Salad"
"Paved Streets"
"Size Inclusive Clothing Boutique"
Infrastructure
"Lower Prices"
"Less Democrats"
"Turn Haywood Rd into Pedestrian Way"
"Safe Traffic Patterns"
"Repair Shops"
"Streetcar or Trolley"
"Performance Spaces"
"Improved Safety"
"Mediterranean Restaurant"
"More Architecture"
Humility
"Less Hotels"
"Writer's Café"
"Moving Sidewalks, Needle Magnets, More Homeless, Actual Services, Good Sushi"
"Less Building"
Houses
"Wine Store"
"Needle Clean Up"
"Less Antifa"
"Street Repair"
"Lighted Crosswalks"
"Public Services for Mentally Ill or Homeless"
"Smoothie Place"
"Indoor Kid Friendly Entertainment"
"Good Food"
"Free Standing ED"
"Less Snobbery"
"The Odd (formerly The Odditorium)"
"More Fruit Trees"
Froyo
"Less Trash"
"Walking paths"
Cleaning
Accessibility
"Fewer homeless"
"more grocery stores"
"Less drugs"
"Better Parking without Using Phone (Cell Service Is Terrible, Can’t Pay to Park)"
Clowns
"Authentic Chinese Food"
Bathrooms
"More buses"
"Public pool"
"apple store"
"a deli"
"24 hour diner"
"A good cleanup"
"A grocery store that’s not ingles/target/costco"
"Wine bar"
"Stop panhandling"
"Less Traffic,"
"Less Homeless"
"Better Grocery Store"
"Safer traffic"
Sushi
"Non-alcoholic bar"
"Bike paths"
"Needle magnets"
"Fewer hotels"
Juicery
"24 hour breakfast spot"
"A gas station"
"A restaurant alley"
"Better Restaurants"
"24 hour food"
"Less Crackheads"
"Good Chinese Restaurant"
"Lower rents / affordable housing"
"Late Night/All Night Diner"
"no cops"
"Fewer Air B&Bs"
"contiguous bike paths"
"Someone to buy the old ISIS property and bring great music back."
"Dog bar / laundry mat combo = genius"
"No-Cars streets - walkable only"
"Affordable restaurants"
"Lucky Otter"
"Princess Diana museum"
"More green and walkable space"
"Red Robin"
"Big ingles"
Culture
"Black-owned businesses"
"Hot yoga"
"New businesses where abandoned buildings are"
"More shopping in Candler"
"Vegan breakfast"
"Natural Wine"
"A makover"
"Sams Club/Costco"
"better public transit"
"City Financial investments & Money from Tourism Board"
"brewery with family-friendly outdoor space"
"public fishing holes"
"funding for malvern hill pool"
Roundabouts
"Less tourists/ transplants"
"Less drug addicts"
nudity
"Korean food"
"Fewer tourists"
"Smoky mountain painting LLC"
"Cheaper rent, housing for locals"
"Sidewalks on the other side of Patton"
"Finer dining"
Gym
"Less noisy cars"
"To be worst again"
"Outdoor brewery"
Repaving
"Big Box store (Target)"
"Less Potholes"
"Something for Teens to do"
"a pool  (malvern hills closed)"
Dssolvr
Butcher
"More stores"
"Bottle shop"
"Preservation of vibes"
"green spaces to sit"
Q-Hall
"Retail stores"
YMCA
Homes
"Population displacement"
"Dog groomer"
"Performance venues"
"a pool (malvern hills closed)"
"rooftop bar"
"night time nice dance club high profile"
"An ego check"
"help with traffic on Sardis Road"
"Less garbage trucks"
Activities
"good sushi, better shopping"
"parking maybe?"
"sandwich shop - Finest Deli"
"Out Smokey Park Hgwy we need a COSTCO, healthy restaurants,  NOT anymore fake, fast food"
"Public Spaces"
Theater
streetscaping
"More shopping opportunities"
"More food!"
Theatre
"Less Hotels, Less Power Supply, Less Major Tourism, Affordable Housing, Living Wage Jobs"
"Frozen Yogurt"
"a shower"
"Trash cans"
"An enema"
"Water fountains/water refill stations"
"Snack/water stations for houseless folks"
"cheap apartments"
"Grocery store that’s not ingles."
boba
"A great fire"
"Authentic Italian Deli/Bakery"
"Support for houseless folks"
"Q-hall lesbian bar"
Soap
"Community center"
"Comedy Club"
"cell tower"
"Art galleries"
