"Ultimate Ice Cream"
"Freeze of Asheville (The Freeze of Asheville)"
"P B & Jay's Cafe (P.B. & Jay's, PB & Jay's, PB&Jay's, Fletcher)"
"The Hop Handcrafted Ice Cream (Hop Ice Cream, The Hop Ice Cream Cafe)"
"Blue Mountain Pizza"
"Jack the Dipper Ice Cream (5 locations - Sylva, Waynesville, Fletcher, Franklin, Asheville)"
"Mills River Creamery"
"Small Cakes"
"Sunshine Sammies"
"Dolly's Dairy Bar"
"Celtic Creamery - Hendersonville"
"Marble Slab Creamery"
"Cold Stone Creamery"
"Kilwin's Chocolates Fudge & Ice Cream - Asheville (Kilwins)"
"Yolo Frozen Yogurt (Yo-Lo, Yo Lo)"
"Sweet Escape (The Sweet Escape) (Biltmore Park)"
"Meadowsweet Creamery"
Whirlybird
Rita's
"Ben and Jerry's"
"Hilltop Ice Cream Shop"
"French Broad Chocolate Lounge (The French Broad Chocolate Lounge)"
"sweet frogs"
"Rocky's Grill & Soda Shop - Brevard"
"Luscious Liquor Ice Cream"
"Jack Frost Dairy Bar"
"Artesana Ice Cream - Marion"
"Biltmore Creamery"
"Cook Out"
"Moo cow"
"Dairy Queen"
"10th Muse Comfort Food (tenth)"
"Kilwin's Chocolates Fudge & Ice Cream - Black Mountain (Kilwins)"
"Plant Vegan Restaurant"
Sonic
"El Rio Paleteria y Neveria"
"Culver's of Arden"
"The Chill Peel"
"Harry's Grill & Piggy's Ice Cream - Hendersonville"
"Juicy Lucy's Burger Bar and Grill"
Chestnut
"Baabals Ice Cream & Family Grille (Baabels, Babels, Fletcher)"
"Corner Kitchen (The Corner Kitchen)"
"Dairy King (Blue Cone) Black Mountain"
"Appalachian Java Cafe & Desserts - Burnsville"
"Howdy Homemade Ice Cream"
Scoops
"Haywood 209 Cafe"
"Sweet Frog"
"Panera Bread"
Gospel
"Thai Pearl"
"Woolworth Walk (Woolworth Gallery)"
"Biltmore Ice Cream Parlor"
"Hub and Pisgah Tavern (The Hub and Pisgah Tavern)"
"Trade Street Creamery"
"Jettie Rae's Oyster House"
"Fro Yo Lab"
"Asheville Chocolate"
"Jeremiah's Italian Ice"
"Lobster Trap (The Lobster Trap)"
"Pelican’s SnoBalls Asheville"
"Stephanie’s ice cream - Burnsville"
"Sugar and Snow Gelato"
"Tastee Freeze (Tasty)"
"Kilwin's Chocolates Fudge & Ice Cream - Hendersonville (Kilwins)"
"Creekside Taphouse"
"CA's Diner (C.A.'s)"
"Crossroads Ice Cream & Coffee (Mill Spring)"
"Dupont Kanteen"
"Miss Piggy's"
"Neng Jr’s"
"Prescription Pad of Weaverville"
"The Creamery  Mills River"
sam
"French Broad Chocolate Factory and Cafe"
"Vinnies Neighborhood Italian"
"Prescription Pad Weaverville"
"Gem Mountain on Main"
"Killings brevard"
"Annie B's Homemade Ice Cream - Arden"
"Dally Llama"
"Annie B's Homemade Ice Cream Shop"
"The Dolly Llama Waffle Master"
TCBY
"Karolina Kremes"
"Rita's Ice"
"The Soda Fountain at Woolworth Walk"
"The Creamery at Biltmore"
"Trade Street Creamery & Sandwich Shoppe - Tryon"
"Publix Grocery Weaverville"
"Crossroads Custard & Cold Brew"
"Kilwins - Brevard"
"Rabbit Hole (The Rabbit Hole)"
"Buggy Pops"
Found
"Diary Queen"
"Whit's Frozen Custard (Whit's)"
"Dairi-O (Dairi-O of Hendersonville)"
"Potential New Boyfriend"
"Britt's Sweet Treats"
"Asheville Sandwich Co."
Plant
"All Souls Pizza"
"Jack the Dipper Ice Cream"
"Sweet cub food trailer"
"Mad Dipper - Handcrafted Artisan Ice Cream (The Mad Dipper)"
"Sweet Cub"
"Molly Parti (molly kummerle"
"The Freeze"
"Kilwin's Chocolates Fudge & Ice Cream - Waynesville (Kilwins)"
"Filo Pastries & Post 70 Indulgence Bar"
"The Shoppe at The Pad"
"Old Europe Pastries"
"The Hop Ice Cream Café OR Whit's Frozen Custaard"
