"Drunken Prayer"
"George Porter Jr"
"Lo Wolf"
"Aaron Woody Wood"
"Stevie Lee Combs"
"Kerosene Heights"
"Laura Blackley (Laura Blackley and the Wildflowers)"
"Pleasure Chest"
"Myron Hyman"
"Mr. Jimmy"
"Eric Congdon"
"Ashli Rose"
"Gene Lloyd Songwriter"
"Rising Appalachia"
"Mojo Brothers Blues Band (The Mojo Brothers Blues Band)"
"Eliza Thorn"
"Squealers, The"
"Big Jacob"
"Red Dirt Revelators"
"Billy Presnell"
"Dirty Soul Revival"
"ALR Trio"
"Ben Phan"
"Appalachian Renegades (The Appalachian Renegades)"
"Adeem the Artist"
"Roots and Dore"
"Stalebred Scottie"
"Adam Chase"
Soulution
"Ashley Heath and Her Heathens"
"Blake Ellege"
"Harris Bros"
"Rhoda weaver and the Soul Mates"
"Bill Altman"
"Ross Osteen and the Crossroads"
"Big City Blues Jam"
"Christina Chandler"
"Ellen Trnka"
"Imij of Soul"
"Dr. Mack Arnold and Plate Full of Blues"
"Peggy Ratusz"
"Samantha Fish"
"Blue Ridge Pistols"
"Seth walker"
"Howie Johnson"
"Safety Coffin"
"Buffalo Kings"
"Eric Gales"
"Broadcast (The Broadcast, Caitlin Krisko)"
"Get Right Band (The Get Right Band)"
"Berlin Trio (The Berlin Trio)"
"Ryan Roots"
"Andrew Scotchie & the River Rats"
"Nicole Lund Band"
"Lea Renard and the JunkYard Dogs"
Lyric
"Jordan Scheffer"
"Screaming Js"
"David Earl and the Plowshares"
"Asheville Waits Band"
WestSound
"Luke Mears"
"Joe McMurrian"
"Vince Junior Band"
Morbids
"Jazzy Trinty"
"Virginia and the Slims"
"Chuck Beattie"
"Pierce Edens"
"Cris Colman Blues Experience"
"Billy West"
DanceKreig
"Gary Clark Jr."
"Pretty Little Goat"
"TRUSTY HUCKSTERS"
"Malcolm Holcombe"
"Andrew Thelson Band"
"Blue rags"
"Jay Brown"
"Marcus King Band (Marcus King)"
"Hope Griffin Trio"
"Nonexistent Blues Band"
"Johnny Lang"
"Tab Benoit"
"Electric Buddha"
"Lee Greenwood"
"Reggie Headen"
"Lavender blue"
"Kat Williams"
"soul blue"
"Kathryn O'Shea"
"Patrick Dodd"
"Travers Brothership"
"Bill Loftus"
Mojomatic
"Mississippi All-Stars"
"Charlie Hunter"
"Whiskey Rebellion"
"Marsha Morgan Band (MMB)"
"Abby Bryant and the Echoes"
"James Hammel & Friends"
"MJ Lenderman"
"Blind Lemon Phillips"
"Josh Blake"
"Datrian Johnson"
"Hustle souls"
"Josh Bertram"
Graywind
"bourbon brothers"
"Lads AVL (The Lads)"
"Buddy Melton"
"Groove machine"
"Downtown Abby & the Echoes"
"Ali Randolph"
"Ryan Perry"
"Neverwhere Sisters"
"All In The Trunk"
"Crystal Bowersox"
"Supper break"
"Davey Knowles"
"Peggy Swain"
Procrastinators
