"Cajun Restaurant"
"Indoor Dog Park"
"New Orleans Style Restaurant and Music Venue"
"Less Hotels"
"Byrd Scooters"
"Affordable Housing"
"Bike Lanes"
"Pedestrian-Only Area"
"More Housing"
Parks
"More Clothing Stores"
"Parking for Downtown Workers"
"Hospital for mental patients"
"More Stuff to Do"
Space
"Ice Skating Rink"
Wegmans
"Children's Fun Center and Entertainment"
"Kid Stuff (Splash Park, Swings, Slides)"
"Art structures"
"Soft Serve Frozen Yogurt"
"More Police"
"no mask wearers"
"Authentic Italian Deli/Bakery"
"Bikeability to/from Downtown and All Over Area"
"Grocery Store"
"Late Night Food"
"A Good Chinese Restaurant"
"Bubble Tea Shop"
"More Child Care"
"Pet Bar"
"Things for Kids to Do"
"A Good Jewish Deli"
Costco
"To chill"
"Law Enforcement"
"Improved infrastructure"
Flowers
"Better Breakfast Places"
"Less Cops"
"Roller Skating Rink"
"Less Cars"
Burritos
Safety
"Less Breweries"
"More Outside Hangout Bars with Nice Music"
"More Black People"
"Park across from the Basilica"
"Fewer Panhandlers, Vagrants"
"Another Brewery"
"Greek Restaurant"
"More Kindness"
"Plus Size Vintage Clothing Shop"
"Better Leadership"
"More Clubs"
"To fix the pit of despair"
"Free Parking for Locals"
"No More Hotels"
"360 View Restaurant"
"Cat Cafe"
"Nice City Dog Park"
"A Good Science Museum"
"Trolley Service"
"Better Bathroom Facilities for Public/Showers for Homeless"
"Late Night Dessert"
"24-hour Restaurant"
"More Coffee Shops"
"Local Fast Food (Not Chains)"
"Local pubs with cheaper drinks"
"Good Ramen"
Parking
"Lower-priced Apartments"
buskers
"Cheap Hibachi Food"
"Faster Food"
"Large Performance Venue"
"Living Wages"
"Free Parking"
Bodegas
Diversity
"Less Homeless"
Density
Jesus
"Sanitation and Litter Pickup"
"Literally any convenience"
"Fewer Floridians"
"NY Style Pizza"
"Doc Chey’s"
Pharmacy
"Park Benches"
"More Green Space"
"Family Friendly Entertainment"
"Less Chain Businesses"
"Less Construction"
"Less Hipsters"
"More Diversity"
"Street maps"
"All Vegan Cafe"
"Wider Sidewalks"
"Bars with Liquor that Stay Open Later"
"Better Place to Dance"
"Swimming Pool"
"Farmers Market on the Greenway"
"Better Sidewalks"
"Weed dispensary"
