"Tommy's Family Restaurant"
"Veranda Cafe & Gifts (The Veranda)"
"P B & Jay's Cafe (P.B. & Jay's, PB & Jay's, PB&Jay's, Fletcher)"
"Mother Ocean Seafood Market"
"White Duck Taco Shop"
"Apollo Flame Bistro"
"West Asheville Lounge and Kitchen (WALK, The WALK)"
"Stone Ridge Tavern"
"Green Tea Sushi & Japanese Restaurant"
"Pacific Pagoda Sushi & Grill"
"Mayberry's (Mayberrys Soup and Sandwich, Brevard)"
"Blue Dream Curry House"
"Trailhead Restaurant - Black Mountain (The Trailhead)"
"Galactic Pizza"
"Baba Nahm"
"828 Family Pizzeria (Formerly Marco's)"
"Village Porch (The Village Porch, Woodfin)"
"Creekside Taphouse"
"El Rebozo Mexican Restaurant"
Pie.Zaa
"Barrelhouse (The Barrelhouse)"
"Nine Mile (9 Mile)"
"Early Girl Eatery"
"Ay Caramba Mexican Bar & Grill (Aye Caramba)"
"Asaka Japanese Cuisine - Asheville"
"Oriental Pavillion"
"Rosetta's Kitchen (Buchi Bar)"
"Mamacitas (Mamacita's Taqueria)"
"Ole's Guacamoles (Black Mountain, Ole Guacamoles)"
"Tupelo Honey"
"Wild Ginger Noodle Bar (PHO Restaurant)"
"Morsel Cookie Company"
"Desoto Lounge"
"Asian Wok (The Asian Wok)"
"Smoky Mountain Diner (Smokey Mountain)"
"The Odd (formerly The Odditorium)"
"Shanghai Dumpling House"
"Pomodoros Cafe EAST (Pomodoros Greek & Italian Cafe)"
"Cheddar's Scratch Kitchen (Cheddars)"
"Hungry Bear Cafe (The Hungry Bear)"
"Pack's Tavern"
"Pescado's Burritos - Brevard"
"Appalachian Java Cafe & Desserts - Burnsville"
"Siam Thai Restaurant"
"Waffle House"
"12 Bones Smokehouse (Twelve Bones)"
McDonald's
"HomeGrown North (Home Grown)"
"Sunny Point Cafe"
"El Que Pasa"
"Fresh Wood Fired Pizza West (RAD, Asheville)"
"La Caretta"
"Nachos & Beer"
"Ichiban Japanese Steakhouse and Sushi Bar"
"Blue Smoke BBQ - Brevard"
"Cedar Mountain Cafe"
"Doc Brown's BBQ (Browns)"
"Luella's Bar-B-Que (BBQ)"
"Gypsy Queen Cuisine"
"Centreville Luncheonette"
"Stackhouse Restaurant (The Stackhouse)"
"Cornerstone "
"Acropolis Pizza Restaurant (Airport Rd, Arden)"
"Five Points Restaurant (5 Points)"
"Rocky's Hot Chicken Shack"
"Taqueria Munoz"
"Pon's Thai Cuisine"
"Vinnie's Neighborhood Italian"
"Blue Sky Cafe - Fletcher"
"Texas Roadhouse"
"Papa's & Beer Mexican Restaurant (Brevard Road, Papas and beer)"
"Purple People Feeder, The (The Purple People Feeder)"
"Hot Dog World - Hendersonville"
"Juicy Lucy's Burger Bar and Grill"
"Culver's of Arden"
"Granny's Kitchen"
"Cocula Mexican Restaurant"
"Papa's & Beer California Style (Tunnel Road, Papas and Beer)"
Champa
"Montford Deli (The Montford Pull Up)"
"Scotsman Public House - Waynesville"
"Thai Pearl"
"Sand Hill Kitchen"
"Brooks Tavern - Hendersonville"
"Yao Grand Buffet (Yao buffet-sushi-grill)"
"Asiana Grand Buffet"
"Soda Fountain at Woolworth Walk, The (The Soda Fountain at Woolworth Walk)"
Sawhorse
"Itto Ramen Bar & Tapas"
Chestnut
"Smoky Park Supper Club (Smokey)"
"Biscuit Head "
"El Chapala III Mexican (Smokey Park Hwy)"
"Carrabba's Italian Grill (Carabba's)"
"Taco Billy"
"Chai Pani"
"The Social Tunnel Road (Social)"
"Zambra Tapas & Wine Bar"
"Tacos Chinelos - Hendersonville"
"Pig & Grits (Pig and Grits)"
"Universal Joint (U Joint, UJ, The Universal Joint)"
"Tamaleria Y Tortilleria Molina"
"Lobster Trap (The Lobster Trap)"
"East Village Grille"
"Cecilia's Kitchen (Ceci's Culinary Tour)"
"Blue Mountain Pizza"
"Salsa's Mexican Caribbean Restaurant (Salsas)"
"Cousins Cuban Cafe - Black Mountain"
Marino's
"Fresh Wood Fired Pizza and Pasta - Black Mountain"
"Standard Pizza Co."
"Trashy Vegan (The Trashy Vegan)"
"Strada Italiano"
"Moe's Original BBQ"
"J K's Kitchen (JKs, JK's, JK )"
"Green Sage Cafe"
Chick-fil-A
"Red Ginger Dimsum & Tapas"
"Copper Crown (The Copper Crown)"
"Rankin Vault Cocktail Lounge (The Vault, The Rankin Vault)"
"Hemingway's Cuba Restaurant & Bar (The Cambria Hotel)"
"El Chapala Mexican Restaurant (Biltmore Village)"
"Little Pigs BBQ"
"DTK Thai Kitchen (formerly Noi's)"
"Zen Sushi"
"Bellagio Bistro"
"Wicked Weed Brewing"
"Gan Shan West (ghan)"
"Iron and Oak Brisket Co."
"La Bodega by Curate (Katie Button Restaurants)"
"Wicked Weed Funkatorium"
"King's Chinese Kitchen - Arden"
"Tacos Jalisco Mexican Restaurant (El Jalisco)"
"Taqueria Fast"
"Loretta's Cafe"
"Manicomio Pizza"
"Cracker Barrel"
"Avenue M"
"Nick's Grill"
"Del Vecchios"
"Jettie Rae's Oyster House"
"Tacos Puebla"
"Zia Taqueria"
"Square Root - Brevard (The Square Root)"
"Boojum Brewing Taproom"
"Okie Dokies Smokehouse (Okie Dokie's)"
"Asheville Sushi & Hibachi"
"Foothills Butcher Bar: Black Mountain"
Bouchon
"All Day Darling"
"Plaza Garibaldi Mexican Restaurant"
"Moose Cafe (The Moose Cafe)"
"Cinnamon Kitchen Indian Cuisine"
"Casa Torres Mexican Restaurant - Arden"
"Black Bear Pizza"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Eluvium Brewing Co."
"Twisted Laurel - Weaverville (The Twisted Laurel) "
"CBD Cafe - Marshall"
"Bomba Latin Cafe"
"Roman's Deli & Catering"
"Brasilia Churrasco Steakhouse"
"Tastee Diner"
"Cantina (The Cantina at Historic Biltmore Village, La Cantina)"
"Angelo's Family Restaurant - Fairview"
"Wasabi Japanese Restaurant and Sushi Bar"
"Miyako House"
Rendezvous
"Surf N Brew"
"Thai Spice - Hendersonville"
"Sake Sushi - Black Mountain"
"Bun Intended Food Truck & Catering"
Vivian
"Simple Cafe & Juice Bar"
"Arabella - Hendersonville"
"Fireplace Restaurant (The Fireplace Restaurant, Gerald's Fireplace)"
"Hendersonville Country Club"
"Haywood 209 Cafe"
"Thai Basil - Black Mountain"
"Little Bee Thai"
"Tokyo Express"
"Hillman Beer"
"Ivory Road Cafe & Kitchen"
"Blaze Pizza"
Mehfil
"Corner Grill (The Corner Grill)"
"Botanas & Beer - Candler"
"La Rumba"
"Olive Garden (The Olive Garden)"
"Biryani Express"
"Wynn's Diner"
"Never Blue - Hendersonville"
"Mad Batter Food & Film (The Mad Batter Kitchen)"
"China Taste"
"MOD Pizza"
"New 1 China"
"Heiwa Shokudo"
"Haywood Common"
"Soba Sushi & Noodles - Weaverville"
"Post 25 Kitchen & Lounge"
IHOP
"China Grill"
"Cantina Louie (Gerber Village)"
"Taqueria Mexico"
"Papa's Pizza"
"Shorties Drive-Thru BBQ (Shortie's)"
"67 Biltmore Downtown Eatery Catering"
"Maggie's Galley Seafood Restaurant"
"Jimmy's on the River"
"Laughing Seed Cafe (The Laughing Seed)"
"Ultra Coffeebar"
Limones
"Ingles Deli"
"New China"
"Tiger Bay Cafe"
"Aloha Cafe"
"Buxton Chicken Palace"
"Nani's Rotisserie Chicken"
"Southern Porch (The Southern Porch)"
"Troyer's Country Amish Blatz (Fairview, Troyers)"
"Rise Above Deli (Hillman Beer)"
"Abuela's Little Kitchen"
"Plant Vegan Restaurant"
"Neo Cantina (The Cantina)"
"Oyster House Brewing Company"
"Yum Sushi Burrito and Poke (Yum Poke)"
"Little Caesars"
"Mountain Madre Mexican Kitchen & Agave Bar"
"Kosta's Kitchen (Kostas)"
"Taste of El Salvador (A Taste of)"
"Foggy Mountain Brew Pub"
"Rye Knot"
"Applebee's (Applebees)"
"Village Wayside Bar & Grille (The Village Wayside Bar and Grille)"
"DiMaggio Pizza & Pasta - Canton"
"Jimmy John's Gourmet Sandwiches"
"India Garden"
"Little Chango"
"Mr. Sushi (Mr Sushi)"
"The Hot Dog King (Hot Dog King)"
"Farm Burger (Farmburger)"
Andaaz
"Pupuseria Patty"
Chipotle
"Mama's & Beer (Mama’s and Beer)"
"Pelican’s SnoBalls Asheville"
Denny’s
"El Muñoz"
"Stone Bowl Korean Restaurant"
"Ukiah Japanese Smokehouse"
"Bantam Chef - Burnsville"
"Mosaic Cafe"
"Binion's Roadhouse"
"Silverball Subs"
"Dilbar - Closed"
"Loott House"
"Ultimate Ice Cream"
"Red Fiddle Vittles"
"Sam's Club Cafe"
"Smokey and the Pig"
"Zella’s Deli"
"Buttered Biscuit - Waynesville (The Buttered Biscuit)"
"Local Buggy Cafe - Food Truck"
"Bears’s Smokehouse BBQ (Bears)"
"La Piedrita Carniceria"
"Three Compas Mexican Restaurant - Canton"
Burgerworx
"Haywood Lounge"
Contrada
"Papa L.E.W"
"Morning Social"
"Dragon China"
"Zapata Mexican Restaurant"
"Pop's Diner (Pops)"
"Black Bear BBQ"
"Noodle Shop (The Noodle Shop)"
"Elena's Mexican Grill"
"Little Sprout Carryout"
"Blue Bike Cafe"
"Corner Kitchen (The Corner Kitchen)"
"Fahrenheit Pizza & Brew"
"Dobra Tea Downtown"
"S&W (The S&W Market)"
"CA's Diner (C.A.'s)"
"Andale Way Mexican Grill"
"City Bakery"
"Leo's Italian Social"
"12 Baskets Cafe (Asheville Poverty Initiative)"
"Suwana Thai Orchid"
"Harris Teeter"
"Blue Ridge Biscuit Company"
"Abeja's House Cafe (Abejas)"
Smasheville
"My Father's Pizza"
"Huli Sue's BBQ and Grill"
"Twisted Laurel - Downtown Asheville (The Twisted Laurel) "
"Pizza Hut"
"Patio Bistro (The Patio Bistro)"
"China Wok"
"Zen Hen"
"The Guild"
"J & S cafeteria (J&S)"
Bigfoot-longs
"Berliner Kindl German Restaurant - Black Mountain"
"Green Tee Grille"
"Stoney Knob Cafe (The Stoney Knob Cafe, Stony)"
"Ayni 51"
"Pad Thai"
"Typhoon Noodle"
"Pulp Sprout Juice Bar and Vegan Cafe"
Piazza
Cultura
"Mr. Kabab Grill"
"Green River BBQ - Saluda"
"High Ridge Adventures Outfitting & Barbecue"
"Joey's New York Bagels (Joeys)"
"Three Chopt Sandwich Shoppe (3 Chopt)"
"Mela Indian Restaurant"
"Cucina 24"
"Barley's Taproom & Pizzeria"
"Montford Rooftop Bar (The Montford, The Double Tree Downtown Asheville)"
"Red Star Kitchen (The Red Star Kitchen)"
"Noodle Hole"
"Garden Deli - Burnsville"
"Tequilas Bar & Grill"
Addissae
"Season's At Highland Lake"
"Taco Bus Cruz Linares"
"Local Joint - Fairview (The Joint Next Door)"
"Harbor Inn Seafood"
"Orchard Tavern"
"Papa Nick's"
Clyde’s
"Little D’s"
Wendy's
"Longhorn Steakhouse"
"Fork Lore"
Posana
"Social Lounge (The Social Lounge on Broadway)"
"Hannah Flanagan pub and eatery"
"Jack of the Wood"
Postero
"The Noodle Shop"
"Pepperoni’s Pizza"
Cava
"All Souls Pizza"
"Bear's Smokehouse BBQ"
"Phils BBQ"
"Earth Fare"
"Main Street Grill"
"Thai Chili Asian Bistro"
"Lil Smokeys"
"Pisgah Coffee Roasters"
"Regina's Westside"
"Sweet Plantain Grill Food Truck - Arden"
"Burger King"
"Smokee’s Pizza"
"Little Pearl"
"Isa's Bistro"
Modesto
"Botiwalla by Chai Pani"
