"Reconciliation House"
"MountainTrue (Mountain True)"
"TRACTOR Food and Farms - Burnsville"
"Yancey County Humane Society"
"Dig In Yancey Community Garden - Burnsville"
"Appalachian Therapeutic Riding Center"
"Partners Aligned Toward Health, (P.A.T.H., Burnsville)"
"Southern Appalachian Highlands Conservancy (SAHC)"
"Center For Pioneer Life, Historical Preservation with the Center For Pioneer Life"
"Yancey County Health Dept. Free Clinic"
"Parkway Playhouse"
"Barkin' Basement Resale Store"
"Habitat for Humanity - Spruce Pine"
"Rescue Dog Cafe - Burnsville"
"Toe River Arts Council (TRAC)"
"Feed-a-child Yancey"
"Burnsville Metric"
"Arthur Morgan School"
"Affordable Housing"
Library
"Saving the Yancey County Public Library"
"Rebuilding from Helene"
"Bald Creek Relief"
"Truth Is One"
"Toe River Arts Disaster Recovery Fund"
"Yancey County Democratic Party"
"THRIVE Appalachia"
"Moutain Piecemakers Quilt Guild"
"Rebuild Burnsville"
"FeedAChild WNC Inc"
PATH
"Samaritan's Purse"
"BFF 5K"
"Bee Log Community Center"
"Helene relief"
