"Morris Funeral Home"
"Groce Funeral Home & Cremation Service"
"Madison Funeral Home - Marshall"
"West Funeral Home & Memorial"
"Wells Funeral Home Inc. and Cremation Services"
"Anders-Rice Funeral Home"
"Carolina Memorial Sanctuary"
"Asheville Mortuary Services"
"Asheville Area Alternative Funeral & Cremation Services"
"Bryant-Grant Funeral Home - Franklin"
"Thos. Shepherd & Son Funeral Directors - Hendersonville"
Crawford-Ray
"Shuler Funeral Home - Hendersonville"
"Holcombe Brothers - Burnsville"
"Hart Funeral Service"
"Blue Ridge Funeral Services"
"Harwood Home for Funerals"
"Moore-Blanchard Funeral Home - Brevard"
"Highlands Cremation & Funeral Care"
"Avery's Funeral Services"
"Jackson Funeral Service - Hendersonville"
"Mountain View Cremation & Funeral Care - Arden"
"Penland Family Funeral Home"
"Yancey Funeral Services"
"Ray Funeral & Cremation Service"
"McMahan's Funeral Home (Rutherfordton)"
"Beams Funeral Services"
"Appalachian Funeral Home"
"Center for Conscious Living & Dying"
"Moody-Connolly Funeral Home"
"A Simple Cremation"
"Macon Funeral Home Franklin"
"Forest Lawn Funeral Home"
"Crisp Funeral Home"
"Garrett Funeral Home - Waynesville"
"Smoky Mountain Cremations & Funeral Service"
"McFarland Funeral Chapel - Tryon"
Neptune
"Church Street Funeral and Cremation - Hendersonville"
"Crowe's Mortuary"
"Harwood Home for Funerals & Cremation Services"
"Rountree Family Mortuary & Cremation Service"
