"local business owner"
"Tile company"
"Most Unethical Business Owner"
"Worst service, worst business for employees"
"Print Shop"
"woman owned business"
"woman/BIPOC -owned business"
Best
"Small Business that Impacts Other Small Businesses"
"Sporting Goods Store"
"Media Company"
"Local communities/ events"
"Organic Produce"
"Career coaching"
"Local Church"
"Wedding and Event Planner"
"Notary Public"
Winemaker
"companies that offer remote work"
"Technology and manufacturing"
banker
"Business with commitment to sustainability"
"Best Business to Work For"
"Best customer service"
"Best Boss/Owner"
"Business with friendliest Staff"
"Co-working space"
"Women owned businesses"
"Business with the most job openings"
"Best labor practices"
"Best Mortgage Company / Best Mortgage Lender"
"Queer-owned Businesses"
"treats their employees the best"
"Best Insurance Agency"
"Worst businesses to work for"
"Self Storage Companies"
"Non profits with earth friendly practices"
"Best Travel Agency"
"Life coaching"
"Funds targeted to marginalized communities"
Employer
churches
"Small entrepreneur"
"organization that helps/supports housing"
"Best Manager"
"Best candles in Asheville"
"Wedding section"
"Civic Leaders who have most helped racial justice advocacy in the City, in Buncombe County"
"Favorite Business Owner"
"We been looking all night"
nonprofits
"Training for entrepreneurs"
"Office Building"
"Climbing guide service"
"Kindest Business Owner"
"Best Workspace"
"Best co-working space"
"Sign Company, Organization Company"
"Best auctioneer"
"Black owned, women owned, minority owned, etc."
"Best Place to Work"
"Best recovery nonprofit"
"Most needed co-op"
"Best customer service in bank branch"
"Music PR Firms"
"business that focuses on the future"
"Best Business Networking Group or Event"
"Young executives/business owners"
"More trades jobs"
"Best New Business"
"Best tour guide"
Signage
"Best Woman-Owned Business: The Flow of Life Yoga"
"Best taxi company and best taxi, driver, or Uber driver"
"Commercial General Contractors"
"what businesses we need more of"
"Pop-Up Business, Or Art Store"
"Living Wage Certified Employer"
"Best Living Wage Certified Employer"
"best financial advisory firm"
"Best Banker"
"Favorite Banker"
Hotel
"New Business"
"Private Lending"
"Coworking spaces"
"Business that best represents the neighborhood"
"Marketing Agency"
"Best Business to Enjoy the Outdoors"
"Sound conpany"
"Best women-owned business"
"Best Sporting Event"
"Best Solar Company"
Lodging/Hotel
"Unique Business Model"
"House of worship"
"Nonprofit running parks"
"Private Practice Counseling Coach"
"non-profit impacts"
dispensary
"Fun place to work"
Recreation
"Job Search Help"
"trump to be impeached"
"restaurant to work at, best bar to work at, best food service employer"
