"Firehouse Subs"
"Lennys Grill & Subs"
"Silverball Subs"
"Jersey Mike’s Subs"
"Asheville Sandwich Company"
"Publix Super Market"
"Monte's Sub Shop"
Subway
"Soda Fountain at Woolworth Walk, The (The Soda Fountain at Woolworth Walk)"
"Del Vecchios"
"Ziggy's Bakery & Deli"
"South of Philly - Asheville"
"Mike's Philly Steak Plus"
"Smoky Mountain Sub Shop"
"Old School Subs & Deli - Black Mountain"
"Montford Deli (The Montford Pull Up)"
"Appalachian Java Cafe & Desserts - Burnsville"
"Mountain Deli - Hendersonville"
"Jimmy John's"
"JRO'S Burgers and Subs (J-RO's, Canton)"
"Sand Hill Kitchen"
"Roman's Deli & Catering"
"New York Butcher Shoppe"
"Philly Italian Pastas & Subs - Canton"
"Ingles Deli"
"Zella's Deli"
"Wayne's Subs - Fairview"
Woody's
"The Deli at the WNC Farmers Market"
"Apollo Flame Bistro"
"Cuban Guy (The Cuban Guy)"
"Deli Volv"
"Harris Teeter"
"Boojum Brewing Taproom"
"Cedar Mountain Outpost"
"My Father's Pizza (Black Mountain, My Fathers Pizza)"
Loretta's
"Simple Cafe & Juice Bar"
"Black Bear Pizza"
"Bellagio Bistro"
"Jason's Deli"
"HomeGrown North (Merrimon Avenue, Home Grown)"
"Creekside Subs - Brevard"
Blimpies
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"The Hot Dog King (Hot Dog King)"
"West Asheville Sandwich"
"Which Wich Superior Sandwiches (Biltmore Park)"
"Waynesville Sub Shop"
"Luna Sandwich Shop - Sylva"
"Papa's Pizza"
"Five Guys (5 Guys Burgers & Fries)"
"Penn Station East Coast Subs (Boone)"
"Old School Subs (Sweeten Creek)"
"Alykat Deli  - Hendersonville"
"Three Chopt Sandwich Shoppe (3 Chopt)"
Cielito
"El Patron Subs and Grill - Arden"
"Favilla's New York Pizza"
"Athens in Swannanoa"
"Firehouse Subs Hendersonville"
"Galactic pizza"
"Grateful Roots Market & Deli (Leicester)"
"Joey's New York Bagels (Joeys)"
"Little Louie’s"
"Mayberry's (Mayberrys Soup and Sandwich, Brevard)"
"Manicomio Pizza"
"Main Street Market in Spindale"
"Mr Kabob"
"Pescado's Burritos - Brevard"
"South of Philly - Sylva"
"White Moon"
"Red Star Kitchen (The Red Star Kitchen)"
"Rosetta's Kitchen (Buchi Bar)"
"107 Market and Deli"
"Old School Subs & Deli - Black Mountain"
"Pizza Mind"
"828 Family Pizzeria (Formerly Marco's)"
"North Meats South"
"Troyer's Country Amish Blatz"
"West Village Market and Deli"
"Altamont Deli & Grill"
"High Test Deli - Closed"
"Mother AVL"
"Sweet Plantain Grill"
Guajiro
"Acropolis Pizza Restaurant"
"Gigi's - Waynesville"
Linnies
"Charleys Cheesesteaks"
"Jersey Mike’s Subs"
"Backstreet Subs"
Beradu
