"In-home Animal Care Services"
"Lash Specialist"
"Laser Hair Removal"
Piercer
"Permanent Makeup Studio/Artist"
Soaps
"massage therapist"
"Nurse Injector"
healer
Lawyers
"Eyelash Salon & eyelash technician"
"Medical Spa"
"Financial planner"
"Best Massage Clinic"
"PMU artist"
Botox
"makeup artist"
"massage and facials"
Jeweler
"Professional organizer!"
Handyman
"Sunless Tanning"
Saunas
"up and coming stylist"
"Knife & Tool Sharpening"
"Cosmetic Tattoo Artist/PMU Artist"
"Waxing/Threading/hair removal"
"Holistic, wellbeing, coaching"
Dermatologist
Herbs
"Leatheriest Leather Boy"
"massage therapist and massage parlor"
"Tailor and alterations"
"Fairy Hair Services, Tanning Salon"
"Local Piercer"
"Energy work/ reiki"
"Best Makeup Artist"
Weddings
"Best eyebrows"
apothecary
Laundromats
"Spiritual healing places"
"Best Sustainable Hair Salon"
"Car Wash"
"Car Wash- Top Dog!"
"All personal categories divided across the regions of town"
"Tarot Reader"
"organic nail salon"
"Seperate Best catagory for Barbers and Cosmotoligist, Way more salons than there are barbershops"
"Best med spa, favorite injector, local skincare products"
Cosmetics
"Local dog celebrity"
"Best Tour Guide"
"Best hair for poc"
"Wedding Hair and Makeup"
"Land surveying"
"favorite hairstylist and barber as separate entries. they have very different clients"
"Best Salon Suites"
"Best Medspa and best injector"
Tanning
microblade
"Aesthetic injector!"
Contractor
"Sports Trainer"
"best pedicure"
"Local Fashion Designer"
"Separate tattoo from piercing studio!! Not the same thing!"
"Best HUD Housing manager"
"Financial planning"
"Clothing Designer"
Karaoke
"Brow studio"
"Physical therapy"
"Mobile Services"
"Hair braiding salon"
"hair removal studio/practitioner"
Eyewear
"Best permanent makeup artist"
"LGBT friendly salon"
"best female tattoo artist"
"best microblading"
"Best Medspa"
"Spa massage therapist as one category, private practice massage therapists by specialty"
"Tanning salon"
"Most Influential Nail Artist"
"Best Piercer"
"Best curly hair stylist"
Injectionist
Sauna
"Seperate sections for hair colorist and hair stylist"
"permanent makeup and microblading"
"Best Small Business"
"Best Massage therapist"
"Health care"
"Hair Extensions"
"Best Catering Team"
"Favorite Med Spa"
"Separate  sections for hair colorist and haircutting specialists"
"Make AND female tattoo artists in two different categories"
"Best facial"
facepaint
"Med spa"
"Wedding Pros"
Pedicures
"Witch shop"
"favorite waxer, favorite injector, favorite spray tan place"
"Reiki Healer"
"local soap maker"
"Gel nails for guitarists"
"Bridal hairstyles"
"travel beautician"
"hair cuts vs hair color"
"massage therapist/place"
"Lash Studio"
"HMUA services"
"Medspa and best injector"
sweat/sauna
"Hotel Spa"
eyebrows
"Tooth Gems"
"Lash and Beauty Salon in town"
"Several centers with mineral baths."
Pedicure
masseuse/masseur
"Event Makeup and Hair"
"Personal Shopper/Stylist/Makeup artist."
"Doula services"
"Eye lash services"
"Retreat Center"
"Tanning / Spray Tan"
"Wax studio"
"Holistic Esthetician"
