Filo
"Old Europe Pastries"
"Whisk AVL"
"Veranda Cafe & Gifts (The Veranda)"
"Worthy Baker (The Worthy Baker)"
"Publix Super Market"
"Baked Pie Company "
"McFarlan Bake Shop (McFarlan's, McFarland)"
"Short Street Cakes"
"City Bakery"
Beebowbakes
"Flat Rock Bakery "
"Rise Above Bakehouse"
"Beeswax and Butter"
"Geraldine's Bakery"
"OWL Bakery (Old World Levain, The Owl)"
"Crumbl Cookies"
"Rhu (The Rhu)"
"Yellow Mug Coffee Lounge - Weaverville (The Yellow Mug)"
"Gateaux Cakes and Pastries"
"Bracken Mountain Bakery"
"Blue Ridge Bakery - Brevard"
"Malvern Hills Bakery"
"Morsel Cookie Company"
"Kandi's Cakes & Bake Shop (Kandis)"
"A La Cupcakes"
"COCO'S Bake Shop"
"The Odd (formerly The Odditorium)"
"West End Bakery & Cafe"
"Appalachian Java Cafe & Desserts - Burnsville"
"Cookie Kit (The Cookie Kit)"
"Crunchy Baker (The Crunchy Baker)"
"Eat More Bakery"
"Odd's Cafe"
"Twice Baked"
Rosabees
"50/50 Desserts (50/Fifty)"
"Whole Foods Market"
"La Bodega by Curate (Katie Button Restaurants)"
"Fletcher Village Bakery and Cafe "
"Food Lion - Candler"
"Hey Hey Cupcake (Hey! Hey! Cupcake)"
"Cakes by Jane"
"Dogwood Cottage Baking - Weaverville"
"Nothing Bundt Cakes"
"Panera Bread"
"Underground Baking Company (Underground Bakery)"
"Ingles Markets"
"Juicy Lucy's Burger Bar and Grill"
"French Broad Chocolate Lounge (The French Broad Chocolate Lounge)"
"Karen Donatelli Bakery & Cafe"
"Liberty House Coffee and Cafe"
"Dobra Tea West"
"Crave Dessert Bar"
"Ivory Road Cafe & Kitchen"
BimBeriBon
"Gallivant Coffee - Woodfin - Closed"
"Open Oven Brunch and Bakery - Black Mountain"
"Ziggy's Bakery & Deli"
"Sweetheart Bakery"
"2nd Act - Coffee, Wine & Craft Beer Bar (The 2nd Act, Second Act)"
"Brickstreet Cafe"
Chestnut
"Heirloom Baker (The Heirloom Baker)"
"CBD Cafe - Marshall"
"Hole Doughnuts"
"All Day Darling"
"Kilwin's Chocolates Fudge & Ice Cream - Asheville (Kilwins)"
"Los Nenes Bakery (Tienda Los Nenes)"
"Vortex Doughnuts"
"Three Eggs Cakery (3 eggs)"
"Sunshine Sammies"
"Conjure Craft Chocolate"
"HenDough Chicken & Donuts"
"Bent Willow - Franklin"
"Sweet Monkey Cafe & Bakery"
"French Broad Pantry"
"Just Donuts - Franklin"
"Sweet Niblets Cookie Emporium - Hendersonville"
"Fresh Market on Merrrimon"
"Ava's Donuts (Avas)"
"Ivy & The Poet (Ivy and The Poet)"
"Beth Bakes"
"Azteca #2 Tienda y Panaderia - West Asheville"
"Farm to Cake - Waynesville"
"Sugarcane and Shepherd Desserts - Fletcher"
"Leap for Cake"
"Atlanta Bread Co"
"Laughing Seed Cafe"
"Blue Ridge Biscuit Company"
"Fresh Market (The Fresh Market)"
"All Good Things - Tryon"
"10th Muse Comfort Food (tenth muse)"
"High Top Bread"
"Chocolate Fetish (The Chocolate Fetish)"
"Stella's Sweet Boutique"
"Ultra Coffeebar"
"The Dripolator Coffeehouse (Dripolator Coffeehouse)"
"Sunny Point Cafe"
"Dough House Vegan Donuts - Black Mountain"
"Mother AVL"
"Down South Cafe  & Catering - Canton"
"Maples in Burnsville"
"P B & Jay's Cafe (P.B. & Jay's, PB & Jay's, Fletcher)"
"Moo Cookie Company"
"Franny’s Farmacy"
"Camden’s Coffee House"
"Amy’s Bakery"
"Mary’s Mountain Cookies"
"Back Porch Baking Co."
"AVL Cake Lady (Asheville Cake Lady, The AVL Cake Lady, The Asheville Cake Lady)"
"Crust Never Sleeps"
"Sisu Bread"
"Dunkin Donuts"
"Sea of Sweets"
"Krispy Kreme"
"Butterbug's Baked Goods"
"Little Sprout Carryout"
"Pulp Sprout Juice Bar and Vegan Cafe"
"Dolci Di Maria"
"CA's Diner (C.A.'s)"
"Duck Donuts"
"Budgie's Bakeshop"
"Corner Kitchen (The Corner Kitchen)"
"Four Sisters Bakery - Black Mountain"
"Towne House"
"The Pie Shop"
Sifted
Sam's
"The Baker's Box"
Cook9
"Gogo's in Old Fort"
"Green Sage Cafe"
"Earth Fare"
"Hot Mess"
"Granny B 's"
"Moments Cafe"
Seasons
"Haywood Common"
"Dogwood Designs Bakery"
"Tiendo Los Nenes"
"The Ivory Road Kitchen"
"Hearth and Holler"
"Honey Bear's Cupcakery & More - Bryson City"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Fletcher Village Bakery and Cafe"
"67 Biltmore Downtown Eatery Catering"
"Barbers Orchard"
"High Ridge Bakery"
"Recess Coffee and Baked Goods"
"Tubby's Caramel Corn & More"
"Wildflour Blue Bakery (Canton & Waynesville, Wildflower Blue) - Closed"
"Asheville Chocolate"
"Black Bear Coffee Co. - Fletcher"
"Blue Ruby Bakery"
"Charlie's Hot Buns"
"Cotton Leigh Bakery - Sylva"
"Davis Country Store & Cafe"
"Good Gravy Bakes"
"Honey Badger Bakes"
"Hominy Farm"
"Isa's Bistro"
"Little Cove Bread"
"Lucy in the Rye"
"Mini Batch Bakery"
"Mount Patisserie"
"Newstock Pantry"
"Ovenbird Kitchen"
"Pie Safe Baking Co. - Forest City"
"Pisgah Bakehouse - Brevard"
"Pisgah Coffee Roasters"
"Simple Cafe & Juice Bar"
"Sips & Sweets Boba & Bakery Shop - Hendersonville"
"Stay Glazed Donuts & Cafe"
"Sweet and Southern Bakery"
"Sweet Elegance"
"Troyer's Country Amish Blatz"
"Wadadli Dessert Oasis"
"Wrinkled Egg"
"Mela Indian Restaurant"
"Afterglow (The Radical Hotel)"
"Cornelio's Bakery"
"Renee's Cake Shoppe"
"White Moon"
"Filo Pastries & Post 70 Indulgence Bar"
"Four Sisters Bakery (4 Sisters Bakery)"
"Rabbit Hole (The Rabbit Hole)"
"Mattie Lou’s Cafe and Bakery"
"Bake Me House"
"Mabel Bakery"
"Blunt Pretzels"
"Wildflour Bakery"
"Missy Moon Cakes"
"Sweets & Seats (Sweets and Seats)"
"Valhalla Cakes & Cafe"
"The Daily Grind"
"Walnut Family Bakery"
"Potential New Boyfriend"
"Sweet Annie’s Bakeshop"
"N Washington Street Baking Co. (Washington Street Baking)"
"Harris Teeter"
"Batter & Whisk Baked Delights"
"Bake Hampton"
"Dough Baby"
"Bryson City Bakery"
