"Medical Equipment"
"Uniquely AVL Fitness Facility"
"Occupational Therapist"
"Best Substance Addiction Treatment Center"
Herbalist
"Pilates instructor/studio"
"Disability Support"
"Movement Collective/Studio"
"Nonprofit Community Mental Health Provider"
"Doctor who helped me when no one else could"
Spa
Herbalist
Esthetician
"Outdoor Fitness/Yoga"
"Swim Instructor"
Dermatologist
"Where to buy ethically sourced crystals or healing items"
"Women's Health Physical Therapist, Manual Therapy Physical Therapist"
Gynecologist
"Dance studio"
"Chiropractic Practice (not just individual chiropractor)"
"Spin studio"
"Advanced Practice Practioner (PA or NP)"
"Pediatric Specialist Practice"
"Med Spa"
"Massage Therapy Center"
Dietitian
"Best Substance Addiction Treatment Center"
"Dental hygienist"
Gynecologist
Neurofeedback
"Best Substance Addiction Treatment Center"
Hypnotherapy
"Services for Autism"
Gyrotonics
Aryuvedic
"Qigong Teacher"
Houses
Doula
Optician
"Chiropractic Practice (not just individual chiropractor)"
"Pharmacist. Johnathan at Pinnacle Apothecary really truly cares about his customers and knows them personally"
"Career Coach"
Meditation
"Nurse Practitioner"
"hot yoga"
"Wellness Boutique"
"Best Healthcare center for LGBTQ  people"
"pelvic health specialist. Susie Gronski"
"Martial Arts Coach"
"Place to Worship"
"Home Health Service (A New Hope!)"
"Esthetician and Energy Healing"
"Specialty therapist"
Audiologist
"Personal/Professional Coach"
"running coach"
"Most community involved gym"
Dermatologist
sauna
"Dance Instructor"
"Tinctures,  soaps etc."
"Fitness Focused Event/Festival"
"CCRC: Continuing Care Retirement Community"
"Specialist- Infertility"
"Nursing home"
Meditation
"Med Spa"
"Pain Management, Women's Health Specialist, Osteopathic Physician (DO)"
"Free/Low-Cost Workout"
"Best Pharmacist"
"Energy Work"
"Best Breast Reconstruction Surgeon; Breast Breast Cancer Surgeon"
"Wellness Boutique"
"Best Fitness Instructor"
"Best Skilled Nursing Facility"
"Best Substance Addiction Treatment Center"
"Best fitness center / gym for those new to working out"
"Sports Performance Gyms / Trainers"
"Best Substance Addiction Treatment Center"
"Massage Therapy Center"
Gynecologist
"Best Dance Studio"
"Best Physical Therapist Assistant"
"Reiki practitioner/energy healer"
"Weight loss/Nutrition"
"Kids Workout Gym"
"Fav clinic that provides sexual healthcare (more inclusive than just women’s center)"
"Pilates studio"
"Nonprofits focused on Whole person wellness"
"Parks and Recreational Facilities"
"Nurse Practitioner"
Herbalist
"Rock climbing gym"
"Pediatric acupuncturist"
"Life coach"
"Group Fitness Instructor"
"Sporting Goods"
"Speech Therapist"
"Plastic surgeon"
Nutritionist
"Orthopedic and pain management"
"Orthopedic Surgery Practice"
"Best Medspa and best injector"
"Transgender healthcare"
"Local Skincare Company"
Dietitian
"Favorite running trail"
"sports medicine office"
"Long-term care facilities"
Meditation
"Best Wellness Center"
Doula
"Transgender healthcare"
"Sound therapist"
"Weight loss/Nutrition"
"Best Substance Addiction Treatment Center"
"Best tai chi Instructor"
Endodontist
"Fitness Teacher"
Herbalist
"Fitness focused event"
"Ear, Nose and Throat practice"
"Best Healthcare center for LGBTQ  people"
"Prosthetics Company"
"Zumba instructor"
"Aerial studio"
"Psychiatric Nurse Practitioner"
"Occupational Therapist"
"Personal Development Resource - individual or center"
"Massage Therapy Center"
Doula
"Body work specialists"
"Mindfulness Teacher"
"Weight loss/Nutrition"
"Pelvic Health Specialist - elizabeth annas"
Pharmacist
"Divide massage therapy up but some different specialties. Add tarot reader, psychic medium, apothecary, you know the real woo woo Asheville stuff"
"Best place to buy organic produce"
"Best Dispensary"
"Holistic Mental Health Provider"
"Massage Therapy Business (Studio/clinic)"
"Pediatric Therapist"
Receptionist
"Certified Athletic Trainer (Medical)"
"Best Place to Swim Laps"
"Cranial Sacral Therapist"
"More Affordable Health Care"
"Concierge Primary Care Practice"
"Eye doctor"
"Hearing Center"
"LGBTQ affirming healthcare"
"Health and Wellness Coach"
Podiatrist
"Kids yoga"
"Allergist; dermatologist; ENT"
"Health and Wellbeing Coach"
"Art therapist"
"Personal Training Studio"
"Occupational Therapist, Lymphedema Clinic"
"Run Club"
"Gymnastics Gym, obstacle Course Training Gym"
"Chiropractic office, not just chiropractor"
"Wellness Experiences (ie: salt cave, tours, etc)"
"Trans health.  Healthcare provider for LGBTQ / gender affirming care"
"Rehab: The Willows at Red Oak"
"Healthcare interpreting; healthcare for LGBTQIA; healthcare scholarship donor agencies"
"Pilates Teacher"
"Circuit Training"
"X-ray equipment service technician"
"Tattoo artist"
"Martial arts instructor"
