"Best new hiking trail"
"Best meteorologist"
"Most interesting local news headline"
"favorite food blogger"
"Social Media Manager"
"Local Radio Show"
"Loca lender"
"Local civil servant"
"Best grassroots resistance to facist takeover of US Government"
"Local heroes"
"best local book"
"Favorite weather person"
"More local questions / environment"
"Ongoing Helene Rebuild"
"Better Food"
