"Bluff Mountain Festival"
"Rough draft"
"Mermaid Parade and Festival"
"WART Radio (Community Radio for Madison County)"
"Bascom Lamar Lunsford Festival - Mars Hill"
"Christmas artists sale at the old high school"
"Southern Appalachian Repertory Theatre (SART)"
"Potters Market (Potter's, Potters', Marshall"
"First Fridays Mars Hill"
"Thursday night at Zuma Coffee - Bluegrass/Bobby Hicks"
"Art on the Island"
"WNC Fermenting Festival"
"Carolina Mountain Lit Festival"
"Marshall Mardi Gras"
"Marshall Handmade Market"
"Burgers and Ballads (at Old Marshall Jail Hotel)"
"Magictown Movement Studio"
"Mars Hill College Music events"
"Ballad Swap at the Old Marshall Jail/ Zadies"
"Blue Ridge Old Time Music Week"
"Larry & Joe Live at Mars Hill University"
"Mars Hill First Fridays"
