"More Sidewalks"
"More Restaurants"
"Affordable Housing"
"Bike Lanes"
"Kid Friendly Bar/Restaurant"
"Charlotte Street, not Charlotte"
"Less Development"
"More Housing"
"live work space for artists"
"Car Wash"
"Public Bathrooms"
"Ice rink"
Diversity
"More Homeless Shelters"
"Panera Bread"
"Good Kids Store"
"Bear-proof garbage cans"
"Better Roads"
"More Police"
"Outdoor Amphitheater"
"Bring Fuddruckers back"
"Bike Lanes/Paths"
"More Updated and Unique Businesses on Riverside Drive"
"a Wider Merrimon Avenue"
"Less Republicans"
"Turn lane on Merrimon"
"Coffee Shop"
"More Parks"
"Bike Trail and Hiking Trails"
"Less Cops"
"Sandwich Shop"
"Connected Greenways"
Target
Burritos
"Less Traffic"
"Roller Skating Rink in Old Stein Mart"
"Taco Bell"
"More Diversity"
"Public Transit to Weaverville"
"Greek Restaurant"
"Rent control"
"Left turn lanes on Merrimon Ave."
"Plus Size Vintage Clothing Shop"
"Merrimon Road Diet"
"Urban Burrito"
"No more development"
"Dog Park"
"better paying jobs"
"Trolley Service"
"Community Garden"
"Multi Use Business/Residential Complex"
"More Neighborhood Cafes and Bars, Bookstores"
"Pedestrian Crosswalks on Merrimon"
"More Police Coverage (Esp. Speeding and Running Red Lights)"
"Good Asian Restaurants"
Parking
Restrooms
Signs
"Juice Bars"
"Health Food Store"
"Trash Clean Up"
"Wider Roads"
"Vietnamese Restaurant"
"More Local Restaurants"
"More Green Up/Clean Up Days"
"Chinese Restaurant"
Jesus
"Less White People"
Brewery
"NY Style Pizza"
"a movie theater!"
"More Neighborhood Cafes and Bars"
"Less Tourists and Transplants"
"Wider Hwy 25 (like south Asheville)"
"Less Yuppies"
"Less Masks"
"Live Music Venues"
"More Restaurants and Neighborhood Bars"
"Family Friendly Entertainment"
"Areas to Walk/Walking Trails"
"Skate Park"
"Brewery w/ Outdoor Space"
"Wine Bar"
"breweries/bars with liquor and kitchens"
"Kids Activities"
"Asheville sun soo"
Security
Delis
"More Crosswalks and Police Support to Allow Safer Walkability"
"Help for Homeless"
"Good Restaurants"
"Local Businesses, Restaurants, Shopping"
"Neighborhood Bar"
"More Young People"
"Less Gentrification"
"Historic district architectural design guidelines/standards"
"More green space"
Bookstore
"Bubble Tea"
"More Uber service"
"Living Wages"
"Sidewalks and Bike Lanes"
"More green space"
"Long John Silvers"
"Better snow removal plan"
"Regulate Growth and Destruction of Surrounding Forests, Farms, Mountains and Waterways"
"EV chargers"
"Fewer Hotels"
"Alternative to merrimon"
"Lake Cleaned"
