"Weaverville Clock (The Clock)"
"Mill wheel at Lake Louise"
"Vance Birthplace"
"Weaverville Public Library"
"women's seminary"
"Reynold's Mansion"
"Main Street in Weaverville"
"Prescription Pad of Weaverville"
"Weaver House"
"That church that is rotting next to AVL Technologies"
"Dry Ridge Museum"
"Riverside Warehouses"
"Art in Autumn"
"Dry Ridge Historical Museum"
"Craggy Mountain Line Railroad"
"Lake Louise"
