"Mount Mitchell State Park"
"Ottway Burns statue"
"Roan Mountain"
"Quilt Block Sundial on the Yancey Commons Times Journal building"
"NuWray Inn (New Wray, Burnsville)"
"Mount Mitchell"
"Town Square - Burnsville"
"Center for Pioneer Life"
"Yancey County Library"
"Parkway Playhouse"
"Homeplace Beer Company - Burnsville"
"Otway Burns Statue"
"Big Ivy Area, Coleman Boundary"
"NuWray Hotel"
"Penland School for the Arts"
"Bare Dark Sky Observatory"
"Nu Wray Hotel"
"Mt mitchell"
"yancey theater"
planetarium
"The McElroy House/museum"
"County History Museum"
Downtown
