"Silverball Subs"
"Veranda Cafe & Gifts (The Veranda)"
"P B & Jay's Cafe (P.B. & Jay's, PB & Jay's, PB&Jay's, Fletcher)"
"Mountain Deli - Hendersonville"
"Mother Ocean Seafood Market"
"Asheville Sandwich Co."
"Jersey Mike’s Subs"
"Which Wich Superior Sandwiches (Biltmore Park)"
"Mayberry's (Mayberrys Soup and Sandwich, Brevard)"
"Luna Sandwich Shop - Sylva"
"Roman's Deli & Catering"
"Centreville Luncheonette"
"City Bakery"
"Yellow Mug Coffee Lounge - Weaverville (The Yellow Mug)"
Subway
"67 Biltmore Downtown Eatery Catering"
"South of Philly"
"Ziggy's Bakery and Deli"
"Firehouse Subs"
"Rhu (The Rhu)"
"Sand Hill Kitchen"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Montford Deli (The Montford Pull Up)"
"Appalachian Java Cafe & Desserts - Burnsville"
"Troyer's Country Amish Blatz (Fairview, Troyers)"
"Loretta's Kitchen"
"Publix Super Market"
"JRO'S Burgers and Subs (J-RO's, Canton)"
"Bruegger's Bagels"
"Maggie valley sandwich shop"
"Rise Above Deli (with Hillman Beer)"
"Old School Subs & Deli - Black Mountain"
"West Village Market & Deli"
"Kanini's Restaurant & Catering - Waynesville"
"Gourmet Chip Company (The Gourmet Chip Company)"
"Mosaic Cafe"
"Atlanta Bread Co."
"New York Butcher Shoppe (NY Butcher Shoppe)"
"Smoky Mountain Sub Shop"
"Jimmy John's Gourmet Sandwiches"
"Conosur - Mills River"
"Monte's Sub Shop"
"Alykat Deli - Hendersonville"
"Zella's Deli"
"Mike's on Main (Mikes on Main)"
"Three Chopt Sandwich Shoppe - Hendersonville"
"Baker's Box (The Baker's Box)"
"Ingles Deli"
"Session Cafe & Bar - at Citizen Vinyl"
"Lennys Grill & Subs"
"Soda Fountain at Woolworth Walk, The (The Soda Fountain at Woolworth Walk)"
"Green Sage Cafe"
"Louise's Kitchen"
"La Bodega by Curate (Katie Button Restaurants)"
"Deli Volv"
"Simple Cafe & Juice Bar"
"Village Wayside Bar & Grille (The Village Wayside Bar and Grille)"
"Breedlove's Deli - Hendersonville - Closed"
"Rosetta's Kitchen (Buchi Bar)"
"Open Oven Brunch and Bakery - Black Mountain"
"Asheville Coffee Roasters"
"Blue Sky Cafe - Fletcher"
Tooleys
"2nd Act - Coffee, Wine & Craft Beer Bar (The 2nd Act, Second Act)"
"McAlister's Deli"
"Cousins Cuban Cafe - Black Mountain"
"Cedar Mountain Outpost"
"Twisted Laurel - Weaverville (The Twisted Laurel) "
"Panera Bread"
"Grateful Roots Market & Deli (Leicester)"
"Black Bear Pizza"
"Maggie B's Wine & Specialty Store"
"A Day In The Country - Hendersonville"
"Ultra Coffeebar"
"Mike's Philly Steak Plus"
"Rocky's Hot Chicken Shack"
"HomeGrown North (Merrimon Avenue, Home Grown)"
"Galactic Pizza"
"Trout Lily Market - Fairview"
"High Test Deli and Sweet Shop (The High Test Deli)"
"Tiger Bay Cafe"
"Jack of the Wood"
BimBeriBon
Sawhorse
"Bomba Latin Cafe"
"Mad Batter Food & Film (The Mad Batter Kitchen)"
"Pulp Sprout Juice Bar and Vegan Cafe"
"Baby Bull"
"Flat Rock Bakery (Flat Rock Village Bakery)"
"Blue Ridge Bakery - Brevard"
"Honey Baked Ham"
"Melt Your Heart"
"Bantam Chef - Burnsville"
"My Father's Pizza (Black Mountain, My Fathers Pizza)"
"Jason's Deli"
"Fletcher Village Bakery and Cafe"
"Munch Box - Burnsville"
"Wicked Weed Funkatorium"
"The Odd (formerly The Odditorium)"
"Sunny Point Cafe"
"Down South Cafe  & Catering / Canton"
"Farm Burger (Farmburger)"
"Zuma Coffee (Zuma's)"
"East Village Grille"
"Creekside Subs - Brevard"
"Katie D’s N.Y. Bagels & Deli (Tryon, KatieD's)"
"Old School Subs (Sweeten Creek)"
"All Day Darling"
"Aloha Cafe"
"Altamont Deli & Grill"
"Apollo Flame Bistro"
Arby's
"CA's Diner (C.A.'s)"
"Breakfast Shoppe - Swannanoa (The Breakfast Shoppe)"
"Chop Shop Butchery (The Chop Shop Butchery)"
"City Lights Cafe - Sylva"
"Holeman and Finch (HandF, H & F, H and F)"
"Del Vecchio's"
"Clean Juice Br"
"Daddy Mac's Down Home Dive"
"Corner Kitchen (The Corner Kitchen)"
Guajiro
"Hot Dog World - Hendersonville"
"Green Man Brewery"
"Gourmand Asheville - Closed"
"Front Street Takeout - Sylva"
"HenDough Chicken & Donuts"
"Jimmy's on the River"
"Joey's New York Bagels (Joeys)"
"Local Joint - Fairview (The Joint Next Door)"
"Little Louie’s"
"Moe's Original BBQ"
Lotto
"Mr. Kabab Grill (Mr. Kabab, Mr Kabab)"
"Patio Bistro, The Patio Bistro"
"Perspective Cafe (Asheville Art Museum)"
"Red Fiddle Vittles"
"Sandhill kitchen"
"Red Star Kitchen (The Red Star Kitchen)"
"Rankin Vault Cocktail Lounge (The Vault, The Rankin Vault)"
"Sunrise Cafe - Brevard (The Sunrise Cafe)"
"Sully's Steamers - Brevard"
"13 Pennies (Thirteen Pennies)"
"Subway on BIltmore"
Trailhead
"Universal Joint"
"Village Porch"
"13 Pennies (Thirteen Pennies)"
"Beradu - Black Mountain"
"Coffee Cup Cafe (Clyde)"
"Good Hot Fish"
"Post 25 Kitchen and Lounge (Post 25)"
"Regina's Westside"
"Chicken Salad Chick"
Cornerstone
"Dandelion - Hendersonville"
"Davis Country Store & Cafe (The Davis Country Store and Cafe, Old Fort)"
"Dobra Tea Downtown"
"Asheville's Finest Deli (Finest AVL)"
"French Fryz"
"Lucy in the Rye"
"Mac's Burgers and Cheesesteaks - Black Mountain"
"Main Street Grill - Weaverville"
"Mother AVL"
"Newstock Pantry"
"North meats South (Food Truck)"
"Pennycup Coffee"
"Smokin' Onion (The Smoking Onion)"
"Sweet Plantain Grill"
"Surf n Brew - Fletcher"
"Sweet Southern Funk (Candler, Food Truck)"
"Book and Bee (The Book and Bee, Hendersonville)"
"The Well House (Dillsboro)"
"White Moon"
"Wild Ginger Noodle Bar (Wild Ginger)"
"Mr. Kabab"
"Golden Pineapple (The Golden Pineapple)"
"Hail Mary"
"Flour (Flour Cafe and Sandwich shop)"
"Pisgah Bakehouse - Brevard"
"Good Company Pizza - Swannanoa"
"Boy Howdy"
"Iron Sharpens Iron (Iron Sharpens Iron - AVL)"
"Mini Batch Bakery - Hendersonville"
"Pack's Tavern"
"Moe's Original BBQ"
Schlotzsky's
"Quench! Wine Bistro"
"French Broad Food Co-op"
"The Med"
"JRO's Burgers & Subs"
"Hustle Wing Co."
"Vaste Riviere Provisions"
"Charleys Cheesesteaks"
"Smokee's Pizza"
"Gan Shan West"
Flour
"Backstreet Subs (West Jefferson)"
"Corner Grill"
"Haywood Common"
"Smokee's on the Creek"
"Smokey Sunrise"
"Front Porch Deli Cherokee"
McDonald's
"Botiwalla by Chai Pani"
