"Green Sage Café"
"Early Girl Eatery"
"Roman's Deli & Catering"
BimBeriBon
"Dobra Tea West"
"Plant Vegan Restaurant"
"Tasty Greens"
"Pulp Sprout Juice Bar and Vegan Cafe"
"Mother Ocean Seafood Market"
"Jerusalem Garden Cafe (The Jerusalem)"
"Simple Cafe & Juice Bar"
"Liberty House Coffee and Cafe"
"Elements Real Food"
"HomeGrown North (Merrimon Avenue, Home Grown)"
"Laughing Seed Cafe (The Laughing Seed)"
"Clean Eatz"
"Rosetta's Kitchen (Buchi Bar)"
"Tastee Diner"
"Appalachian Java Cafe & Desserts - Burnsville"
"Apollo Flame Bistro"
"Grateful Roots Market & Deli (Leicester)"
"All Day Darling"
"Mamacita's Taco Temple"
"Franny's Farmacy (Franny's Farm)"
"Nine Mile (9 Mile)"
"Mother Earth Food (Mother Earth Produce, home delivery)"
"Two Guys Pizza & Ribs (Hendersonville, 2 Guys)"
"Zen Hen - Hendersonville"
"Sovereign Remedies"
"Hendersonville Community Co-op and Deli (HCC coop)"
"Season's Restaurant  - Highland Lake Inn & Resort"
"Iconic Kitchen and Drinks - Asheville"
"Thai Pearl"
"Umi Japanese Fine Dining - Hendersonville"
"Juicy Lucy's Burger Bar and Grill"
"Gypsy Queen Cuisine"
"West First Wood-Fired Pizza (West 1st)"
"Montford Deli (The Montford Pull Up)"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"67 Biltmore Downtown Eatery Catering"
"Asheville Sandwich Company"
"Mountain Madre Mexican Kitchen & Agave Bar"
"Harvest Pizzeria"
"Whole Foods Market (Merrimon, former Greenlife Grocery)"
"Earth Fare (Earthfare)"
"Salsa's Mexican Caribbean Restaurant (Salsas)"
"Kanini's Restaurant & Catering - Waynesville"
"Shanti Elixirs"
"Goldfinch Cocktails & Kitchen - Black Mountain"
"Square Root - Brevard (The Square Root)"
"French Broad Food Co-Op"
Chestnut
"CBD Cafe - Marshall"
"Yum Sushi Burrito and Poke (Yum Poke)"
"Smash Nutrition - Woodfin"
"Addissae Ethiopian Restaurant"
Posana
"Baba Nahm"
"Star Diner - Marshall"
"Wild Ginger Noodle Bar (PHO Restaurant)"
"Mountain Juicery"
"Clean Juice"
"Twisted Laurel - Downtown Asheville (The Twisted Laurel) "
"Asheville Sushi & Hibachi"
"Smokin' Onion (The Smoking Onion)"
Curate
"Strada Italiano"
"Asheville Karma Cafe (The Karma Cafe)"
"Chai Pani"
Sawhorse
"Siam Thai Restaurant"
Table
"Eden-Out (Eden Out Meals)"
"Sunflower Diner"
"Tropical Smoothie cafe"
"Karma Cafe"
"Hominy Farm"
"Lobster Trap (The Lobster Trap)"
"Zoes Kitchen (Zoës Kitchen)"
"Pasta & Prana"
"Pad Thai - Asheville"
"Dandelion - Hendersonville"
"Loretta's Cafe"
"City Lights Cafe - Sylva"
"Heiwa Shokudo"
Kinfolk
"Morning Social"
"Sunny Point Cafe"
"Cucina 24"
Rosabees
"Benne On Eagle"
"Corner Kitchen (The Corner Kitchen)"
"Prana Pasta"
C.A.Diner
Trailhead
"fresh  Market"
"Aloha Cafe"
"Mosaic Cafe"
"Patio Bistro"
"Dare Vegan Cheese"
"Stonebowl Korean Restaurant"
Fig
"Liberty House Cafe"
mehfil
"pacific pagoda"
"huli sue's"
Andaaz
Cava
"Sand hill kitchen"
"Rankin Vault Cocktail Lounge (The Vault, The Rankin Vault)"
alchemy
"Zen sushi"
"The Garden food truck"
Plant
Wasabi
Mela
"67 Biltmore Downtown Eatery Catering"
"Hot mess"
panera
"Local Joint - Fairview (The Joint Next Door)"
Cassia
Mizu
"White Labs Kitchen and Tap"
"Harvested Dreams"
"Gan Shan West"
"BLUE SKY CAFE"
"Laughing Seed"
"la rumba"
"Rural Seed Restaurant, Columbus NC"
"Matcha Nude"
"Franny's Farmacy"
"cedar mountain cafe"
"Blind mule"
"food matters"
"Lucy in the rye"
"The spotted banana"
"Pizza mind"
"bridge and tunnel cafe"
"First Watch"
"Vinnie's Italian"
"Annie's Culinary Garden - Black Mountain"
"Mr Kabab"
"Sage and Spice"
TacoBilly
Limones
"Hillman Beer"
"Dalaya Thai - Sylva"
"Mad Batter"
"Little Chango"
"Food Matters - Brevard"
"Well Bred"
"67 Biltmore Downtown Eatery Catering"
"Habibi Village Mediterranean Grill"
"West Village Market"
"Indian Aroma Bistro - Hendersonville"
McDonald's
"Stone Ridge Tavern"
"Botiwalla by Chai Pani"
"Sweet Southern Funk"
"Sam's Club"
"Rocky’s Hot Chicken"
"Haywood Common"
"Mr. Kabab"
"Little Pigs BBQ"
"131 MAIN Restaurant"
Abejas
Beradu
"Carrabba's Italian Grill"
"Cosmic Carry-Out"
"Feta Flav Greek Taverna"
"Farm Burger"
"Fletcher Bakery"
"Forager’s Canteen"
"Gracious Plates"
"Khao Thai Cuisine"
"Lon Sen Chinese Restaurant"
"Olive Garden"
"Pita Express - Hendersonville"
"Raw Living Kitchen"
"Sunflower Kitchen"
"Taco Billy"
"Whole foods market (tunnel road)"
"White Moon"
"Whole Foods Market"
"Green Sage Café South"
