"Snake Song - Sylva"
"American Museum of the House Cat - Sylva (The American Museum Housecat, cat museum)"
"WCU Fine Art Museum (Bardo Arts Center)"
"Gallery One (Gallery 1 Sylva)"
"Jackson Arts Market"
LivLab
Pinnacle
"LuLu's on Main - Sylva"
Noon
"Mountain Heritage Center"
