"Madison County Arts Council"
"Mars Landing Galleries - Mars Hill"
"Flow Gallery - Marshall"
"Mars Hill University Art Gallery"
"Marshall High Studios (Marshall, Blannahassett Island)"
"Weizenblatt (MHU)"
