"CVS Pharmacy"
"Ingles Markets"
"Whitley Drug"
"Sona Pharmacy + Clinic"
Walgreens
"Carolina Mountain Pharmacy"
"Walmart (any location)"
"B&B Pharmacy (B & B, B and B)"
"Pinnacle Apothecary"
Publix
"Nature's Vitamins and Herbs (formerly Nature's Pharmacy)"
"Americare Pharmacy"
"Bryson City Pharmacy"
"Mission Community Pharmacy"
"Gordon Family Pharmacy - Brevard"
"Asheville Compounding Pharmacy"
"Economy Drugs"
"WNCCHS (Minnie Jones Health Center (Western North Carolina Community Health Services)"
"King's Pharmacy - Murphy"
"Harris Teeter"
"Prescription Pad of Weaverville"
"Asheville Discount Pharmacy"
"Metcalf Compounding Pharmacy - Brevard"
"Sunshine Pharmacy"
"Frannys Farmacy"
"Kim's Pharmacy"
"Asheville Mountain Pharmacy"
"Shelton's Pharmacy"
"PSA Clinic Pharmacy - Swannanoa"
"Blue Ridge Community Health - Hendersonville"
"Sam’s Club"
"ABCCM (Asheville Buncombe Community Christian Ministry)"
"Charles George VA Medical Center"
"Madison Pharmacy & Gifts"
"Prescription Pad of Burnsville"
"Haywood Pharmacy"
"Etowah Pharmacy"
"Genoa Healthcare"
"Lees Creek Pharmacy"
"Appalachian Mountain Community Health Centers (AMCHC)"
"Kel-Save Discount Drugs"
"Marks Pharmacy"
"ABCCM (Asheville Buncombe Community Christian Ministry)"
"Charles George VA Medical Center"
"Sam's Club - Hendersonville"
"Medical Center Pharmacy"
"Mission Health Cancer Center"
"Kel-Save Discount Drugs"
"Blue Ridge Community Health (any location; also: Blue Ridge Health)"
"MAHEC at Biltmore"
Publix
"Sam’s Club"
"Skyland Pharmacy"
"Sona Pharmacy + Clinic"
"The Prescription Pad"
U-Save-It
HealthRidge
"medicine shoppe"
"Foothills Pharmacy"
"The free clinics"
"Americare Pharmacy"
"Weaverville Pharmacy"
"Sona Pharmacy + Clinic"
"Downtown Discount Pharmacy"
"Walgreens Merrimon"
Publix
"Walgreens Hendersonville"
"Walgreens Merrimon"
Ado
"Publix Weaverville"
"Gordon's Pharmacy - Brevard"
"Sona Pharmacy   Clinic"
"Waynesville Pharmacy "
"Walgreens Hendersonville Road"
"Ingles Markets - Hendersonville"
"Ingles Markets -  Merrimon"
"CVS Pharmacy - Black Mountain"
"CVS Pharmacy - Target in Arden"
"Publix - Pinnacle Point"
"Publix - Hendersonville"
"CVS Pharmacy - Monticello Rd"
"CVS Pharmacy - Mills River"
"CVS Pharmacy - Swannanoa"
"Walgreens Asheville"
"Ingles - Brevard"
"CVS Pharmacy - #7013"
"Walgreens Tunnel and Swannanoa River Roads"
"Walgreens Brevard"
"Ingles - Long Shoals"
"CVS Pharmacy - Woodfin"
"Walgreens Enka"
"CVS Pharmacy - Merrimon ave"
"Walgreens Waynesville"
"Walmart Hendersonville Rd"
"Publix - Waynesville"
"Ingles  - Tunnel Road"
"Walgreens Leicester Hwy"
"CenterWell (Humana)"
"Walmart Franklin"
"Ingles Pharmacy"
"Ingles Hendersonville Road"
Apotheca
"Ingles - Mars Hill"
"Ingles - flat rock"
"Ingles - asheville hwy"
"Walmart - Airport Rd."
"CVS Pharmacy - Long Shoals"
"CVS - Waynesville"
"CVS - Arden"
"CVS - River Ridge"
"Ingles - Black Moutain"
"Walmart Weaverville"
"MAHEC Community Pharmacy - Enka Candler"
"CVS - Mars Hill"
"Ingles - Canton"
"Ingles - Brevard Road"
"Ingles - Fletcher"
"Ingles Markets - Spartanburg Highway"
"CVS Pharmacy - Candler"
"CVS - Brevard"
"Ingles  - 209 Tunnel Road"
"Ingles - Weaverville"
"Walgreens canton"
"Walmart Waynesville"
"Ingles - Sandhill road"
"Walgreens Asheville (Merrimon)"
"Cvs swannanoa"
"Walgreens Gerber Village"
"CVS Pharmacy on Carl Eller Road in Mars Hill NC"
"CVS Pharmacy - Leicester Highway"
"Walmart Bleachery"
"Ingles Mills River"
"The Prescription Pad Weaverville"
"Ingles Spartanburg highway"
"CVS - River Hills (in Target)"
"Cvs smokey park hwy"
