"More Soul"
"Less Development"
"Kava Restaurant"
"Affordable Housing"
"Bike Lanes (Better Bike Lanes)"
"Free Parking"
"Better Infrastructure"
"Less People"
"More Housing"
"More Bars"
"Recycling and Compost Bins"
"Outdoor Music Venue"
"For Construction on I-26 to be Completed"
"Rita's Italian Ice"
"Public Bathrooms"
"More Roads"
"Ice rink"
"Anything Fun"
trees
"Less Apartments"
Wegmans
"Less Traffic"
"More Late Night Anything"
"A Soul"
"Better Roads"
"More Police"
Breweries
"Housing for Homeless"
"More Small Businesses, Less Chains"
sidewalks
"Roller Skating Rink"
Wagbar
"Ways to Get There Besides I-26"
"Shaded hang spot."
"Italian Food Market/Grocery"
"More Sidewalks"
"Less Cops"
"More Parks"
Burritos
"More 4-6 story development for permanent residents"
"More Local Shops"
Character
"Good Restaurants"
"Better Restaurants"
"Help for Homeless"
"Rent control"
"Plus Size Vintage Clothing Shop"
"Remove Homeless Camps"
"Coffee Shops"
"Chinese Food"
"No More Development"
"Less Construction"
"Less Condo Development"
"More Variety Restaurants"
"New Traffic Pattern"
"Italian Specialty Market"
"Local Dining"
"Trolley Service"
"Real Chinese Food without MSG"
Bookstore
"Less Snobs"
"Meat and three diner"
"Finish I26"
"Large Roads"
Restrooms
"Late Night Bar"
"Fun Depot"
"Cocktail Bar"
"Trash Clean Up"
"Indoor soccer venue"
"More Restaurants"
"Trader Joe's"
"Less Homeless"
"Sense of Community"
Jesus
"Independent Coffee Shop"
"NY Style Pizza"
"Non-Chain Restaurants"
"Family Friendly Entertainment"
Deli
"More and Bigger Roads"
"Skate Park"
"Park with Trees and Grass"
"More Black and Indigenous Owned Businesses"
"Vegan Cafe"
"breweries/bars with liquor and kitchens"
"More Trees"
"Scenic Park"
"More Greenways"
"Kids Activities"
"Swimming Pool"
"Better Highway"
Diversity
Costco
"Upscale Restaurant"
"Secede from Asheville"
"Building that Has A Lot of Games for Adults and Kids"
"Less Gentrification"
"More Nice Restaurants"
"sona @ long shoals rd"
"Living Wages"
"Hat Shop"
"Chinese Restaurant"
"Fast Food Restaurant"
"Less Strip Shopping Centers"
"Fine Dining"
"Nice Bar"
"splash pad"
"Less People/Autos"
"Vegan Restaurant"
"Regulate Growth and Destruction of Surrounding Forests, Farms, Mountains and Waterways"
"More Character"
"Perform the Reconstruction / Widening of Sweeten Creek Road"
"Dog Park"
"EV chargers"
"Locally Owned Restaurants"
"Complete Infrastructure, Less Apartments"
"Southside Needs More Sidewalks, Lower Property Taxes, Less Gentrification"
Parking
Nightlight/pubs
"Cheesecake Factory"
"Sports Bar"
"krispy kreme"
"Earth Fare (Earthfare)"
"Composting Toilets, More Edible Trees and Gardens, Bike Lanes, Electric Scooters to Rent, and Public Spaces"
"More Open Mind from Residents"
Parks
"Wine Bar"
"Weed dispensary"
"Local Bar"
"More Liberals"
"Low Barrier Homeless Shelters"
"Stop lights synchronized"
Bars
"Real Jewish deli with great bagels"
"More Activities for Kids"
"Bubble Tea"
"More Safe and Clearly-Marked Pedestrian Crossings"
"More Traffic Lanes"
"Highway access"
"Less Tourists"
"Traffic control"
Personality
"I-26 Construction to End"
"Jewish Deli"
"More Bus Routes"
"Sidewalks on Overlook Road"
"Walkable Shopping"
"Outdoor Recreation"
Enema
"Street Calming on Biltmore Ave"
"More Vegan"
Delicatessen
"Less Air B&Bs"
"Water Park for Dogs"
"Big Dog Park"
"Clean Water that Doesn’t Taste like Bleach"
"Decent Steak/Grill House or Pub"
Modesty
"Trader Joe’s"
"Good Lunch Restaurants"
"Subway Train"
"Road Repairs and Striping"
"Better People"
Drugs
"Light rail"
"More Green Space"
"Dedicated Pickleball Courts"
"Water Park"
Bowling
"Music Venues"
"Jeremiah’s Italian Ice"
"Good Thai Food"
"Public Transit"
"More Tourists"
