"Pat's school of dance"
"Terpsicorps Theatre of Dance"
"Center Stage Dance Studio"
"Danceclub Asheville (Dance Club)"
"Asheville Butoh Collective"
"Asheville Contemporary Dance Theatre"
"The Floral Hygienists"
"Trillium Dance Company"
"The Asheville Ballet"
Philobus
"Stewart/Owen Dance"
"Carolina Snowbelles (The Carolina Snowbelles)"
"Brevard Ballet"
"Ballet Conservatory of Asheville"
"Seduction Sideshow"
"Asheville Dance Theater"
"Asheville Community Theatre (ACT)"
"Art of Dance Company"
"Flat Rock Play House"
"Bailey Mountain Cloggers"
"Hendersonville Ballet"
"Wnc Dance academy"
"Black mountain center for the arts dance troupe"
"Mars Hill College Cloggers"
"Hause of Hazzard Dance Academy - Dance Crew"
"Southern Appalachian Repertory Theatre (SART)"
"Music Works"
"In His Steps Dance Ministry"
"Asheville Aerial Arts"
"Caro & Chris Fotografie"
"Patricia Penenori Dance Center"
"13th Hour Dance"
"Asheville School of Ballet"
Legacy
"Releve Performing Arts Center"
"2umbao Dance Academy"
"Omotion Collective"
"Toybox Theatre"
"Angie's Dance Acadamy"
"Ann Dunne"
Amer
"Weaverville Dance Academy"
"kate weare"
"Zabumba Asheville Samba"
"Triple Threat Performing Arts Acadamy"
"Heart & Soul Dance Company"
"Anemone Dance Theatre"
"Deb au Nare’s Elite Burlesque School (DEBS, D.E.B.S., Burlesque Academy of Asheville"
"Celia’s dance academy"
"Hola Carolina"
"The Accidentals"
"Appalachian Performing Arts"
"Carolina Dance Collective"
Raices
Folkmoot
"Red Pump Fitness"
Pilobolus
"J creek cloggers"
"Enter the Garden"
"Serpent haus"
"Nu Paradigm Entertainment"
"The Ballet Conservatory of Asheville"
Nemo
"Lunar Elements"
"Asheville ballet"
"American Myth Center"
MusicWorks!
"Asheville Event & Dance Centre"
"Pisgah Thunder"
"Carolina Diva Diamondz"
"AC Reynolds High School Theater"
"Fuego Dance Crew Asheville"
"Dimensions Studio of Arts and Athletics"
"Pirouettes Dance & Cheer Academy"
"Hustle'n'Bustle Dance Co."
"Different Strokes Performing Arts Collective"
"Hendersonville Swing"
"Asheville Junior Theater"
"Legacy Dance Center"
"Kathy Leiner"
"Asheville Vaudeville"
"Strange Daughters Butoh"
"Fearless Athletics"
"New Studio of Dance"
"Empyrean Arts"
"Flat Rock PlayhouseFlat Rock Play House"
"Wortham Center"
"Uphora Dance"
AClutch
"Coven Collaborations"
"Salsa AVL Dance Team"
"Kendall Teague"
"Swannatopia Presents"
"MOMENTum Dance Project"
Wortham
"Flamenco Appalachia"
