"City Bakery"
"Kafe Neo @ The Antique Tobacco Barn"
"Dynamite Roasting Co."
"P B & Jay's Cafe (P.B. & Jay's, PB & Jay's, PB&Jay's, Fletcher)"
"Ugly Mug (The Ugly Mug)"
"HomeGround Coffee Bar & Deli (Home ground, formerly HomeGrown)"
"The Dripolator Coffeehouse (Dripolator Coffeehouse)"
"PennyCup Coffee Co."
"Moments Coffee Bar & Eatery"
"Summit Coffee Co."
"Dunkin Donuts"
"Rowan Coffee"
"Session Cafe & Bar - at Citizen Vinyl"
"Smokey Mountain Coffee Roasters"
"BattleCat CoffeeBar (Battle Cat Coffee Bar)"
"Odd's Cafe"
"Pollen Coffee & Flower Shop"
"Izzy's Coffee"
"Yellow Mug Coffee Lounge - Weaverville (The Yellow Mug)"
"The 2nd Act - Hendersonville"
"Double D's Coffee & Desserts (DD, Double Decker Bus)"
"ShareWell Coffee Co."
"Peaberry Press - Coffee & Smoothie Bar"
"Appalachian Coffee Company - Hendersonville"
"Orchard Coffee"
"High Five Coffee"
Filo
"Asheville Coffee Roasters"
"Earthling Coffee and Espresso"
"Liberty House Coffee and Cafe"
"Grind AVL (Grind Coffee)"
Starbucks
"Ingenious Coffee Roasters (Ingenious Roasters)"
"Quotations Coffee Cafe - Brevard"
"Well-Bred Bakery & Cafe (Well Bred, Wellbred, The Well-Bred)"
"Appalachian Java Cafe & Desserts - Burnsville"
"Zuma Coffee (Zuma's)"
"Black Bear Coffee Co."
"Main Street Coffee - Hendersonville"
"Sunny Point Cafe"
"Trade and Lore Coffee (Trade & Lore)"
"Papertown Coffee - Canton"
"Cup & Saucer (Cup and Saucer)"
"Green Sage Cafe"
"Times at S&W (The Times Bar)"
"Fletcher Village Bakery and Cafe"
"Velvet Cup Coffee Truck-Food Truck (The Velvet Cup)"
"Sweeten Creek Coffee"
"Daymoon Coffeebar (Day Moon Coffee Bar)"
"2nd Act - Coffee, Wine & Craft Beer Bar (The 2nd Act, Second Act)"
"All Day Darling"
"French Broad Chocolate Lounge (The French Broad Chocolate Lounge)"
"Bebettes Beignets & Coffee (Bebette's)"
Farewell
"Independent Bean Roasters - Hendersonville"
"Vortex Doughnuts"
"Gallivant Coffee - Woodfin - Closed"
"131 Main Restaurant"
"Old Europe Pastries"
"Ultra Coffeebar"
"Tupelo Honey"
"OWL Bakery (Old World Levain, The Owl)"
"Bridge & Tunnel Coffee Co"
"Session Cafe & Bar"
"Pisgah Coffee Roasters"
"Cup of Jomo - Black Mountain"
"Alien Coffee Bean"
"La Bodega by Curate (Katie Button Restaurants)"
"Le Bon Cafe"
"Round Earth Roasters"
"Java Cart Catering"
"AllGood Coffee (All Good)"
"White Moon"
"Sassafras on Sutton - Black Mountain"
"Panacea Coffee Company "
"Vintage Kava"
"Square Root - Brevard (The Square Root)"
"Flora (Flora & Forage, Flora Botanical Living)"
"Rejavanation Cafe"
"Rhu (The Rhu)"
"Whisk AVL"
"Bean Werks Coffee & Tea (BeanWerks, Bean Works)"
"Corner Kitchen (The Corner Kitchen)"
"Mosaic Cafe"
"Dough House Vegan Donuts - Black Mountain"
"Malaprop's Bookstore/Cafe (Malaprop's, Malaprop's Cafe)"
"Highland Station Coffee"
"Haywood 209 Cafe"
"Ivory Road Cafe & Kitchen"
"Bill's Boiler House - Brevard"
"Cooperative Coffee Roasters"
"Coffee & Art Bar - Hendersonville"
McDonalds
IHOP
"Hole Doughnuts"
"Straightaway Cafe (The Straight Away)"
"Perspective Cafe (Asheville Art Museum)"
"Cousins Cuban Cafe - Black Mountain"
"All Good things Tryon"
"South Slope Coffee Co."
"Stoney Knob Cafe (The Stoney Knob Cafe, Stony)"
"Grove Park Inn"
"Gravelo Workshop"
"Rise Above Bakehouse"
"Bad Manners Coffee"
"French Broad Food Co-op"
"Biltmore Coffee Roasters"
"High Noon"
"Qualla Java"
"Blue Monkey"
"Beehive Coffee Bar (The Beehive Coffee Bar)"
"Get Roasted"
"The Lobster Trap"
"Camden’s Coffee House"
"Mornin’ Fuel Coffee Shop - Sylva"
"Elevated Kava Lounge"
"High Five Coffee - Broadway (Hi 5)"
"High Five Coffee - Rankin Ave. (Hi 5)"
"High Five Coffee - Riverside (Hi 5)"
"Ukiah Japanese Smokehouse"
"Well Played Board Game Cafe"
"Shiloh & Gaines"
"Retro Coffee"
ELDR
"Simple Cafe & Juice Bar"
"Independent Bean Roasters"
Posana
"107 Market & Deli"
"Morning Social"
"The Pot Stirred"
"Blue Ridge Biscuit Company"
"The West End (The West End Bakery)"
"Hatchett Goods"
"Overlook Coffee Collective"
"Biscuit Head"
"D9 Brewing Company"
"Café Bomba"
"Pure & Proper (The Pure & Proper, Pure and Proper)"
"Carolina Coffee House"
"Battery Park Book Exchange"
"Baked Pie Company"
"Indie Beans - Hendersonville"
"Bracken Mountain Bakery"
"Hot Mess"
"Another Broken Egg Cafe"
"Pop's Diner - Hendersonville"
"Chill Wave Coffee"
"Pulp Sprout Juice Bar and Vegan Cafe"
"Coffee Cup Cafe"
"Cedar Mountain Outpost"
"Coffee Container"
"Admiral (The Admiral)"
"Waffle House"
"HenDough Chicken & Donuts"
"Pop Bubble Tea"
"Big Guns - Tryon"
"10th Muse Comfort Food"
"Tastee Dinner"
"The Farmhouse - Sylva"
Mayfel's
"DT's Blue Ridge Java"
"First Watch - Biltmore Village"
"12 Baskets Cafe"
"Raz Drive Thru Coffee"
"Kota Kai"
"The Daily Grind"
"Undertow Coffee Co."
"Recess Coffee and Baked Goods"
"The Velvet Cup Coffee Truck"
"All is Well Cafe"
"Proving Grounds Coffee Bar - Closed"
Marketplace
"The Buzz: Sober Bar & Cafe"
"Sippers in the Valley"
"Rite Rite"
"Artisun Gallery and Cafe - Hot Springs"
"Limones Restaurant"
"Dobra Tea West"
"Cognative Brew House - Hendersonville"
"Bruegger's Bagels"
"Arabella - Hendersonville"
"Local Joint - Fairview (The Joint Next Door)"
"Starbucks - Biltmore Village"
"Haywood Famous"
"Aloft Asheville Downtown"
"Sweet Plantain Grill Food Truck - Arden"
"Asheville Club"
"Seeker Coffee - Old Fort"
"Tiger Bay Cafe"
"Rabbit Hole (The Rabbit Hole)"
"West Village Market"
"The Soda Fountain"
"Starbucks - Parkway Centre"
"PennyCup Coffee Co. at the YMI"
"Mother AVL"
"Seeker Coffee"
"Laurel River Store"
"Dobra Tea Downtown"
"Light Side Coffee Co."
Gemelli
"The Nerd Dungeon"
"Two Tired Parents Coffee Co."
"Crafted Dough - Murphy"
"Flowermouth Coffee Roaster"
"Southern Streams CoffeeHouse"
"Lucy in the Rye"
"Four Sisters Bakery - Black Mountain"
"Sovereign Kava"
"Fox and the Fig - Spruce Pine"
"Rite Rite (Formerly Trade and Lore)"
"Chaunie’s Coffee"
"Afterglow (The Radical Hotel)"
"Starbucks - Airport Road - Arden"
"On Your Bike (Marshall, NC)"
"Sweets & Seats (Sweets and Seats)"
Jargon
"Huddle House - Sylva"
"Starbucks - Charlotte St."
"Elder Dragon Coffee Shop"
"The Rejuvenation Station"
"Asheville Dispensary"
"Purple Onion"
Guajiro
"Hope House Coffee"
"Silvermoon Chocolate"
Flour
"Ovenbird Kitchen"
"G&J Coffee House"
"Tasting at Ten - Counter Culture"
"PennyCup Coffee Co. Silverline"
"Trailside Brewing Co."
"Peri Social House"
"Plant Bar - Coffee and Tea"
"Canto 34"
"Shortsleeves - Swannanoa"
"Dobra Tea East"
"Louise’s Kitchen"
"Starbucks - Black Mountain"
"Wakey Monkey"
"Short Sleeves Coffee"
"Abeja's House Cafe"
"Earth Fare"
"First Watch - Downtown"
"Smokin' Onion (The Smoking Onion)"
"Little Amsterdam Dispensary and Lounge"
"Antidote Cocktail Lounge & Coffee Bar"
"Ecusta Market & Cafe"
"La Dolce Vita Bakery"
"IZZYs west asheville"
