"Garden Deli"
"Hog Hollow Wood-Fired Pizza"
"Pig & Grits (Pig and Grits)"
"Appalachian Java Cafe & Desserts - Burnsville"
"Bantam Chef - Burnsville"
"Second Home - Burnsville"
"Cast Iron Kitchen - Burnsville"
"Ye olde Country Store - Burnsville"
"Bubba's Good Eats - Burnsville"
"Rio Mexican Cuisine"
"Munch Box"
"Hef's Restaurant"
"Spoke Food Truck"
"Hwy 55 Burgers Shakes and Fries"
"Homeplace Beer Company - Burnsville"
"Pacifico Seafood and Grill"
"Snap Dragon - Burnsville (Snapdragon)"
"Carriage House Sundries"
"Hot Mess Food Truck"
"Lil' Smoky's"
"Pigs and Grits"
"Pig & Grits (Pig and Grits)"
"Root Down Food Truck"
"The Ambered Jack"
"The Garden Deli"
"NuWray inn"
"Burger King"
"Tropical Grill (The Tropical Grill, Spruce Pine)"
